CMDLINE python3 python_programs/Claude/maximum_total_beauty_of_the_gardens.py
MEM 0.203125 1745203277.1761
MEM 10.703125 1745203277.2174
MEM 10.703125 1745203277.2732
MEM 10.703125 1745203277.3127
MEM 10.703125 1745203277.3493
MEM 10.703125 1745203277.3774
MEM 10.703125 1745203277.4154
MEM 10.703125 1745203277.4504
MEM 10.703125 1745203277.4926
MEM 10.703125 1745203277.5333
MEM 10.703125 1745203277.5717
MEM 10.703125 1745203277.6018
MEM 10.703125 1745203277.6481
MEM 10.703125 1745203277.7070
MEM 10.703125 1745203277.7354
MEM 10.703125 1745203277.7631
MEM 10.703125 1745203277.7912
MEM 10.703125 1745203277.8198
MEM 10.703125 1745203277.8645
MEM 10.703125 1745203277.9219
MEM 10.703125 1745203277.9699
MEM 10.703125 1745203277.9988
MEM 10.703125 1745203278.0276
MEM 10.703125 1745203278.0566
MEM 10.703125 1745203278.0847
MEM 10.703125 1745203278.1340
MEM 10.703125 1745203278.1872
MEM 10.703125 1745203278.2221
MEM 10.703125 1745203278.2594
MEM 10.703125 1745203278.2923
MEM 10.703125 1745203278.3215
MEM 10.703125 1745203278.3654
MEM 10.703125 1745203278.4145
MEM 10.703125 1745203278.4453
MEM 10.703125 1745203278.4769
MEM 10.703125 1745203278.5100
MEM 10.703125 1745203278.5446
MEM 10.703125 1745203278.5792
MEM 10.703125 1745203278.6107
MEM 10.703125 1745203278.6523
MEM 10.703125 1745203278.6874
MEM 10.703125 1745203278.7200
MEM 10.703125 1745203278.7619
MEM 10.703125 1745203278.8008
MEM 10.703125 1745203278.8328
MEM 10.703125 1745203278.8822
MEM 10.703125 1745203278.9154
MEM 10.703125 1745203278.9488
MEM 10.703125 1745203278.9788
MEM 10.703125 1745203279.0086
MEM 10.703125 1745203279.0375
MEM 10.703125 1745203279.0671
MEM 10.703125 1745203279.0985
MEM 10.703125 1745203279.1391
MEM 10.703125 1745203279.1681
MEM 10.703125 1745203279.1982
MEM 10.703125 1745203279.2288
MEM 10.703125 1745203279.2562
MEM 10.703125 1745203279.2852
MEM 10.703125 1745203279.3138
MEM 10.703125 1745203279.3431
MEM 10.703125 1745203279.3720
MEM 10.703125 1745203279.4020
MEM 10.703125 1745203279.4325
MEM 10.703125 1745203279.4601
MEM 10.703125 1745203279.4914
MEM 10.703125 1745203279.5178
MEM 10.703125 1745203279.5502
MEM 10.703125 1745203279.5791
MEM 10.703125 1745203279.6051
MEM 10.703125 1745203279.6355
MEM 10.703125 1745203279.6614
MEM 10.703125 1745203279.6920
MEM 10.703125 1745203279.7202
MEM 10.703125 1745203279.7427
MEM 10.703125 1745203279.7639
MEM 10.703125 1745203279.7749
MEM 10.703125 1745203279.7867
MEM 10.703125 1745203279.7951
MEM 10.703125 1745203279.8049
