CMDLINE python3 python_programs/Claude/maximum_xor_product.py
MEM 1.453125 1745203282.0640
MEM 8.765625 1745203282.0912
MEM 10.078125 1745203282.1186
MEM 10.078125 1745203282.1434
MEM 10.078125 1745203282.1684
MEM 10.078125 1745203282.1946
MEM 10.890625 1745203282.2197
MEM 10.890625 1745203282.2448
MEM 10.890625 1745203282.2699
MEM 10.890625 1745203282.2942
MEM 10.890625 1745203282.3192
MEM 10.890625 1745203282.3445
MEM 10.890625 1745203282.3696
MEM 10.890625 1745203282.3953
MEM 10.890625 1745203282.4223
MEM 10.890625 1745203282.4498
MEM 10.890625 1745203282.4770
MEM 10.890625 1745203282.5028
MEM 10.890625 1745203282.5296
MEM 10.890625 1745203282.5546
MEM 10.890625 1745203282.5797
MEM 10.890625 1745203282.6053
MEM 10.890625 1745203282.6296
MEM 10.890625 1745203282.6549
MEM 10.890625 1745203282.6801
MEM 10.890625 1745203282.7045
MEM 10.890625 1745203282.7296
MEM 10.890625 1745203282.7547
MEM 10.890625 1745203282.7801
MEM 10.890625 1745203282.8058
MEM 10.890625 1745203282.8300
MEM 10.890625 1745203282.8554
MEM 10.890625 1745203282.8805
MEM 10.890625 1745203282.9072
MEM 10.890625 1745203282.9329
MEM 10.890625 1745203282.9576
MEM 10.890625 1745203282.9822
MEM 10.890625 1745203283.0075
MEM 10.890625 1745203283.0322
MEM 10.890625 1745203283.0570
MEM 10.890625 1745203283.0821
MEM 10.890625 1745203283.1074
MEM 10.890625 1745203283.1343
MEM 10.890625 1745203283.1599
MEM 10.890625 1745203283.1831
MEM 10.890625 1745203283.2094
MEM 10.890625 1745203283.2354
MEM 10.890625 1745203283.2644
MEM 10.890625 1745203283.2880
MEM 10.890625 1745203283.3154
MEM 10.890625 1745203283.3421
MEM 10.890625 1745203283.3654
MEM 10.890625 1745203283.3886
MEM 10.890625 1745203283.4142
MEM 10.890625 1745203283.4376
MEM 10.890625 1745203283.4633
MEM 10.890625 1745203283.4871
MEM 10.890625 1745203283.5110
MEM 10.890625 1745203283.5355
MEM 10.890625 1745203283.5594
MEM 10.890625 1745203283.5841
MEM 10.890625 1745203283.6091
MEM 10.890625 1745203283.6337
MEM 10.890625 1745203283.6587
MEM 10.890625 1745203283.6856
