CMDLINE python3 python_programs/Claude/minimum_cost_to_make_array_equal.py
MEM 0.390625 1745203282.0628
MEM 8.281250 1745203282.0937
MEM 10.968750 1745203282.1196
MEM 10.968750 1745203282.1473
MEM 10.968750 1745203282.1719
MEM 10.968750 1745203282.1961
MEM 10.968750 1745203282.2217
MEM 10.968750 1745203282.2471
MEM 10.968750 1745203282.2723
MEM 10.968750 1745203282.2979
MEM 10.968750 1745203282.3226
MEM 10.968750 1745203282.3475
MEM 10.968750 1745203282.3716
MEM 10.968750 1745203282.3966
MEM 10.968750 1745203282.4219
MEM 10.968750 1745203282.4463
MEM 10.968750 1745203282.4715
MEM 10.968750 1745203282.4965
MEM 10.968750 1745203282.5220
MEM 10.968750 1745203282.5468
MEM 10.968750 1745203282.5723
MEM 10.968750 1745203282.5972
MEM 10.968750 1745203282.6211
MEM 10.968750 1745203282.6447
MEM 10.968750 1745203282.6705
MEM 10.968750 1745203282.6956
MEM 10.968750 1745203282.7205
MEM 10.968750 1745203282.7449
MEM 10.968750 1745203282.7699
MEM 10.968750 1745203282.7953
MEM 10.968750 1745203282.8218
MEM 10.968750 1745203282.8471
MEM 10.968750 1745203282.8731
MEM 10.968750 1745203282.8968
MEM 10.968750 1745203282.9226
MEM 10.968750 1745203282.9479
MEM 10.968750 1745203282.9726
MEM 10.968750 1745203282.9979
MEM 10.968750 1745203283.0236
MEM 10.968750 1745203283.0485
MEM 10.968750 1745203283.0733
MEM 10.968750 1745203283.0985
MEM 10.968750 1745203283.1237
MEM 10.968750 1745203283.1485
MEM 10.968750 1745203283.1748
MEM 10.968750 1745203283.2001
MEM 10.968750 1745203283.2234
MEM 10.968750 1745203283.2477
MEM 10.968750 1745203283.2721
MEM 10.968750 1745203283.2961
MEM 10.968750 1745203283.3196
MEM 10.968750 1745203283.3449
MEM 10.968750 1745203283.3694
MEM 10.968750 1745203283.3919
MEM 10.968750 1745203283.4180
MEM 10.968750 1745203283.4429
MEM 10.968750 1745203283.4684
MEM 10.968750 1745203283.4933
MEM 10.968750 1745203283.5176
MEM 10.968750 1745203283.5417
MEM 10.968750 1745203283.5662
MEM 10.968750 1745203283.5883
MEM 10.968750 1745203283.6134
MEM 10.968750 1745203283.6392
MEM 10.968750 1745203283.6636
MEM 10.968750 1745203283.6878
MEM 10.968750 1745203283.7091
MEM 10.968750 1745203283.7280
MEM 10.968750 1745203283.7517
MEM 10.968750 1745203283.7709
MEM 10.968750 1745203283.7889
MEM 10.968750 1745203283.8104
MEM 10.968750 1745203283.8313
MEM 10.968750 1745203283.8509
MEM 10.968750 1745203283.8718
MEM 10.968750 1745203283.8931
MEM 10.968750 1745203283.9137
MEM 10.968750 1745203283.9344
MEM 10.968750 1745203283.9551
MEM 10.968750 1745203283.9760
MEM 10.968750 1745203283.9975
MEM 10.968750 1745203284.0187
MEM 10.968750 1745203284.0397
MEM 10.968750 1745203284.0605
MEM 10.968750 1745203284.0817
MEM 10.968750 1745203284.1031
MEM 10.968750 1745203284.1240
MEM 10.968750 1745203284.1459
MEM 10.968750 1745203284.1670
MEM 10.968750 1745203284.1886
MEM 10.968750 1745203284.2098
MEM 10.968750 1745203284.2311
MEM 10.968750 1745203284.2527
MEM 10.968750 1745203284.2743
MEM 10.968750 1745203284.2960
MEM 10.968750 1745203284.3175
MEM 10.968750 1745203284.3396
MEM 10.968750 1745203284.3610
MEM 10.968750 1745203284.3827
MEM 10.968750 1745203284.4054
MEM 10.968750 1745203284.4279
MEM 10.968750 1745203284.4495
MEM 10.968750 1745203284.4712
MEM 10.968750 1745203284.4925
MEM 10.968750 1745203284.5139
MEM 10.968750 1745203284.5352
MEM 10.968750 1745203284.5561
MEM 10.968750 1745203284.5771
MEM 10.968750 1745203284.5983
MEM 10.968750 1745203284.6191
MEM 10.968750 1745203284.6403
MEM 10.968750 1745203284.6613
MEM 10.968750 1745203284.6824
MEM 10.968750 1745203284.7001
