CMDLINE python3 python_programs/Claude/minimum_number_of_arrows_to_burst_balloons.py
MEM 0.062500 1745203277.1465
MEM 28.937500 1745203277.1786
MEM 28.937500 1745203277.2084
MEM 28.937500 1745203277.2324
MEM 28.937500 1745203277.2590
MEM 29.984375 1745203277.2852
MEM 29.984375 1745203277.3142
MEM 29.984375 1745203277.3802
MEM 29.984375 1745203277.4875
MEM 29.984375 1745203277.5215
MEM 29.984375 1745203277.5566
MEM 29.984375 1745203277.5857
MEM 29.984375 1745203277.6484
MEM 29.984375 1745203277.6800
MEM 29.984375 1745203277.7119
MEM 29.984375 1745203277.7474
MEM 29.984375 1745203277.7856
MEM 29.984375 1745203277.8311
MEM 29.984375 1745203277.8623
MEM 29.984375 1745203277.8958
MEM 29.984375 1745203277.9248
MEM 29.984375 1745203277.9565
MEM 29.984375 1745203278.0120
MEM 29.984375 1745203278.0851
MEM 29.984375 1745203278.1154
MEM 29.984375 1745203278.1432
MEM 29.984375 1745203278.1739
MEM 29.984375 1745203278.2234
MEM 29.984375 1745203278.2519
MEM 29.984375 1745203278.2790
MEM 29.984375 1745203278.3138
MEM 29.984375 1745203278.3528
MEM 29.984375 1745203278.3835
MEM 29.984375 1745203278.4461
MEM 29.984375 1745203278.4796
MEM 29.984375 1745203278.5646
MEM 29.984375 1745203278.6089
MEM 29.984375 1745203278.6465
MEM 29.984375 1745203278.6847
MEM 29.984375 1745203278.7244
MEM 29.984375 1745203278.7587
MEM 29.984375 1745203278.8037
MEM 29.984375 1745203278.8387
MEM 29.984375 1745203278.8633
MEM 29.984375 1745203278.8969
MEM 29.984375 1745203278.9513
MEM 29.984375 1745203278.9849
MEM 29.984375 1745203279.0224
MEM 29.984375 1745203279.0723
MEM 29.984375 1745203279.1037
MEM 29.984375 1745203279.1394
MEM 29.984375 1745203279.1691
MEM 29.984375 1745203279.2011
MEM 29.984375 1745203279.2321
MEM 29.984375 1745203279.2595
MEM 29.984375 1745203279.2891
MEM 29.984375 1745203279.3176
MEM 29.984375 1745203279.3466
MEM 29.984375 1745203279.3754
MEM 29.984375 1745203279.4073
MEM 29.984375 1745203279.4341
MEM 29.984375 1745203279.4609
MEM 29.984375 1745203279.4931
MEM 29.984375 1745203279.5251
MEM 29.984375 1745203279.5523
MEM 29.984375 1745203279.5833
MEM 29.984375 1745203279.6086
MEM 29.984375 1745203279.6444
MEM 29.984375 1745203279.6751
MEM 29.984375 1745203279.7096
MEM 29.984375 1745203279.7381
MEM 29.984375 1745203279.7601
MEM 29.984375 1745203279.7726
MEM 29.984375 1745203279.7841
