CMDLINE python3 python_programs/Claude/minimum_operations_to_make_a_subsequence.py
MEM 0.234375 1745203277.1041
MEM 8.671875 1745203277.1201
MEM 11.671875 1745203277.1350
MEM 11.671875 1745203277.1534
MEM 11.671875 1745203277.1741
MEM 11.671875 1745203277.2015
MEM 11.671875 1745203277.3460
MEM 11.671875 1745203277.3778
MEM 11.671875 1745203277.4105
MEM 11.671875 1745203277.4400
MEM 11.671875 1745203277.4829
MEM 11.671875 1745203277.5186
MEM 11.671875 1745203277.5525
MEM 11.671875 1745203277.5983
MEM 11.671875 1745203277.6261
MEM 11.671875 1745203277.6540
MEM 11.671875 1745203277.6826
MEM 11.671875 1745203277.7193
MEM 11.671875 1745203277.7560
MEM 11.671875 1745203277.7993
MEM 11.671875 1745203277.8483
MEM 11.671875 1745203277.8820
MEM 11.671875 1745203277.9220
MEM 11.671875 1745203277.9555
MEM 11.671875 1745203277.9906
MEM 11.671875 1745203278.0191
MEM 11.671875 1745203278.0533
MEM 11.671875 1745203278.0855
MEM 11.671875 1745203278.1282
MEM 11.671875 1745203278.1782
MEM 11.671875 1745203278.2186
MEM 11.671875 1745203278.2474
MEM 11.671875 1745203278.3133
MEM 11.671875 1745203278.3511
MEM 11.671875 1745203278.3791
MEM 11.671875 1745203278.4082
MEM 11.671875 1745203278.4486
MEM 11.671875 1745203278.4873
MEM 11.671875 1745203278.5143
MEM 11.671875 1745203278.5418
MEM 11.671875 1745203278.5712
MEM 11.671875 1745203278.6046
MEM 11.671875 1745203278.6369
MEM 11.671875 1745203278.6703
MEM 11.671875 1745203278.7093
MEM 11.671875 1745203278.7452
MEM 11.671875 1745203278.7808
MEM 11.671875 1745203278.8210
MEM 11.671875 1745203278.8674
MEM 11.671875 1745203278.9121
MEM 11.671875 1745203278.9556
MEM 11.671875 1745203278.9881
MEM 11.671875 1745203279.0209
MEM 11.671875 1745203279.0534
MEM 11.671875 1745203279.0843
MEM 11.671875 1745203279.1222
MEM 11.671875 1745203279.1487
MEM 11.671875 1745203279.1818
MEM 11.671875 1745203279.2091
MEM 11.671875 1745203279.2381
MEM 11.671875 1745203279.2690
MEM 11.671875 1745203279.2961
MEM 11.671875 1745203279.3277
MEM 11.671875 1745203279.3563
MEM 11.671875 1745203279.3847
MEM 11.671875 1745203279.4122
MEM 11.671875 1745203279.4448
MEM 11.671875 1745203279.4713
MEM 11.671875 1745203279.4982
MEM 11.671875 1745203279.5257
MEM 11.671875 1745203279.5579
MEM 11.671875 1745203279.5932
MEM 11.671875 1745203279.6278
MEM 11.671875 1745203279.6566
MEM 11.671875 1745203279.6850
MEM 11.671875 1745203279.7169
MEM 11.671875 1745203279.7387
MEM 11.671875 1745203279.7617
