CMDLINE python3 python_programs/Claude/minimum_replacements_to_sort_the_array.py
MEM 0.234375 1745203277.1230
MEM 10.031250 1745203277.1724
MEM 10.031250 1745203277.2049
MEM 10.031250 1745203277.2669
MEM 10.031250 1745203277.3129
MEM 10.031250 1745203277.3484
MEM 10.031250 1745203277.3825
MEM 10.031250 1745203277.4136
MEM 10.031250 1745203277.4431
MEM 10.031250 1745203277.4790
MEM 10.031250 1745203277.5230
MEM 10.031250 1745203277.5536
MEM 10.031250 1745203277.5968
MEM 10.031250 1745203277.6241
MEM 10.031250 1745203277.6509
MEM 10.031250 1745203277.6794
MEM 10.031250 1745203277.7263
MEM 10.031250 1745203277.8327
MEM 10.031250 1745203277.8622
MEM 10.031250 1745203277.8890
MEM 10.031250 1745203277.9153
MEM 10.031250 1745203277.9432
MEM 10.031250 1745203277.9785
MEM 10.031250 1745203278.0151
MEM 10.031250 1745203278.0459
MEM 10.031250 1745203278.0804
MEM 10.031250 1745203278.1208
MEM 10.031250 1745203278.1636
MEM 10.031250 1745203278.2079
MEM 10.031250 1745203278.2362
MEM 10.031250 1745203278.2646
MEM 10.031250 1745203278.2884
MEM 10.031250 1745203278.3501
MEM 10.031250 1745203278.3925
MEM 10.031250 1745203278.4309
MEM 10.031250 1745203278.4625
MEM 10.031250 1745203278.4908
MEM 10.031250 1745203278.5173
MEM 10.031250 1745203278.5454
MEM 10.031250 1745203278.5730
MEM 10.031250 1745203278.6074
MEM 10.031250 1745203278.6493
MEM 10.031250 1745203278.6852
MEM 10.031250 1745203278.7235
MEM 10.031250 1745203278.7652
MEM 10.031250 1745203278.8040
MEM 10.031250 1745203278.8358
MEM 10.031250 1745203278.8796
MEM 10.031250 1745203278.9151
MEM 10.031250 1745203278.9420
MEM 10.031250 1745203278.9730
MEM 10.031250 1745203279.0039
MEM 10.031250 1745203279.0353
MEM 10.031250 1745203279.0674
MEM 10.031250 1745203279.0984
MEM 10.031250 1745203279.1311
MEM 10.031250 1745203279.1605
MEM 10.031250 1745203279.1937
MEM 10.031250 1745203279.2263
MEM 10.031250 1745203279.2538
MEM 10.031250 1745203279.2837
MEM 10.031250 1745203279.3152
MEM 10.031250 1745203279.3433
MEM 10.031250 1745203279.3723
MEM 10.031250 1745203279.4016
MEM 10.031250 1745203279.4367
MEM 10.031250 1745203279.4649
MEM 10.031250 1745203279.5011
MEM 10.031250 1745203279.5285
MEM 10.031250 1745203279.5605
MEM 10.031250 1745203279.5909
MEM 10.031250 1745203279.6275
MEM 10.031250 1745203279.6640
MEM 10.031250 1745203279.6953
MEM 10.031250 1745203279.7359
MEM 10.031250 1745203279.7609
