CMDLINE python3 python_programs/Claude/most_profit_assigning_work.py
MEM 0.234375 1745203277.0881
MEM 11.828125 1745203277.0976
MEM 11.828125 1745203277.1083
MEM 11.828125 1745203277.1224
MEM 11.828125 1745203277.1348
MEM 11.828125 1745203277.1560
MEM 11.828125 1745203277.1797
MEM 11.828125 1745203277.2069
MEM 11.828125 1745203277.3360
MEM 11.828125 1745203277.3758
MEM 11.828125 1745203277.4073
MEM 11.828125 1745203277.4381
MEM 11.828125 1745203277.4704
MEM 11.828125 1745203277.5067
MEM 11.828125 1745203277.5360
MEM 11.828125 1745203277.5721
MEM 11.828125 1745203277.6039
MEM 11.828125 1745203277.6313
MEM 11.828125 1745203277.6602
MEM 11.828125 1745203277.7015
MEM 11.828125 1745203277.7334
MEM 11.828125 1745203277.7620
MEM 11.828125 1745203277.7901
MEM 11.828125 1745203277.8183
MEM 11.828125 1745203277.8716
MEM 11.828125 1745203277.9265
MEM 11.828125 1745203277.9643
MEM 11.828125 1745203277.9944
MEM 11.828125 1745203278.0216
MEM 11.828125 1745203278.0499
MEM 11.828125 1745203278.0786
MEM 11.828125 1745203278.1171
MEM 11.828125 1745203278.1619
MEM 11.828125 1745203278.1974
MEM 11.828125 1745203278.2337
MEM 11.828125 1745203278.3055
MEM 11.828125 1745203278.3366
MEM 11.828125 1745203278.3650
MEM 11.828125 1745203278.4009
MEM 11.828125 1745203278.4357
MEM 11.828125 1745203278.4719
MEM 11.828125 1745203278.5021
MEM 11.828125 1745203278.5326
MEM 11.828125 1745203278.5599
MEM 11.828125 1745203278.5891
MEM 11.828125 1745203278.6232
MEM 11.828125 1745203278.6548
MEM 11.828125 1745203278.6969
MEM 11.828125 1745203278.7358
MEM 11.828125 1745203278.7694
MEM 11.828125 1745203278.7989
MEM 11.828125 1745203278.8359
MEM 11.828125 1745203278.8609
MEM 11.828125 1745203278.8868
MEM 11.828125 1745203278.9148
MEM 11.828125 1745203278.9424
MEM 11.828125 1745203278.9719
MEM 11.828125 1745203279.0054
MEM 11.828125 1745203279.0352
MEM 11.828125 1745203279.0650
MEM 11.828125 1745203279.0977
MEM 11.828125 1745203279.1266
MEM 11.828125 1745203279.1593
MEM 11.828125 1745203279.1892
MEM 11.828125 1745203279.2230
MEM 11.828125 1745203279.2506
MEM 11.828125 1745203279.2837
MEM 11.828125 1745203279.3111
MEM 11.828125 1745203279.3397
MEM 11.828125 1745203279.3670
MEM 11.828125 1745203279.3966
MEM 11.828125 1745203279.4232
MEM 11.828125 1745203279.4535
MEM 11.828125 1745203279.4827
MEM 11.828125 1745203279.5140
MEM 11.828125 1745203279.5455
MEM 11.828125 1745203279.5720
MEM 11.828125 1745203279.6002
MEM 11.828125 1745203279.6314
MEM 11.828125 1745203279.6600
MEM 11.828125 1745203279.6917
MEM 11.828125 1745203279.7207
