CMDLINE python3 python_programs/Claude/smallest_range_covering_elements_from_k_lists.py
MEM 0.234375 1745203277.1590
MEM 11.531250 1745203277.1916
MEM 11.531250 1745203277.2268
MEM 11.531250 1745203277.2828
MEM 11.718750 1745203277.3285
MEM 11.718750 1745203277.3636
MEM 11.718750 1745203277.3935
MEM 11.718750 1745203277.4271
MEM 11.718750 1745203277.4563
MEM 11.718750 1745203277.4899
MEM 11.718750 1745203277.5189
MEM 11.718750 1745203277.5519
MEM 11.718750 1745203277.5965
MEM 11.718750 1745203277.6338
MEM 11.718750 1745203277.6851
MEM 11.718750 1745203277.7254
MEM 11.718750 1745203277.7541
MEM 11.718750 1745203277.7826
MEM 11.718750 1745203277.8116
MEM 11.718750 1745203277.8628
MEM 11.718750 1745203277.9211
MEM 11.718750 1745203277.9721
MEM 11.718750 1745203278.0017
MEM 11.718750 1745203278.0302
MEM 11.718750 1745203278.0579
MEM 11.718750 1745203278.0877
MEM 11.718750 1745203278.1432
MEM 11.718750 1745203278.1774
MEM 11.718750 1745203278.2196
MEM 11.718750 1745203278.2551
MEM 11.718750 1745203278.2956
MEM 11.718750 1745203278.3362
MEM 11.718750 1745203278.3654
MEM 11.718750 1745203278.4139
MEM 11.718750 1745203278.4600
MEM 11.718750 1745203278.4889
MEM 11.718750 1745203278.5170
MEM 11.718750 1745203278.5458
MEM 11.718750 1745203278.5737
MEM 11.718750 1745203278.6109
MEM 11.718750 1745203278.6500
MEM 11.718750 1745203278.6930
MEM 11.718750 1745203278.7241
MEM 11.718750 1745203278.7641
MEM 11.718750 1745203278.8027
MEM 11.718750 1745203278.8351
MEM 11.718750 1745203278.8892
MEM 11.718750 1745203278.9214
MEM 11.718750 1745203278.9500
MEM 11.718750 1745203279.0024
MEM 11.718750 1745203279.0531
MEM 11.718750 1745203279.0977
MEM 11.718750 1745203279.1329
MEM 11.718750 1745203279.1590
MEM 11.718750 1745203279.1874
MEM 11.718750 1745203279.2183
MEM 11.718750 1745203279.2516
MEM 11.718750 1745203279.2835
MEM 11.718750 1745203279.3138
MEM 11.718750 1745203279.3465
MEM 11.718750 1745203279.3775
MEM 11.718750 1745203279.4092
MEM 11.718750 1745203279.4384
MEM 11.718750 1745203279.4688
MEM 11.718750 1745203279.4988
MEM 11.718750 1745203279.5319
MEM 11.718750 1745203279.5612
MEM 11.718750 1745203279.5914
MEM 11.718750 1745203279.6197
MEM 11.718750 1745203279.6581
MEM 11.718750 1745203279.6866
MEM 11.718750 1745203279.7177
MEM 11.718750 1745203279.7445
MEM 11.718750 1745203279.7647
