CMDLINE python3 python_programs/Claude/split_array_largest_sum.py
MEM 0.250000 1745203282.0729
MEM 9.109375 1745203282.0995
MEM 10.734375 1745203282.1225
MEM 10.734375 1745203282.1468
MEM 10.734375 1745203282.1719
MEM 10.734375 1745203282.1959
MEM 10.734375 1745203282.2204
MEM 10.734375 1745203282.2460
MEM 10.734375 1745203282.2713
MEM 10.734375 1745203282.2976
MEM 10.734375 1745203282.3228
MEM 10.734375 1745203282.3485
MEM 10.734375 1745203282.3746
MEM 10.734375 1745203282.3996
MEM 10.734375 1745203282.4243
MEM 10.734375 1745203282.4495
MEM 10.734375 1745203282.4759
MEM 10.734375 1745203282.5021
MEM 10.734375 1745203282.5266
MEM 10.734375 1745203282.5512
MEM 10.734375 1745203282.5773
MEM 10.734375 1745203282.6025
MEM 10.734375 1745203282.6270
MEM 10.734375 1745203282.6537
MEM 10.734375 1745203282.6790
MEM 10.734375 1745203282.7035
MEM 10.734375 1745203282.7288
MEM 10.734375 1745203282.7548
MEM 10.734375 1745203282.7800
MEM 10.734375 1745203282.8061
MEM 10.734375 1745203282.8307
MEM 10.734375 1745203282.8557
MEM 10.734375 1745203282.8804
MEM 10.734375 1745203282.9054
MEM 10.734375 1745203282.9307
MEM 10.734375 1745203282.9557
MEM 10.734375 1745203282.9821
MEM 10.734375 1745203283.0070
MEM 10.734375 1745203283.0319
MEM 10.734375 1745203283.0570
MEM 10.734375 1745203283.0821
MEM 10.734375 1745203283.1074
MEM 10.734375 1745203283.1320
MEM 10.734375 1745203283.1572
MEM 10.734375 1745203283.1825
MEM 10.734375 1745203283.2076
MEM 10.734375 1745203283.2308
MEM 10.734375 1745203283.2542
MEM 10.734375 1745203283.2793
MEM 10.734375 1745203283.3040
MEM 10.734375 1745203283.3286
MEM 10.734375 1745203283.3533
MEM 10.734375 1745203283.3781
MEM 10.734375 1745203283.4048
MEM 10.734375 1745203283.4296
MEM 10.734375 1745203283.4557
MEM 10.734375 1745203283.4807
MEM 10.734375 1745203283.5059
MEM 10.734375 1745203283.5316
MEM 10.734375 1745203283.5575
MEM 10.734375 1745203283.5821
MEM 10.734375 1745203283.6076
MEM 10.734375 1745203283.6318
MEM 10.734375 1745203283.6562
MEM 10.734375 1745203283.6802
MEM 10.734375 1745203283.7020
MEM 10.734375 1745203283.7211
MEM 10.734375 1745203283.7425
MEM 10.734375 1745203283.7656
MEM 10.734375 1745203283.7857
MEM 10.734375 1745203283.8058
MEM 10.734375 1745203283.8270
MEM 10.734375 1745203283.8475
MEM 10.734375 1745203283.8692
MEM 10.734375 1745203283.8904
MEM 10.734375 1745203283.9117
MEM 10.734375 1745203283.9325
MEM 10.734375 1745203283.9536
MEM 10.734375 1745203283.9745
MEM 10.734375 1745203283.9950
MEM 10.734375 1745203284.0155
MEM 10.734375 1745203284.0361
MEM 10.734375 1745203284.0565
MEM 10.734375 1745203284.0773
MEM 10.734375 1745203284.0982
MEM 10.734375 1745203284.1199
MEM 10.734375 1745203284.1409
MEM 10.734375 1745203284.1615
MEM 10.734375 1745203284.1822
MEM 10.734375 1745203284.2043
MEM 10.734375 1745203284.2254
MEM 10.734375 1745203284.2464
MEM 10.734375 1745203284.2669
MEM 10.734375 1745203284.2869
MEM 10.734375 1745203284.3081
MEM 10.734375 1745203284.3292
MEM 10.734375 1745203284.3503
MEM 10.734375 1745203284.3721
MEM 10.734375 1745203284.3928
MEM 10.734375 1745203284.4138
MEM 10.734375 1745203284.4352
MEM 10.734375 1745203284.4564
MEM 10.734375 1745203284.4788
MEM 10.734375 1745203284.5000
MEM 10.734375 1745203284.5212
MEM 10.734375 1745203284.5420
MEM 10.734375 1745203284.5631
MEM 10.734375 1745203284.5844
MEM 10.734375 1745203284.6063
MEM 10.734375 1745203284.6286
MEM 10.734375 1745203284.6498
MEM 10.734375 1745203284.6714
MEM 10.734375 1745203284.6923
MEM 10.734375 1745203284.7141
