CMDLINE python3 python_programs/Claude/stamping_the_grid.py
MEM 0.250000 1745203277.0718
MEM 7.609375 1745203277.0817
MEM 13.828125 1745203277.1516
MEM 13.875000 1745203277.1890
MEM 13.875000 1745203277.2194
MEM 13.875000 1745203277.2474
MEM 13.875000 1745203277.2746
MEM 13.875000 1745203277.3071
MEM 13.875000 1745203277.3372
MEM 13.875000 1745203277.3744
MEM 13.875000 1745203277.4148
MEM 13.875000 1745203277.4466
MEM 13.875000 1745203277.4805
MEM 13.875000 1745203277.5215
MEM 13.875000 1745203277.5639
MEM 13.875000 1745203277.6088
MEM 13.875000 1745203277.6521
MEM 13.875000 1745203277.6857
MEM 13.875000 1745203277.7266
MEM 13.875000 1745203277.7644
MEM 13.875000 1745203277.8136
MEM 13.875000 1745203277.8439
MEM 13.875000 1745203277.8701
MEM 13.875000 1745203277.9259
MEM 13.875000 1745203277.9711
MEM 13.875000 1745203277.9996
MEM 13.875000 1745203278.0288
MEM 13.875000 1745203278.0573
MEM 13.875000 1745203278.0877
MEM 13.875000 1745203278.1319
MEM 13.875000 1745203278.1705
MEM 13.875000 1745203278.2050
MEM 13.875000 1745203278.2446
MEM 13.875000 1745203278.2742
MEM 13.875000 1745203278.2986
MEM 13.875000 1745203278.3265
MEM 13.875000 1745203278.3656
MEM 13.875000 1745203278.4167
MEM 13.875000 1745203278.4662
MEM 13.875000 1745203278.4946
MEM 13.875000 1745203278.5214
MEM 13.875000 1745203278.5659
MEM 13.875000 1745203278.6138
MEM 13.875000 1745203278.6541
MEM 13.875000 1745203278.6857
MEM 13.875000 1745203278.7171
MEM 13.875000 1745203278.7482
MEM 13.875000 1745203278.7799
MEM 13.875000 1745203278.8169
MEM 13.875000 1745203278.8494
MEM 13.875000 1745203278.8758
MEM 13.875000 1745203278.9048
MEM 13.875000 1745203278.9605
MEM 13.875000 1745203278.9901
MEM 13.875000 1745203279.0213
MEM 13.875000 1745203279.0530
MEM 13.875000 1745203279.0840
MEM 13.875000 1745203279.1133
MEM 13.875000 1745203279.1408
MEM 13.875000 1745203279.1747
MEM 13.875000 1745203279.2072
MEM 13.875000 1745203279.2389
MEM 13.875000 1745203279.2679
MEM 13.875000 1745203279.2945
MEM 13.875000 1745203279.3249
MEM 13.875000 1745203279.3552
MEM 13.875000 1745203279.3830
MEM 13.875000 1745203279.4097
MEM 13.875000 1745203279.4383
MEM 13.875000 1745203279.4697
MEM 13.875000 1745203279.4967
MEM 13.875000 1745203279.5298
MEM 13.875000 1745203279.5587
MEM 13.875000 1745203279.5885
MEM 13.875000 1745203279.6193
MEM 13.875000 1745203279.6513
MEM 13.875000 1745203279.6778
MEM 13.875000 1745203279.7046
MEM 13.875000 1745203279.7342
