CMDLINE python3 python_programs/Claude/super_washing_machines.py
MEM 2.515625 1745203277.1459
MEM 11.000000 1745203277.1829
MEM 11.000000 1745203277.2157
MEM 11.000000 1745203277.2469
MEM 11.000000 1745203277.2761
MEM 11.000000 1745203277.3025
MEM 11.000000 1745203277.3305
MEM 11.000000 1745203277.3621
MEM 11.000000 1745203277.3959
MEM 11.000000 1745203277.4287
MEM 11.000000 1745203277.4566
MEM 11.000000 1745203277.4928
MEM 11.000000 1745203277.5227
MEM 11.000000 1745203277.5610
MEM 11.000000 1745203277.5956
MEM 11.000000 1745203277.6358
MEM 11.000000 1745203277.6724
MEM 11.000000 1745203277.7156
MEM 11.000000 1745203277.7518
MEM 11.000000 1745203277.7951
MEM 11.000000 1745203277.8331
MEM 11.000000 1745203277.8725
MEM 11.000000 1745203277.9065
MEM 11.000000 1745203277.9386
MEM 11.000000 1745203277.9799
MEM 11.000000 1745203278.0410
MEM 11.000000 1745203278.0903
MEM 11.000000 1745203278.1200
MEM 11.000000 1745203278.1495
MEM 11.000000 1745203278.1775
MEM 11.000000 1745203278.2131
MEM 11.000000 1745203278.2543
MEM 11.000000 1745203278.2991
MEM 11.000000 1745203278.3287
MEM 11.000000 1745203278.3633
MEM 11.000000 1745203278.4075
MEM 11.000000 1745203278.4351
MEM 11.000000 1745203278.4677
MEM 11.000000 1745203278.5061
MEM 11.000000 1745203278.5564
MEM 11.000000 1745203278.5875
MEM 11.000000 1745203278.6194
MEM 11.000000 1745203278.6562
MEM 11.000000 1745203278.6963
MEM 11.000000 1745203278.7295
MEM 11.000000 1745203278.7671
MEM 11.000000 1745203278.8098
MEM 11.000000 1745203278.8433
MEM 11.000000 1745203278.8890
MEM 11.000000 1745203278.9250
MEM 11.000000 1745203278.9585
MEM 11.000000 1745203278.9894
MEM 11.000000 1745203279.0275
MEM 11.000000 1745203279.0590
MEM 11.000000 1745203279.0926
MEM 11.000000 1745203279.1265
MEM 11.000000 1745203279.1647
MEM 11.000000 1745203279.1937
MEM 11.000000 1745203279.2201
MEM 11.000000 1745203279.2509
MEM 11.000000 1745203279.2790
MEM 11.000000 1745203279.3114
MEM 11.000000 1745203279.3441
MEM 11.000000 1745203279.3781
MEM 11.000000 1745203279.4114
MEM 11.000000 1745203279.4387
MEM 11.000000 1745203279.4649
MEM 11.000000 1745203279.4926
MEM 11.000000 1745203279.5200
MEM 11.000000 1745203279.5506
MEM 11.000000 1745203279.5805
MEM 11.000000 1745203279.6091
MEM 11.000000 1745203279.6386
MEM 11.000000 1745203279.6665
MEM 11.000000 1745203279.6957
MEM 11.000000 1745203279.7188
MEM 11.000000 1745203279.7490
