CMDLINE python3 python_programs/Claude/the_number_of_weak_characters_in_the_game.py
MEM 0.234375 1745203282.0898
MEM 15.203125 1745203282.1132
MEM 28.843750 1745203282.1394
MEM 28.843750 1745203282.1649
MEM 28.843750 1745203282.1908
MEM 28.843750 1745203282.2166
MEM 29.390625 1745203282.2415
MEM 29.734375 1745203282.2666
MEM 29.734375 1745203282.2919
MEM 29.734375 1745203282.3162
MEM 29.734375 1745203282.3411
MEM 29.734375 1745203282.3664
MEM 29.734375 1745203282.3911
MEM 29.734375 1745203282.4155
MEM 29.734375 1745203282.4400
MEM 29.734375 1745203282.4659
MEM 29.734375 1745203282.4906
MEM 29.734375 1745203282.5144
MEM 29.734375 1745203282.5381
MEM 29.734375 1745203282.5625
MEM 29.734375 1745203282.5869
MEM 29.734375 1745203282.6130
MEM 29.734375 1745203282.6388
MEM 29.734375 1745203282.6650
MEM 29.734375 1745203282.6915
MEM 29.734375 1745203282.7186
MEM 29.734375 1745203282.7432
MEM 29.734375 1745203282.7696
MEM 29.734375 1745203282.7948
MEM 29.734375 1745203282.8194
MEM 29.734375 1745203282.8443
MEM 29.734375 1745203282.8696
MEM 29.734375 1745203282.8929
MEM 29.734375 1745203282.9174
MEM 29.734375 1745203282.9419
MEM 29.734375 1745203282.9668
MEM 29.734375 1745203282.9920
MEM 29.734375 1745203283.0165
MEM 29.734375 1745203283.0414
MEM 29.734375 1745203283.0666
MEM 29.734375 1745203283.0918
MEM 29.734375 1745203283.1161
MEM 29.734375 1745203283.1414
MEM 29.734375 1745203283.1659
MEM 29.734375 1745203283.1924
MEM 29.734375 1745203283.2200
MEM 29.734375 1745203283.2474
MEM 29.734375 1745203283.2720
MEM 29.734375 1745203283.2982
MEM 29.734375 1745203283.3252
MEM 29.734375 1745203283.3510
MEM 29.734375 1745203283.3788
MEM 29.734375 1745203283.4042
MEM 29.734375 1745203283.4295
MEM 29.734375 1745203283.4549
MEM 29.734375 1745203283.4803
MEM 29.734375 1745203283.5063
MEM 29.734375 1745203283.5312
MEM 29.734375 1745203283.5578
MEM 29.734375 1745203283.5831
MEM 29.734375 1745203283.6088
MEM 29.734375 1745203283.6337
MEM 29.734375 1745203283.6577
MEM 29.734375 1745203283.6822
MEM 29.734375 1745203283.7012
MEM 29.734375 1745203283.7235
MEM 29.734375 1745203283.7453
MEM 29.734375 1745203283.7636
MEM 29.734375 1745203283.7853
MEM 29.734375 1745203283.8076
MEM 29.734375 1745203283.8274
MEM 29.734375 1745203283.8474
MEM 29.734375 1745203283.8690
MEM 29.734375 1745203283.8908
MEM 29.734375 1745203283.9124
MEM 29.734375 1745203283.9330
MEM 29.734375 1745203283.9537
MEM 29.734375 1745203283.9758
MEM 29.734375 1745203283.9973
MEM 29.734375 1745203284.0183
MEM 29.734375 1745203284.0393
MEM 29.734375 1745203284.0598
MEM 29.734375 1745203284.0809
MEM 29.734375 1745203284.1022
MEM 29.734375 1745203284.1226
MEM 29.734375 1745203284.1430
MEM 29.734375 1745203284.1643
MEM 29.734375 1745203284.1852
MEM 29.734375 1745203284.2069
MEM 29.734375 1745203284.2287
MEM 29.734375 1745203284.2499
MEM 29.734375 1745203284.2703
MEM 29.734375 1745203284.2918
MEM 29.734375 1745203284.3134
MEM 29.734375 1745203284.3347
MEM 29.734375 1745203284.3559
MEM 29.734375 1745203284.3782
MEM 29.734375 1745203284.3999
MEM 29.734375 1745203284.4236
MEM 29.734375 1745203284.4456
MEM 29.734375 1745203284.4665
MEM 29.734375 1745203284.4882
MEM 29.734375 1745203284.5090
MEM 29.734375 1745203284.5311
MEM 29.734375 1745203284.5516
MEM 29.734375 1745203284.5723
MEM 29.734375 1745203284.5935
MEM 29.734375 1745203284.6141
MEM 29.734375 1745203284.6343
MEM 29.734375 1745203284.6550
MEM 29.734375 1745203284.6760
MEM 29.734375 1745203284.6937
MEM 29.734375 1745203284.7090
MEM 29.734375 1745203284.7197
MEM 29.734375 1745203284.7452
MEM 29.734375 1745203284.7518
