CMDLINE python3 python_programs/Claude/wiggle_subsequence.py
MEM 0.218750 1745203277.2173
MEM 10.218750 1745203277.2414
MEM 10.218750 1745203277.2637
MEM 10.218750 1745203277.2870
MEM 11.765625 1745203277.3157
MEM 12.640625 1745203277.3431
MEM 12.640625 1745203277.3867
MEM 12.640625 1745203277.4573
MEM 12.640625 1745203277.4934
MEM 12.640625 1745203277.5444
MEM 12.640625 1745203277.5800
MEM 12.640625 1745203277.6365
MEM 12.640625 1745203277.7157
MEM 12.640625 1745203277.7442
MEM 12.640625 1745203277.7717
MEM 12.640625 1745203277.8002
MEM 12.640625 1745203277.8307
MEM 12.640625 1745203277.8724
MEM 12.640625 1745203277.9110
MEM 12.640625 1745203277.9405
MEM 12.640625 1745203278.0057
MEM 12.640625 1745203278.0670
MEM 12.640625 1745203278.1031
MEM 12.640625 1745203278.1306
MEM 12.640625 1745203278.1590
MEM 12.640625 1745203278.1874
MEM 12.640625 1745203278.2291
MEM 12.640625 1745203278.2892
MEM 12.640625 1745203278.3268
MEM 12.640625 1745203278.3540
MEM 12.640625 1745203278.3831
MEM 12.640625 1745203278.4114
MEM 12.640625 1745203278.4419
MEM 12.640625 1745203278.4890
MEM 12.640625 1745203278.5797
MEM 12.640625 1745203278.6198
MEM 12.640625 1745203278.6535
MEM 12.640625 1745203278.6832
MEM 12.640625 1745203278.7240
MEM 12.640625 1745203278.7637
MEM 12.640625 1745203278.7914
MEM 12.640625 1745203278.8334
MEM 12.640625 1745203278.8607
MEM 12.640625 1745203278.8876
MEM 12.640625 1745203278.9152
MEM 12.640625 1745203278.9428
MEM 12.640625 1745203278.9714
MEM 12.640625 1745203279.0012
MEM 12.640625 1745203279.0394
MEM 12.640625 1745203279.0687
MEM 12.640625 1745203279.1058
MEM 12.640625 1745203279.1368
MEM 12.640625 1745203279.1692
MEM 12.640625 1745203279.1972
MEM 12.640625 1745203279.2274
MEM 12.640625 1745203279.2595
MEM 12.640625 1745203279.2905
MEM 12.640625 1745203279.3192
MEM 12.640625 1745203279.3479
MEM 12.640625 1745203279.3765
MEM 12.640625 1745203279.4044
MEM 12.640625 1745203279.4374
MEM 12.640625 1745203279.4670
MEM 12.640625 1745203279.4995
MEM 12.640625 1745203279.5284
MEM 12.640625 1745203279.5561
MEM 12.640625 1745203279.5856
MEM 12.640625 1745203279.6200
MEM 12.640625 1745203279.6526
MEM 12.640625 1745203279.6877
MEM 12.640625 1745203279.7156
MEM 12.640625 1745203279.7402
MEM 12.640625 1745203279.7642
MEM 12.640625 1745203279.7762
MEM 12.640625 1745203279.7873
MEM 12.640625 1745203279.7955
MEM 12.640625 1745203279.8054
MEM 12.640625 1745203279.8124
MEM 12.640625 1745203279.8197
