CMDLINE python3 python_programs/Claude/word_abbreviation.py
MEM 0.234375 1745203282.0612
MEM 8.343750 1745203282.0921
MEM 10.359375 1745203282.1171
MEM 10.359375 1745203282.1435
MEM 10.359375 1745203282.1693
MEM 10.359375 1745203282.1936
MEM 10.390625 1745203282.2185
MEM 10.390625 1745203282.2437
MEM 10.390625 1745203282.2685
MEM 10.390625 1745203282.2935
MEM 10.390625 1745203282.3192
MEM 10.390625 1745203282.3450
MEM 10.390625 1745203282.3707
MEM 10.390625 1745203282.3959
MEM 10.390625 1745203282.4209
MEM 10.390625 1745203282.4467
MEM 10.390625 1745203282.4720
MEM 10.390625 1745203282.4969
MEM 10.390625 1745203282.5221
MEM 10.390625 1745203282.5478
MEM 10.390625 1745203282.5725
MEM 10.390625 1745203282.5976
MEM 10.390625 1745203282.6233
MEM 10.390625 1745203282.6487
MEM 10.390625 1745203282.6740
MEM 10.390625 1745203282.6992
MEM 10.390625 1745203282.7244
MEM 10.390625 1745203282.7502
MEM 10.390625 1745203282.7733
MEM 10.390625 1745203282.7992
MEM 10.390625 1745203282.8247
MEM 10.390625 1745203282.8501
MEM 10.390625 1745203282.8749
MEM 10.390625 1745203282.9005
MEM 10.390625 1745203282.9268
MEM 10.390625 1745203282.9521
MEM 10.390625 1745203282.9766
MEM 10.390625 1745203283.0014
MEM 10.390625 1745203283.0262
MEM 10.390625 1745203283.0513
MEM 10.390625 1745203283.0758
MEM 10.390625 1745203283.1009
MEM 10.390625 1745203283.1254
MEM 10.390625 1745203283.1503
MEM 10.390625 1745203283.1765
MEM 10.390625 1745203283.2022
MEM 10.390625 1745203283.2282
MEM 10.390625 1745203283.2520
MEM 10.390625 1745203283.2775
MEM 10.390625 1745203283.3025
MEM 10.390625 1745203283.3259
MEM 10.390625 1745203283.3501
MEM 10.390625 1745203283.3772
MEM 10.390625 1745203283.4023
MEM 10.390625 1745203283.4285
MEM 10.390625 1745203283.4544
MEM 10.390625 1745203283.4796
MEM 10.390625 1745203283.5051
MEM 10.390625 1745203283.5307
MEM 10.390625 1745203283.5567
MEM 10.390625 1745203283.5822
MEM 10.390625 1745203283.6085
MEM 10.390625 1745203283.6340
MEM 10.390625 1745203283.6585
MEM 10.390625 1745203283.6848
MEM 10.390625 1745203283.7114
MEM 10.390625 1745203283.7336
MEM 10.390625 1745203283.7570
MEM 10.390625 1745203283.7778
MEM 10.390625 1745203283.8019
MEM 10.390625 1745203283.8236
MEM 10.390625 1745203283.8444
MEM 10.390625 1745203283.8653
MEM 10.390625 1745203283.8867
MEM 10.390625 1745203283.9074
MEM 10.390625 1745203283.9287
MEM 10.390625 1745203283.9497
MEM 10.390625 1745203283.9711
MEM 10.390625 1745203283.9923
MEM 10.390625 1745203284.0134
MEM 10.390625 1745203284.0342
MEM 10.390625 1745203284.0544
MEM 10.390625 1745203284.0751
MEM 10.390625 1745203284.0959
MEM 10.390625 1745203284.1173
MEM 10.390625 1745203284.1387
MEM 10.390625 1745203284.1591
MEM 10.390625 1745203284.1795
MEM 10.390625 1745203284.2001
MEM 10.390625 1745203284.2206
MEM 10.390625 1745203284.2411
MEM 10.390625 1745203284.2619
MEM 10.390625 1745203284.2842
MEM 10.390625 1745203284.3052
MEM 10.390625 1745203284.3273
MEM 10.390625 1745203284.3481
MEM 10.390625 1745203284.3688
MEM 10.390625 1745203284.3895
MEM 10.390625 1745203284.4105
MEM 10.390625 1745203284.4323
MEM 10.390625 1745203284.4548
MEM 10.390625 1745203284.4777
MEM 10.390625 1745203284.4994
MEM 10.390625 1745203284.5208
MEM 10.390625 1745203284.5434
MEM 10.390625 1745203284.5641
MEM 10.390625 1745203284.5851
MEM 10.390625 1745203284.6067
MEM 10.390625 1745203284.6279
MEM 10.390625 1745203284.6498
MEM 10.390625 1745203284.6714
MEM 10.390625 1745203284.6926
MEM 10.390625 1745203284.7107
