CMDLINE python3 python_programs/Gemini/average_height_of_buildings_in_each_segment.py
MEM 1.296875 1745203271.8709
MEM 8.640625 1745203271.8877
MEM 12.421875 1745203271.9126
MEM 12.421875 1745203271.9354
MEM 12.421875 1745203271.9568
MEM 12.421875 1745203271.9778
MEM 12.421875 1745203272.0001
MEM 14.515625 1745203272.0212
MEM 14.515625 1745203272.0421
MEM 14.515625 1745203272.0649
MEM 14.515625 1745203272.0867
MEM 14.515625 1745203272.1083
MEM 14.515625 1745203272.1299
MEM 14.515625 1745203272.1512
MEM 14.515625 1745203272.1725
MEM 14.515625 1745203272.1939
MEM 14.515625 1745203272.2147
MEM 14.515625 1745203272.2361
MEM 14.515625 1745203272.2570
MEM 14.515625 1745203272.2774
MEM 14.515625 1745203272.2987
MEM 14.515625 1745203272.3201
MEM 14.515625 1745203272.3417
MEM 14.515625 1745203272.3626
MEM 14.515625 1745203272.3842
MEM 14.515625 1745203272.4058
MEM 14.515625 1745203272.4272
MEM 14.515625 1745203272.4481
MEM 14.515625 1745203272.4696
MEM 14.515625 1745203272.4908
MEM 14.515625 1745203272.5119
MEM 14.515625 1745203272.5330
MEM 14.515625 1745203272.5536
MEM 14.515625 1745203272.5746
MEM 14.515625 1745203272.5949
MEM 14.515625 1745203272.6157
MEM 14.515625 1745203272.6362
MEM 14.515625 1745203272.6565
MEM 14.515625 1745203272.6774
MEM 14.515625 1745203272.6981
MEM 14.515625 1745203272.7181
MEM 14.515625 1745203272.7387
MEM 14.515625 1745203272.7586
MEM 14.515625 1745203272.7789
MEM 14.515625 1745203272.7993
MEM 14.515625 1745203272.8198
MEM 14.515625 1745203272.8401
MEM 14.515625 1745203272.8605
MEM 14.515625 1745203272.8810
MEM 14.515625 1745203272.9016
MEM 14.515625 1745203272.9223
MEM 14.515625 1745203272.9436
MEM 14.515625 1745203272.9650
MEM 14.515625 1745203272.9865
MEM 14.515625 1745203273.0076
MEM 14.515625 1745203273.0293
MEM 14.515625 1745203273.0506
MEM 14.515625 1745203273.0718
MEM 14.515625 1745203273.0943
MEM 14.515625 1745203273.1152
MEM 14.515625 1745203273.1366
MEM 14.515625 1745203273.1581
MEM 14.515625 1745203273.1797
MEM 14.515625 1745203273.2021
MEM 14.515625 1745203273.2237
MEM 14.515625 1745203273.2456
MEM 14.515625 1745203273.2667
MEM 14.515625 1745203273.2885
MEM 14.515625 1745203273.3098
MEM 14.515625 1745203273.3312
MEM 14.515625 1745203273.3525
MEM 14.515625 1745203273.3738
MEM 14.515625 1745203273.3948
MEM 14.515625 1745203273.4150
MEM 14.515625 1745203273.4359
MEM 14.515625 1745203273.4564
MEM 14.515625 1745203273.4769
MEM 14.515625 1745203273.4981
MEM 14.515625 1745203273.5187
MEM 14.515625 1745203273.5394
MEM 14.515625 1745203273.5601
MEM 14.515625 1745203273.5805
MEM 14.515625 1745203273.6010
MEM 14.515625 1745203273.6216
MEM 14.515625 1745203273.6418
MEM 14.515625 1745203273.6621
MEM 14.515625 1745203273.6827
MEM 14.515625 1745203273.7036
MEM 14.515625 1745203273.7240
MEM 14.515625 1745203273.7458
MEM 14.515625 1745203273.7664
MEM 14.515625 1745203273.7877
MEM 14.515625 1745203273.8097
MEM 14.515625 1745203273.8301
MEM 14.515625 1745203273.8510
MEM 14.515625 1745203273.8718
MEM 14.515625 1745203273.8933
MEM 14.515625 1745203273.9147
MEM 14.515625 1745203273.9363
MEM 14.515625 1745203273.9566
MEM 14.515625 1745203273.9777
MEM 14.515625 1745203273.9991
MEM 14.515625 1745203274.0204
MEM 14.515625 1745203274.0416
MEM 14.515625 1745203274.0625
MEM 14.515625 1745203274.0841
MEM 14.515625 1745203274.1056
MEM 14.515625 1745203274.1264
MEM 14.515625 1745203274.1475
MEM 14.515625 1745203274.1689
MEM 14.515625 1745203274.1900
MEM 14.515625 1745203274.2104
MEM 14.515625 1745203274.2310
MEM 14.515625 1745203274.2513
MEM 14.515625 1745203274.2772
MEM 14.515625 1745203274.2976
MEM 14.515625 1745203274.3185
MEM 14.515625 1745203274.3401
MEM 14.515625 1745203274.3614
MEM 14.515625 1745203274.3816
MEM 14.515625 1745203274.4040
MEM 14.515625 1745203274.4244
MEM 14.515625 1745203274.4453
MEM 14.515625 1745203274.4666
MEM 14.515625 1745203274.4874
MEM 14.515625 1745203274.5087
MEM 14.515625 1745203274.5292
MEM 14.515625 1745203274.5500
MEM 14.515625 1745203274.5714
MEM 14.515625 1745203274.5921
MEM 14.515625 1745203274.6134
MEM 14.515625 1745203274.6342
MEM 14.515625 1745203274.6549
MEM 14.515625 1745203274.6764
MEM 14.515625 1745203274.6974
MEM 14.515625 1745203274.7184
MEM 14.515625 1745203274.7392
MEM 14.515625 1745203274.7596
MEM 14.515625 1745203274.7800
MEM 14.515625 1745203274.8023
MEM 14.515625 1745203274.8234
MEM 14.515625 1745203274.8437
MEM 14.515625 1745203274.8654
MEM 14.515625 1745203274.8870
MEM 14.515625 1745203274.9082
MEM 14.515625 1745203274.9301
MEM 14.515625 1745203274.9484
MEM 14.515625 1745203274.9671
MEM 14.515625 1745203274.9845
MEM 14.515625 1745203275.0017
MEM 14.515625 1745203275.0199
