CMDLINE python3 python_programs/Gemini/lexicographically_smallest_string_after_substring_operation.py
MEM 0.203125 1745203266.8780
MEM 6.390625 1745203266.8863
MEM 8.203125 1745203266.8941
MEM 9.718750 1745203266.9023
MEM 9.718750 1745203266.9112
MEM 9.718750 1745203266.9194
MEM 9.718750 1745203266.9391
MEM 9.718750 1745203266.9988
MEM 10.218750 1745203267.0181
MEM 10.296875 1745203267.0355
MEM 10.296875 1745203267.0605
MEM 10.296875 1745203267.1038
MEM 10.296875 1745203267.1611
MEM 10.296875 1745203267.1965
MEM 10.296875 1745203267.2368
MEM 10.296875 1745203267.2692
MEM 10.296875 1745203267.3072
MEM 10.296875 1745203267.3350
MEM 10.296875 1745203267.3642
MEM 10.296875 1745203267.3951
MEM 10.296875 1745203267.4320
MEM 10.296875 1745203267.4653
MEM 10.296875 1745203267.5008
MEM 10.296875 1745203267.5493
MEM 10.296875 1745203267.5833
MEM 10.296875 1745203267.6129
MEM 10.296875 1745203267.6571
MEM 10.296875 1745203267.6948
MEM 10.296875 1745203267.7292
MEM 10.296875 1745203267.7719
MEM 10.296875 1745203267.7996
MEM 10.296875 1745203267.8412
MEM 10.296875 1745203267.8681
MEM 10.296875 1745203267.9098
MEM 10.296875 1745203267.9410
MEM 10.296875 1745203267.9737
MEM 10.296875 1745203268.0062
MEM 10.296875 1745203268.0409
MEM 10.296875 1745203268.0830
MEM 10.296875 1745203268.1225
MEM 10.296875 1745203268.1631
MEM 10.296875 1745203268.2003
MEM 10.296875 1745203268.2378
MEM 10.296875 1745203268.3013
MEM 10.296875 1745203268.3894
MEM 10.296875 1745203268.4253
MEM 10.296875 1745203268.4521
MEM 10.296875 1745203268.4807
MEM 10.296875 1745203268.5137
