CMDLINE python3 python_programs/Gemini/maximum_running_time_of_n_computers.py
MEM 2.531250 1745203271.9044
MEM 10.187500 1745203271.9313
MEM 10.187500 1745203271.9543
MEM 10.187500 1745203271.9769
MEM 10.187500 1745203271.9979
MEM 10.187500 1745203272.0185
MEM 10.187500 1745203272.0399
MEM 10.187500 1745203272.0603
MEM 10.187500 1745203272.0814
MEM 10.187500 1745203272.1019
MEM 10.187500 1745203272.1222
MEM 10.187500 1745203272.1427
MEM 10.187500 1745203272.1641
MEM 10.187500 1745203272.1844
MEM 10.187500 1745203272.2059
MEM 10.187500 1745203272.2263
MEM 10.187500 1745203272.2469
MEM 10.187500 1745203272.2672
MEM 10.187500 1745203272.2889
MEM 10.187500 1745203272.3094
MEM 10.187500 1745203272.3301
MEM 10.187500 1745203272.3514
MEM 10.187500 1745203272.3720
MEM 10.187500 1745203272.3923
MEM 10.187500 1745203272.4130
MEM 10.187500 1745203272.4337
MEM 10.187500 1745203272.4540
MEM 10.187500 1745203272.4752
MEM 10.187500 1745203272.4959
MEM 10.187500 1745203272.5171
MEM 10.187500 1745203272.5383
MEM 10.187500 1745203272.5592
MEM 10.187500 1745203272.5806
MEM 10.187500 1745203272.6002
MEM 10.187500 1745203272.6214
MEM 10.187500 1745203272.6426
MEM 10.187500 1745203272.6636
MEM 10.187500 1745203272.6847
MEM 10.187500 1745203272.7062
MEM 10.187500 1745203272.7275
MEM 10.187500 1745203272.7481
MEM 10.187500 1745203272.7698
MEM 10.187500 1745203272.7906
MEM 10.187500 1745203272.8110
MEM 10.187500 1745203272.8315
MEM 10.187500 1745203272.8522
MEM 10.187500 1745203272.8738
MEM 10.187500 1745203272.8947
MEM 10.187500 1745203272.9150
MEM 10.187500 1745203272.9360
MEM 10.187500 1745203272.9566
MEM 10.187500 1745203272.9775
MEM 10.187500 1745203272.9983
MEM 10.187500 1745203273.0192
MEM 10.187500 1745203273.0403
MEM 10.187500 1745203273.0611
MEM 10.187500 1745203273.0824
MEM 10.187500 1745203273.1031
MEM 10.187500 1745203273.1247
MEM 10.187500 1745203273.1455
MEM 10.187500 1745203273.1662
MEM 10.187500 1745203273.1882
MEM 10.187500 1745203273.2092
MEM 10.187500 1745203273.2306
MEM 10.187500 1745203273.2511
MEM 10.187500 1745203273.2722
MEM 10.187500 1745203273.2923
MEM 10.187500 1745203273.3130
MEM 10.187500 1745203273.3343
MEM 10.187500 1745203273.3546
MEM 10.187500 1745203273.3759
MEM 10.187500 1745203273.3974
MEM 10.187500 1745203273.4188
MEM 10.187500 1745203273.4399
MEM 10.187500 1745203273.4605
MEM 10.187500 1745203273.4815
MEM 10.187500 1745203273.5017
MEM 10.187500 1745203273.5220
MEM 10.187500 1745203273.5426
MEM 10.187500 1745203273.5630
MEM 10.187500 1745203273.5835
MEM 10.187500 1745203273.6043
MEM 10.187500 1745203273.6249
MEM 10.187500 1745203273.6456
MEM 10.187500 1745203273.6662
MEM 10.187500 1745203273.6875
MEM 10.187500 1745203273.7079
MEM 10.187500 1745203273.7286
MEM 10.187500 1745203273.7498
MEM 10.187500 1745203273.7704
MEM 10.187500 1745203273.7917
MEM 10.187500 1745203273.8125
MEM 10.187500 1745203273.8334
MEM 10.187500 1745203273.8542
MEM 10.187500 1745203273.8752
MEM 10.187500 1745203273.8960
MEM 10.187500 1745203273.9168
MEM 10.187500 1745203273.9377
MEM 10.187500 1745203273.9581
MEM 10.187500 1745203273.9788
MEM 10.187500 1745203274.0003
MEM 10.187500 1745203274.0213
MEM 10.187500 1745203274.0425
MEM 10.187500 1745203274.0634
MEM 10.187500 1745203274.0845
MEM 10.187500 1745203274.1061
MEM 10.187500 1745203274.1282
MEM 10.187500 1745203274.1487
MEM 10.187500 1745203274.1700
MEM 10.187500 1745203274.1919
MEM 10.187500 1745203274.2128
MEM 10.187500 1745203274.2334
MEM 10.187500 1745203274.2543
MEM 10.187500 1745203274.2737
MEM 10.187500 1745203274.2952
MEM 10.187500 1745203274.3156
MEM 10.187500 1745203274.3374
MEM 10.187500 1745203274.3589
MEM 10.187500 1745203274.3805
MEM 10.187500 1745203274.4022
MEM 10.187500 1745203274.4227
MEM 10.187500 1745203274.4441
MEM 10.187500 1745203274.4658
MEM 10.187500 1745203274.4865
MEM 10.187500 1745203274.5077
MEM 10.187500 1745203274.5293
MEM 10.187500 1745203274.5500
MEM 10.187500 1745203274.5710
MEM 10.187500 1745203274.5916
MEM 10.187500 1745203274.6130
MEM 10.187500 1745203274.6341
MEM 10.187500 1745203274.6548
MEM 10.187500 1745203274.6753
MEM 10.187500 1745203274.6960
MEM 10.187500 1745203274.7172
MEM 10.187500 1745203274.7379
MEM 10.187500 1745203274.7583
MEM 10.187500 1745203274.7804
MEM 10.187500 1745203274.8019
MEM 10.187500 1745203274.8243
MEM 10.187500 1745203274.8445
MEM 10.187500 1745203274.8662
MEM 10.187500 1745203274.8874
MEM 10.187500 1745203274.9085
MEM 10.187500 1745203274.9303
