CMDLINE python3 python_programs/Gemini/maximum_strength_of_a_group.py
MEM 0.203125 1745203267.1524
MEM 10.359375 1745203267.2145
MEM 10.578125 1745203267.2559
MEM 12.703125 1745203267.3424
MEM 12.703125 1745203267.3944
MEM 12.703125 1745203267.4226
MEM 12.703125 1745203267.4524
MEM 12.703125 1745203267.4923
MEM 12.703125 1745203267.5270
MEM 12.703125 1745203267.5625
MEM 12.703125 1745203267.6007
MEM 12.703125 1745203267.6422
MEM 12.703125 1745203267.6695
MEM 12.703125 1745203267.7078
MEM 12.703125 1745203267.7618
MEM 12.703125 1745203267.7902
MEM 12.703125 1745203267.8224
MEM 12.703125 1745203267.8641
MEM 12.703125 1745203267.9010
MEM 12.703125 1745203267.9322
MEM 12.703125 1745203267.9669
MEM 12.703125 1745203268.0027
MEM 12.703125 1745203268.0403
MEM 12.703125 1745203268.0752
MEM 12.703125 1745203268.1079
MEM 12.703125 1745203268.1427
MEM 12.703125 1745203268.1724
MEM 12.703125 1745203268.2019
MEM 12.703125 1745203268.2358
MEM 12.703125 1745203268.2714
MEM 12.703125 1745203268.3050
MEM 12.703125 1745203268.3337
MEM 12.703125 1745203268.3888
MEM 12.703125 1745203268.4412
MEM 12.703125 1745203268.4863
MEM 12.703125 1745203268.5248
MEM 12.703125 1745203268.5699
MEM 12.703125 1745203268.6283
MEM 12.703125 1745203268.6574
MEM 12.703125 1745203268.6803
MEM 12.703125 1745203268.7108
MEM 12.703125 1745203268.7419
