CMDLINE python3 python_programs/Gemini/maximum_xor_product.py
MEM 0.453125 1745203271.9209
MEM 9.968750 1745203271.9458
MEM 9.968750 1745203271.9706
MEM 9.968750 1745203271.9912
MEM 9.968750 1745203272.0125
MEM 9.968750 1745203272.0338
MEM 10.500000 1745203272.0545
MEM 10.500000 1745203272.0752
MEM 10.500000 1745203272.0963
MEM 10.500000 1745203272.1172
MEM 10.500000 1745203272.1371
MEM 10.500000 1745203272.1581
MEM 10.500000 1745203272.1790
MEM 10.500000 1745203272.1996
MEM 10.500000 1745203272.2204
MEM 10.500000 1745203272.2411
MEM 10.500000 1745203272.2624
MEM 10.500000 1745203272.2849
MEM 10.500000 1745203272.3058
MEM 10.500000 1745203272.3265
MEM 10.500000 1745203272.3473
MEM 10.500000 1745203272.3696
MEM 10.500000 1745203272.3905
MEM 10.500000 1745203272.4114
MEM 10.500000 1745203272.4327
MEM 10.500000 1745203272.4532
MEM 10.500000 1745203272.4744
MEM 10.500000 1745203272.4953
MEM 10.500000 1745203272.5167
MEM 10.500000 1745203272.5375
MEM 10.500000 1745203272.5583
MEM 10.500000 1745203272.5796
MEM 10.500000 1745203272.5999
MEM 10.500000 1745203272.6210
MEM 10.500000 1745203272.6421
MEM 10.500000 1745203272.6639
MEM 10.500000 1745203272.6849
MEM 10.500000 1745203272.7060
MEM 10.500000 1745203272.7273
MEM 10.500000 1745203272.7479
MEM 10.500000 1745203272.7706
MEM 10.500000 1745203272.7919
MEM 10.500000 1745203272.8141
MEM 10.500000 1745203272.8357
MEM 10.500000 1745203272.8571
MEM 10.500000 1745203272.8787
MEM 10.500000 1745203272.8998
MEM 10.500000 1745203272.9214
MEM 10.500000 1745203272.9427
MEM 10.500000 1745203272.9644
MEM 10.500000 1745203272.9859
MEM 10.500000 1745203273.0071
MEM 10.500000 1745203273.0288
MEM 10.500000 1745203273.0503
MEM 10.500000 1745203273.0713
MEM 10.500000 1745203273.0929
MEM 10.500000 1745203273.1147
MEM 10.500000 1745203273.1364
MEM 10.500000 1745203273.1575
MEM 10.500000 1745203273.1794
MEM 10.500000 1745203273.2012
MEM 10.500000 1745203273.2237
MEM 10.500000 1745203273.2449
MEM 10.500000 1745203273.2661
MEM 10.500000 1745203273.2884
MEM 10.500000 1745203273.3097
MEM 10.500000 1745203273.3310
MEM 10.500000 1745203273.3529
MEM 10.500000 1745203273.3747
MEM 10.500000 1745203273.3960
MEM 10.500000 1745203273.4170
MEM 10.500000 1745203273.4377
MEM 10.500000 1745203273.4580
MEM 10.500000 1745203273.4783
MEM 10.500000 1745203273.4992
MEM 10.500000 1745203273.5201
MEM 10.500000 1745203273.5409
MEM 10.500000 1745203273.5618
MEM 10.500000 1745203273.5825
MEM 10.500000 1745203273.6033
MEM 10.500000 1745203273.6243
MEM 10.500000 1745203273.6450
MEM 10.500000 1745203273.6654
MEM 10.500000 1745203273.6862
MEM 10.500000 1745203273.7071
MEM 10.500000 1745203273.7277
MEM 10.500000 1745203273.7492
MEM 10.500000 1745203273.7705
MEM 10.500000 1745203273.7922
MEM 10.500000 1745203273.8129
MEM 10.500000 1745203273.8339
MEM 10.500000 1745203273.8552
MEM 10.500000 1745203273.8757
MEM 10.500000 1745203273.8966
MEM 10.500000 1745203273.9179
MEM 10.500000 1745203273.9388
MEM 10.500000 1745203273.9595
MEM 10.500000 1745203273.9803
MEM 10.500000 1745203274.0015
MEM 10.500000 1745203274.0225
MEM 10.500000 1745203274.0440
MEM 10.500000 1745203274.0647
MEM 10.500000 1745203274.0854
MEM 10.500000 1745203274.1067
MEM 10.500000 1745203274.1284
MEM 10.500000 1745203274.1491
MEM 10.500000 1745203274.1699
MEM 10.500000 1745203274.1910
MEM 10.500000 1745203274.2121
MEM 10.500000 1745203274.2326
MEM 10.500000 1745203274.2533
MEM 10.500000 1745203274.2742
MEM 10.500000 1745203274.2949
MEM 10.500000 1745203274.3157
MEM 10.500000 1745203274.3377
MEM 10.500000 1745203274.3586
MEM 10.500000 1745203274.3795
MEM 10.500000 1745203274.4004
MEM 10.500000 1745203274.4207
MEM 10.500000 1745203274.4415
MEM 10.500000 1745203274.4626
MEM 10.500000 1745203274.4829
MEM 10.500000 1745203274.5033
MEM 10.500000 1745203274.5236
MEM 10.500000 1745203274.5442
MEM 10.500000 1745203274.5662
MEM 10.500000 1745203274.5870
MEM 10.500000 1745203274.6088
MEM 10.500000 1745203274.6296
MEM 10.500000 1745203274.6498
MEM 10.500000 1745203274.6706
MEM 10.500000 1745203274.6930
MEM 10.500000 1745203274.7138
MEM 10.500000 1745203274.7345
MEM 10.500000 1745203274.7556
MEM 10.500000 1745203274.7780
MEM 10.500000 1745203274.7999
MEM 10.500000 1745203274.8209
MEM 10.500000 1745203274.8420
MEM 10.500000 1745203274.8638
MEM 10.500000 1745203274.8842
MEM 10.500000 1745203274.9048
MEM 10.500000 1745203274.9262
MEM 10.500000 1745203274.9449
MEM 10.500000 1745203274.9643
MEM 10.500000 1745203274.9824
MEM 10.500000 1745203274.9999
MEM 10.500000 1745203275.0183
MEM 10.500000 1745203275.0290
MEM 10.500000 1745203275.0355
MEM 10.500000 1745203275.0433
MEM 10.500000 1745203275.0517
