CMDLINE python3 python_programs/Gemini/minimum_number_of_arrows_to_burst_balloons.py
MEM 0.250000 1745203266.9510
MEM 8.656250 1745203266.9598
MEM 9.406250 1745203266.9754
MEM 24.531250 1745203266.9945
MEM 28.234375 1745203267.0082
MEM 28.234375 1745203267.0248
MEM 28.234375 1745203267.0437
MEM 28.234375 1745203267.1322
MEM 29.328125 1745203267.1786
MEM 29.328125 1745203267.2102
MEM 29.328125 1745203267.2451
MEM 29.328125 1745203267.2774
MEM 29.328125 1745203267.3119
MEM 29.328125 1745203267.3409
MEM 29.328125 1745203267.3684
MEM 29.328125 1745203267.3947
MEM 29.328125 1745203267.4278
MEM 29.328125 1745203267.4655
MEM 29.328125 1745203267.4968
MEM 29.328125 1745203267.5323
MEM 29.328125 1745203267.5820
MEM 29.328125 1745203267.6155
MEM 29.328125 1745203267.6456
MEM 29.328125 1745203267.6738
MEM 29.328125 1745203267.7256
MEM 29.328125 1745203267.7547
MEM 29.328125 1745203267.7856
MEM 29.328125 1745203267.8219
MEM 29.328125 1745203267.8501
MEM 29.328125 1745203267.8843
MEM 29.328125 1745203267.9178
MEM 29.328125 1745203267.9567
MEM 29.328125 1745203268.0005
MEM 29.328125 1745203268.0382
MEM 29.328125 1745203268.0861
MEM 29.328125 1745203268.1231
MEM 29.328125 1745203268.1511
MEM 29.328125 1745203268.1837
MEM 29.328125 1745203268.2276
MEM 29.328125 1745203268.2599
MEM 29.328125 1745203268.2890
MEM 29.328125 1745203268.3194
MEM 29.328125 1745203268.3597
MEM 29.328125 1745203268.4040
MEM 29.328125 1745203268.4383
MEM 29.328125 1745203268.4660
MEM 29.328125 1745203268.4952
MEM 29.328125 1745203268.5228
MEM 29.328125 1745203268.5499
MEM 29.328125 1745203268.5748
MEM 29.328125 1745203268.6019
MEM 29.328125 1745203268.6296
MEM 29.328125 1745203268.6582
MEM 29.328125 1745203268.6841
MEM 29.328125 1745203268.7236
MEM 29.328125 1745203268.7532
MEM 29.328125 1745203268.7837
MEM 29.328125 1745203268.8131
MEM 29.328125 1745203268.8536
MEM 29.328125 1745203268.8823
MEM 29.328125 1745203268.9075
MEM 29.328125 1745203268.9359
MEM 29.328125 1745203268.9643
MEM 29.328125 1745203268.9924
MEM 29.328125 1745203269.0198
MEM 29.328125 1745203269.0399
MEM 29.328125 1745203269.0672
MEM 29.328125 1745203269.0936
MEM 29.328125 1745203269.1216
MEM 29.328125 1745203269.1460
MEM 29.328125 1745203269.1723
MEM 29.328125 1745203269.1984
MEM 29.328125 1745203269.2331
MEM 29.328125 1745203269.2643
MEM 29.328125 1745203269.2959
MEM 29.328125 1745203269.3277
MEM 29.328125 1745203269.3552
MEM 29.328125 1745203269.3841
MEM 29.328125 1745203269.4134
MEM 29.328125 1745203269.4433
MEM 29.328125 1745203269.4844
MEM 29.328125 1745203269.5227
MEM 29.328125 1745203269.5607
MEM 29.328125 1745203269.5884
MEM 29.328125 1745203269.6143
MEM 29.328125 1745203269.6434
MEM 29.328125 1745203269.6699
MEM 29.328125 1745203269.7010
MEM 29.328125 1745203269.7351
MEM 29.328125 1745203269.7628
MEM 29.328125 1745203269.7930
MEM 29.328125 1745203269.8275
MEM 29.328125 1745203269.8573
MEM 29.328125 1745203269.8843
MEM 29.328125 1745203269.9178
MEM 29.328125 1745203269.9560
MEM 29.328125 1745203269.9939
MEM 29.328125 1745203270.0315
MEM 29.328125 1745203270.0701
MEM 29.328125 1745203270.1032
MEM 29.328125 1745203270.1318
MEM 28.328125 1745203270.1577
