CMDLINE python3 python_programs/Gemini/minimum_operations_to_make_a_subsequence.py
MEM 0.218750 1745203267.0366
MEM 11.531250 1745203267.0597
MEM 11.531250 1745203267.0905
MEM 11.531250 1745203267.1435
MEM 11.531250 1745203267.1896
MEM 11.531250 1745203267.2221
MEM 11.531250 1745203267.2541
MEM 11.531250 1745203267.2874
MEM 11.531250 1745203267.3183
MEM 11.531250 1745203267.3466
MEM 11.531250 1745203267.3745
MEM 11.531250 1745203267.4308
MEM 11.531250 1745203267.4629
MEM 11.531250 1745203267.4955
MEM 11.531250 1745203267.5334
MEM 11.531250 1745203267.5632
MEM 11.531250 1745203267.6077
MEM 11.531250 1745203267.6364
MEM 11.531250 1745203267.6727
MEM 11.531250 1745203267.7024
MEM 11.531250 1745203267.7296
MEM 11.531250 1745203267.7569
MEM 11.531250 1745203267.7954
MEM 11.531250 1745203267.8349
MEM 11.531250 1745203267.8675
MEM 11.531250 1745203267.9022
MEM 11.531250 1745203267.9462
MEM 11.531250 1745203267.9811
MEM 11.531250 1745203268.0177
MEM 11.531250 1745203268.0552
MEM 11.531250 1745203268.0939
MEM 11.531250 1745203268.1308
MEM 11.531250 1745203268.1585
MEM 11.531250 1745203268.1902
MEM 11.531250 1745203268.2220
MEM 11.531250 1745203268.2515
MEM 11.531250 1745203268.2821
MEM 11.531250 1745203268.3166
MEM 11.531250 1745203268.3517
MEM 11.531250 1745203268.3830
MEM 11.531250 1745203268.4107
MEM 11.531250 1745203268.4398
MEM 11.531250 1745203268.4703
MEM 11.531250 1745203268.5028
MEM 11.531250 1745203268.5341
MEM 11.531250 1745203268.5684
MEM 11.531250 1745203268.5969
MEM 11.531250 1745203268.6265
MEM 11.531250 1745203268.6704
MEM 11.531250 1745203268.7002
MEM 11.531250 1745203268.7341
MEM 11.531250 1745203268.7687
MEM 11.531250 1745203268.7998
MEM 11.531250 1745203268.8248
MEM 11.531250 1745203268.8485
MEM 11.531250 1745203268.8740
MEM 11.531250 1745203268.8985
MEM 11.531250 1745203268.9224
MEM 11.531250 1745203268.9531
MEM 11.531250 1745203268.9814
MEM 11.531250 1745203269.0171
MEM 11.531250 1745203269.0480
MEM 11.531250 1745203269.0730
MEM 11.531250 1745203269.1051
MEM 11.531250 1745203269.1315
MEM 11.531250 1745203269.1609
MEM 11.531250 1745203269.1905
MEM 11.531250 1745203269.2255
MEM 11.531250 1745203269.2530
MEM 11.531250 1745203269.2797
MEM 11.531250 1745203269.3084
MEM 11.531250 1745203269.3386
MEM 11.531250 1745203269.3682
MEM 11.531250 1745203269.3974
MEM 11.531250 1745203269.4297
MEM 11.531250 1745203269.4576
MEM 11.531250 1745203269.4863
MEM 11.531250 1745203269.5133
MEM 11.531250 1745203269.5409
MEM 11.531250 1745203269.5700
MEM 11.531250 1745203269.5971
MEM 11.531250 1745203269.6268
MEM 11.531250 1745203269.6595
MEM 11.531250 1745203269.6910
MEM 11.531250 1745203269.7201
MEM 11.531250 1745203269.7493
MEM 11.531250 1745203269.7837
MEM 11.531250 1745203269.8120
MEM 11.531250 1745203269.8412
MEM 11.531250 1745203269.8705
MEM 11.531250 1745203269.8991
MEM 11.531250 1745203269.9321
MEM 11.531250 1745203269.9615
MEM 11.531250 1745203269.9926
MEM 11.531250 1745203270.0203
MEM 11.531250 1745203270.0507
MEM 11.531250 1745203270.0767
MEM 11.531250 1745203270.1029
MEM 11.531250 1745203270.1315
MEM 11.531250 1745203270.1562
MEM 11.531250 1745203270.1770
