CMDLINE python3 python_programs/Gemini/minimum_operations_to_make_the_array_alternating.py
MEM 0.218750 1745203271.8748
MEM 10.328125 1745203271.8881
MEM 10.578125 1745203271.9189
MEM 10.578125 1745203271.9413
MEM 10.578125 1745203271.9637
MEM 10.578125 1745203271.9846
MEM 11.484375 1745203272.0061
MEM 11.484375 1745203272.0276
MEM 11.484375 1745203272.0481
MEM 11.484375 1745203272.0686
MEM 11.484375 1745203272.0891
MEM 11.484375 1745203272.1098
MEM 11.484375 1745203272.1305
MEM 11.484375 1745203272.1514
MEM 11.484375 1745203272.1723
MEM 11.484375 1745203272.1936
MEM 11.484375 1745203272.2144
MEM 11.484375 1745203272.2365
MEM 11.484375 1745203272.2576
MEM 11.484375 1745203272.2781
MEM 11.484375 1745203272.2991
MEM 11.484375 1745203272.3201
MEM 11.484375 1745203272.3412
MEM 11.484375 1745203272.3629
MEM 11.484375 1745203272.3840
MEM 11.484375 1745203272.4053
MEM 11.484375 1745203272.4264
MEM 11.484375 1745203272.4485
MEM 11.484375 1745203272.4702
MEM 11.484375 1745203272.4920
MEM 11.484375 1745203272.5129
MEM 11.484375 1745203272.5341
MEM 11.484375 1745203272.5552
MEM 11.484375 1745203272.5763
MEM 11.484375 1745203272.6024
MEM 11.484375 1745203272.6231
MEM 11.484375 1745203272.6436
MEM 11.484375 1745203272.6655
MEM 11.484375 1745203272.6863
MEM 11.484375 1745203272.7073
MEM 11.484375 1745203272.7286
MEM 11.484375 1745203272.7503
MEM 11.484375 1745203272.7714
MEM 11.484375 1745203272.7927
MEM 11.484375 1745203272.8139
MEM 11.484375 1745203272.8355
MEM 11.484375 1745203272.8574
MEM 11.484375 1745203272.8785
MEM 11.484375 1745203272.8997
MEM 11.484375 1745203272.9209
MEM 11.484375 1745203272.9420
MEM 11.484375 1745203272.9637
MEM 11.484375 1745203272.9850
MEM 11.484375 1745203273.0058
MEM 11.484375 1745203273.0258
MEM 11.484375 1745203273.0462
MEM 11.484375 1745203273.0671
MEM 11.484375 1745203273.0875
MEM 11.484375 1745203273.1079
MEM 11.484375 1745203273.1284
MEM 11.484375 1745203273.1488
MEM 11.484375 1745203273.1688
MEM 11.484375 1745203273.1900
MEM 11.484375 1745203273.2110
MEM 11.484375 1745203273.2325
MEM 11.484375 1745203273.2535
MEM 11.484375 1745203273.2740
MEM 11.484375 1745203273.2950
MEM 11.484375 1745203273.3157
MEM 11.484375 1745203273.3366
MEM 11.484375 1745203273.3571
MEM 11.484375 1745203273.3769
MEM 11.484375 1745203273.3985
MEM 11.484375 1745203273.4197
MEM 11.484375 1745203273.4406
MEM 11.484375 1745203273.4629
MEM 11.484375 1745203273.4842
MEM 11.484375 1745203273.5054
MEM 11.484375 1745203273.5270
MEM 11.484375 1745203273.5485
MEM 11.484375 1745203273.5700
MEM 11.484375 1745203273.5922
MEM 11.484375 1745203273.6138
MEM 11.484375 1745203273.6355
MEM 11.484375 1745203273.6566
MEM 11.484375 1745203273.6779
MEM 11.484375 1745203273.7000
MEM 11.484375 1745203273.7218
MEM 11.484375 1745203273.7433
MEM 11.484375 1745203273.7644
MEM 11.484375 1745203273.7853
MEM 11.484375 1745203273.8068
MEM 11.484375 1745203273.8276
MEM 11.484375 1745203273.8484
MEM 11.484375 1745203273.8689
MEM 11.484375 1745203273.8895
MEM 11.484375 1745203273.9098
MEM 11.484375 1745203273.9308
MEM 11.484375 1745203273.9518
MEM 11.484375 1745203273.9725
MEM 11.484375 1745203273.9933
MEM 11.484375 1745203274.0137
MEM 11.484375 1745203274.0344
MEM 11.484375 1745203274.0550
MEM 11.484375 1745203274.0761
MEM 11.484375 1745203274.0969
MEM 11.484375 1745203274.1178
MEM 11.484375 1745203274.1386
MEM 11.484375 1745203274.1599
MEM 11.484375 1745203274.1806
MEM 11.484375 1745203274.2023
MEM 11.484375 1745203274.2235
MEM 11.484375 1745203274.2452
MEM 11.484375 1745203274.2668
MEM 11.484375 1745203274.2890
MEM 11.484375 1745203274.3097
MEM 11.484375 1745203274.3307
MEM 11.484375 1745203274.3516
MEM 11.484375 1745203274.3728
MEM 11.484375 1745203274.3937
MEM 11.484375 1745203274.4147
MEM 11.484375 1745203274.4363
MEM 11.484375 1745203274.4570
MEM 11.484375 1745203274.4776
MEM 11.484375 1745203274.4990
MEM 11.484375 1745203274.5208
MEM 11.484375 1745203274.5422
MEM 11.484375 1745203274.5629
MEM 11.484375 1745203274.5842
MEM 11.484375 1745203274.6055
MEM 11.484375 1745203274.6262
MEM 11.484375 1745203274.6475
MEM 11.484375 1745203274.6684
MEM 11.484375 1745203274.6889
MEM 11.484375 1745203274.7103
MEM 11.484375 1745203274.7326
MEM 11.484375 1745203274.7539
MEM 11.484375 1745203274.7773
MEM 11.484375 1745203274.8000
MEM 11.484375 1745203274.8219
MEM 11.484375 1745203274.8430
MEM 11.484375 1745203274.8654
MEM 11.484375 1745203274.8871
MEM 11.484375 1745203274.9091
MEM 11.484375 1745203274.9310
MEM 11.484375 1745203274.9502
MEM 11.484375 1745203274.9685
MEM 11.484375 1745203274.9860
MEM 11.484375 1745203275.0034
MEM 11.484375 1745203275.0211
