CMDLINE python3 python_programs/Gemini/most_profit_assigning_work.py
MEM 0.203125 1745203267.0250
MEM 11.890625 1745203267.0556
MEM 11.890625 1745203267.0801
MEM 11.890625 1745203267.1019
MEM 11.890625 1745203267.1275
MEM 11.921875 1745203267.1532
MEM 11.921875 1745203267.1786
MEM 11.921875 1745203267.2140
MEM 11.921875 1745203267.2451
MEM 11.921875 1745203267.2794
MEM 11.921875 1745203267.3195
MEM 11.921875 1745203267.3595
MEM 11.921875 1745203267.3908
MEM 11.921875 1745203267.4181
MEM 11.921875 1745203267.4475
MEM 11.921875 1745203267.4785
MEM 11.921875 1745203267.5128
MEM 11.921875 1745203267.5468
MEM 11.921875 1745203267.5926
MEM 11.921875 1745203267.6313
MEM 11.921875 1745203267.6766
MEM 11.921875 1745203267.7040
MEM 11.921875 1745203267.7312
MEM 11.921875 1745203267.7722
MEM 11.921875 1745203267.8113
MEM 11.921875 1745203267.8546
MEM 11.921875 1745203267.9340
MEM 11.921875 1745203267.9731
MEM 11.921875 1745203268.0106
MEM 11.921875 1745203268.0470
MEM 11.921875 1745203268.1097
MEM 11.921875 1745203268.1511
MEM 11.921875 1745203268.1984
MEM 11.921875 1745203268.2355
MEM 11.921875 1745203268.2663
MEM 11.921875 1745203268.2943
MEM 11.921875 1745203268.3227
MEM 11.921875 1745203268.3595
MEM 11.921875 1745203268.3982
MEM 11.921875 1745203268.4262
MEM 11.921875 1745203268.4594
MEM 11.921875 1745203268.5314
MEM 11.921875 1745203268.5842
MEM 11.921875 1745203268.6245
MEM 11.921875 1745203268.6519
MEM 11.921875 1745203268.6854
MEM 11.921875 1745203268.7128
MEM 11.921875 1745203268.7490
MEM 11.921875 1745203268.7732
MEM 11.921875 1745203268.8012
MEM 11.921875 1745203268.8331
MEM 11.921875 1745203268.8613
MEM 11.921875 1745203268.8885
MEM 11.921875 1745203268.9163
MEM 11.921875 1745203268.9455
MEM 11.921875 1745203268.9687
MEM 11.921875 1745203268.9992
MEM 11.921875 1745203269.0253
MEM 11.921875 1745203269.0546
MEM 11.921875 1745203269.0840
MEM 11.921875 1745203269.1171
MEM 11.921875 1745203269.1420
MEM 11.921875 1745203269.1714
MEM 11.921875 1745203269.1973
MEM 11.921875 1745203269.2226
MEM 11.921875 1745203269.2582
MEM 11.921875 1745203269.2954
MEM 11.921875 1745203269.3232
MEM 11.921875 1745203269.3516
MEM 11.921875 1745203269.3784
MEM 11.921875 1745203269.4051
MEM 11.921875 1745203269.4328
MEM 11.921875 1745203269.4601
MEM 11.921875 1745203269.4909
MEM 11.921875 1745203269.5181
MEM 11.921875 1745203269.5455
MEM 11.921875 1745203269.5773
MEM 11.921875 1745203269.6066
MEM 11.921875 1745203269.6368
MEM 11.921875 1745203269.6661
MEM 11.921875 1745203269.6974
MEM 11.921875 1745203269.7253
MEM 11.921875 1745203269.7538
MEM 11.921875 1745203269.7851
MEM 11.921875 1745203269.8159
MEM 11.921875 1745203269.8456
MEM 11.921875 1745203269.8749
MEM 11.921875 1745203269.9027
MEM 11.921875 1745203269.9340
MEM 11.921875 1745203269.9617
MEM 11.921875 1745203269.9932
MEM 11.921875 1745203270.0215
MEM 11.921875 1745203270.0510
MEM 11.921875 1745203270.0785
MEM 11.921875 1745203270.1057
MEM 11.921875 1745203270.1381
MEM 11.921875 1745203270.1658
