CMDLINE python3 python_programs/Gemini/smallest_range_covering_elements_from_k_lists.py
MEM 6.515625 1745203266.9832
MEM 7.703125 1745203267.0026
MEM 12.000000 1745203267.0160
MEM 12.000000 1745203267.0344
MEM 12.000000 1745203267.0526
MEM 12.000000 1745203267.1223
MEM 12.000000 1745203267.1771
MEM 12.000000 1745203267.2078
MEM 12.000000 1745203267.2446
MEM 12.000000 1745203267.2784
MEM 12.000000 1745203267.3077
MEM 12.000000 1745203267.3356
MEM 12.000000 1745203267.3630
MEM 12.000000 1745203267.3903
MEM 12.000000 1745203267.4173
MEM 12.000000 1745203267.4576
MEM 12.000000 1745203267.4936
MEM 12.000000 1745203267.5248
MEM 12.000000 1745203267.5595
MEM 12.000000 1745203267.5895
MEM 12.000000 1745203267.6315
MEM 12.000000 1745203267.6716
MEM 12.000000 1745203267.7116
MEM 12.000000 1745203267.7424
MEM 12.000000 1745203267.7738
MEM 12.000000 1745203267.8233
MEM 12.000000 1745203267.8691
MEM 12.000000 1745203267.8972
MEM 12.000000 1745203267.9283
MEM 12.000000 1745203267.9703
MEM 12.000000 1745203268.0039
MEM 12.000000 1745203268.0418
MEM 12.000000 1745203268.0766
MEM 12.000000 1745203268.1050
MEM 12.000000 1745203268.1735
MEM 12.000000 1745203268.2075
MEM 12.000000 1745203268.2468
MEM 12.000000 1745203268.2797
MEM 12.000000 1745203268.3073
MEM 12.000000 1745203268.3345
MEM 12.000000 1745203268.3629
MEM 12.000000 1745203268.3878
MEM 12.000000 1745203268.4276
MEM 12.000000 1745203268.4829
MEM 12.000000 1745203268.5260
MEM 12.000000 1745203268.5800
MEM 12.000000 1745203268.6252
MEM 12.000000 1745203268.6818
MEM 12.000000 1745203268.7121
MEM 12.000000 1745203268.7409
MEM 12.000000 1745203268.7684
MEM 12.000000 1745203268.7974
MEM 12.000000 1745203268.8354
MEM 12.000000 1745203268.8632
MEM 12.000000 1745203268.8896
MEM 12.000000 1745203268.9164
MEM 12.000000 1745203268.9573
MEM 12.000000 1745203268.9911
MEM 12.000000 1745203269.0222
MEM 12.000000 1745203269.0690
MEM 12.000000 1745203269.1076
MEM 12.000000 1745203269.1429
MEM 12.000000 1745203269.1901
MEM 12.000000 1745203269.2188
MEM 12.000000 1745203269.2470
MEM 12.000000 1745203269.2733
MEM 12.000000 1745203269.3075
MEM 12.000000 1745203269.3357
MEM 12.000000 1745203269.3653
MEM 12.000000 1745203269.4022
MEM 12.000000 1745203269.4399
MEM 12.000000 1745203269.4715
MEM 12.000000 1745203269.5005
MEM 12.000000 1745203269.5325
MEM 12.000000 1745203269.5655
MEM 12.000000 1745203269.5959
MEM 12.000000 1745203269.6235
MEM 12.000000 1745203269.6546
MEM 12.000000 1745203269.6817
MEM 12.000000 1745203269.7104
MEM 12.000000 1745203269.7386
MEM 12.000000 1745203269.7684
MEM 12.000000 1745203269.7974
MEM 12.000000 1745203269.8300
MEM 12.000000 1745203269.8595
MEM 12.000000 1745203269.8945
MEM 12.000000 1745203269.9225
MEM 12.000000 1745203269.9516
MEM 12.000000 1745203269.9810
MEM 12.000000 1745203270.0139
MEM 12.000000 1745203270.0443
MEM 12.000000 1745203270.0725
MEM 12.000000 1745203270.1014
MEM 12.000000 1745203270.1290
