CMDLINE python3 python_programs/Gemini/split_array_largest_sum.py
MEM 0.234375 1745203271.8770
MEM 6.421875 1745203271.8985
MEM 10.500000 1745203271.9230
MEM 10.500000 1745203271.9464
MEM 10.500000 1745203271.9688
MEM 10.500000 1745203271.9894
MEM 10.500000 1745203272.0110
MEM 10.531250 1745203272.0318
MEM 10.531250 1745203272.0525
MEM 10.531250 1745203272.0731
MEM 10.531250 1745203272.0934
MEM 10.531250 1745203272.1135
MEM 10.531250 1745203272.1335
MEM 10.531250 1745203272.1549
MEM 10.531250 1745203272.1757
MEM 10.531250 1745203272.1971
MEM 10.531250 1745203272.2189
MEM 10.531250 1745203272.2400
MEM 10.531250 1745203272.2618
MEM 10.531250 1745203272.2832
MEM 10.531250 1745203272.3052
MEM 10.531250 1745203272.3266
MEM 10.531250 1745203272.3473
MEM 10.531250 1745203272.3684
MEM 10.531250 1745203272.3894
MEM 10.531250 1745203272.4102
MEM 10.531250 1745203272.4313
MEM 10.531250 1745203272.4525
MEM 10.531250 1745203272.4737
MEM 10.531250 1745203272.4945
MEM 10.531250 1745203272.5155
MEM 10.531250 1745203272.5362
MEM 10.531250 1745203272.5566
MEM 10.531250 1745203272.5773
MEM 10.531250 1745203272.5978
MEM 10.531250 1745203272.6184
MEM 10.531250 1745203272.6392
MEM 10.531250 1745203272.6594
MEM 10.531250 1745203272.6803
MEM 10.531250 1745203272.7009
MEM 10.531250 1745203272.7210
MEM 10.531250 1745203272.7413
MEM 10.531250 1745203272.7616
MEM 10.531250 1745203272.7816
MEM 10.531250 1745203272.8030
MEM 10.531250 1745203272.8231
MEM 10.531250 1745203272.8435
MEM 10.531250 1745203272.8639
MEM 10.531250 1745203272.8849
MEM 10.531250 1745203272.9055
MEM 10.531250 1745203272.9260
MEM 10.531250 1745203272.9464
MEM 10.531250 1745203272.9668
MEM 10.531250 1745203272.9873
MEM 10.531250 1745203273.0083
MEM 10.531250 1745203273.0298
MEM 10.531250 1745203273.0509
MEM 10.531250 1745203273.0718
MEM 10.531250 1745203273.0931
MEM 10.531250 1745203273.1142
MEM 10.531250 1745203273.1363
MEM 10.531250 1745203273.1580
MEM 10.531250 1745203273.1797
MEM 10.531250 1745203273.2017
MEM 10.531250 1745203273.2235
MEM 10.531250 1745203273.2451
MEM 10.531250 1745203273.2662
MEM 10.531250 1745203273.2876
MEM 10.531250 1745203273.3089
MEM 10.531250 1745203273.3302
MEM 10.531250 1745203273.3512
MEM 10.531250 1745203273.3725
MEM 10.531250 1745203273.3928
MEM 10.531250 1745203273.4130
MEM 10.531250 1745203273.4339
MEM 10.531250 1745203273.4548
MEM 10.531250 1745203273.4749
MEM 10.531250 1745203273.4959
MEM 10.531250 1745203273.5163
MEM 10.531250 1745203273.5364
MEM 10.531250 1745203273.5566
MEM 10.531250 1745203273.5771
MEM 10.531250 1745203273.5980
MEM 10.531250 1745203273.6187
MEM 10.531250 1745203273.6391
MEM 10.531250 1745203273.6596
MEM 10.531250 1745203273.6801
MEM 10.531250 1745203273.7015
MEM 10.531250 1745203273.7228
MEM 10.531250 1745203273.7444
MEM 10.531250 1745203273.7652
MEM 10.531250 1745203273.7863
MEM 10.531250 1745203273.8081
MEM 10.531250 1745203273.8289
MEM 10.531250 1745203273.8497
MEM 10.531250 1745203273.8711
MEM 10.531250 1745203273.8927
MEM 10.531250 1745203273.9136
MEM 10.531250 1745203273.9347
MEM 10.531250 1745203273.9562
MEM 10.531250 1745203273.9776
MEM 10.531250 1745203273.9995
MEM 10.531250 1745203274.0203
MEM 10.531250 1745203274.0410
MEM 10.531250 1745203274.0624
MEM 10.531250 1745203274.0844
MEM 10.531250 1745203274.1056
MEM 10.531250 1745203274.1260
MEM 10.531250 1745203274.1475
MEM 10.531250 1745203274.1683
MEM 10.531250 1745203274.1886
MEM 10.531250 1745203274.2097
MEM 10.531250 1745203274.2299
MEM 10.531250 1745203274.2500
MEM 10.531250 1745203274.2688
MEM 10.531250 1745203274.2902
MEM 10.531250 1745203274.3107
MEM 10.531250 1745203274.3327
MEM 10.531250 1745203274.3528
MEM 10.531250 1745203274.3735
MEM 10.531250 1745203274.3945
MEM 10.531250 1745203274.4162
MEM 10.531250 1745203274.4371
MEM 10.531250 1745203274.4578
MEM 10.531250 1745203274.4787
MEM 10.531250 1745203274.4997
MEM 10.531250 1745203274.5210
MEM 10.531250 1745203274.5425
MEM 10.531250 1745203274.5637
MEM 10.531250 1745203274.5847
MEM 10.531250 1745203274.6060
MEM 10.531250 1745203274.6270
MEM 10.531250 1745203274.6486
MEM 10.531250 1745203274.6695
MEM 10.531250 1745203274.6905
MEM 10.531250 1745203274.7121
MEM 10.531250 1745203274.7334
MEM 10.531250 1745203274.7546
MEM 10.531250 1745203274.7760
MEM 10.531250 1745203274.7968
MEM 10.531250 1745203274.8180
MEM 10.531250 1745203274.8412
MEM 10.531250 1745203274.8622
MEM 10.531250 1745203274.8831
MEM 10.531250 1745203274.9048
MEM 10.531250 1745203274.9258
MEM 10.531250 1745203274.9444
MEM 10.531250 1745203274.9633
MEM 10.531250 1745203274.9827
MEM 10.531250 1745203275.0002
MEM 10.531250 1745203275.0180
MEM 10.531250 1745203275.0274
