CMDLINE python3 python_programs/Gemini/stamping_the_grid.py
MEM 0.250000 1745203266.9840
MEM 14.500000 1745203267.0016
MEM 14.500000 1745203267.0181
MEM 14.500000 1745203267.0394
MEM 14.500000 1745203267.0815
MEM 14.500000 1745203267.1122
MEM 14.500000 1745203267.1394
MEM 14.500000 1745203267.1664
MEM 14.500000 1745203267.2112
MEM 14.500000 1745203267.2429
MEM 14.500000 1745203267.2847
MEM 14.500000 1745203267.3204
MEM 14.500000 1745203267.3627
MEM 14.500000 1745203267.4006
MEM 14.500000 1745203267.4339
MEM 14.500000 1745203267.4644
MEM 14.500000 1745203267.4967
MEM 14.500000 1745203267.5306
MEM 14.500000 1745203267.5624
MEM 14.500000 1745203267.5913
MEM 14.500000 1745203267.6450
MEM 14.500000 1745203267.6773
MEM 14.500000 1745203267.7050
MEM 14.500000 1745203267.7321
MEM 14.500000 1745203267.7596
MEM 14.500000 1745203267.8073
MEM 14.500000 1745203267.8417
MEM 14.500000 1745203267.8753
MEM 14.500000 1745203267.9096
MEM 14.500000 1745203267.9486
MEM 14.500000 1745203267.9827
MEM 14.500000 1745203268.0198
MEM 14.500000 1745203268.0641
MEM 14.500000 1745203268.0982
MEM 14.500000 1745203268.1322
MEM 14.500000 1745203268.1639
MEM 14.500000 1745203268.1971
MEM 14.500000 1745203268.2310
MEM 14.500000 1745203268.2617
MEM 14.500000 1745203268.3053
MEM 14.500000 1745203268.3390
MEM 14.500000 1745203268.3668
MEM 14.500000 1745203268.3972
MEM 14.500000 1745203268.4389
MEM 14.500000 1745203268.4637
MEM 14.500000 1745203268.4918
MEM 14.500000 1745203268.5249
MEM 14.500000 1745203268.5551
MEM 14.500000 1745203268.5854
MEM 14.500000 1745203268.6104
MEM 14.500000 1745203268.6529
MEM 14.500000 1745203268.6812
MEM 14.500000 1745203268.7119
MEM 14.500000 1745203268.7464
MEM 14.500000 1745203268.7742
MEM 14.500000 1745203268.8092
MEM 14.500000 1745203268.8343
MEM 14.500000 1745203268.8608
MEM 14.500000 1745203268.8899
MEM 14.500000 1745203268.9321
MEM 14.500000 1745203268.9571
MEM 14.500000 1745203268.9805
MEM 14.500000 1745203269.0051
MEM 14.500000 1745203269.0279
MEM 14.500000 1745203269.0580
MEM 14.500000 1745203269.0839
MEM 14.500000 1745203269.1122
MEM 14.500000 1745203269.1392
MEM 14.500000 1745203269.1652
MEM 14.500000 1745203269.1929
MEM 14.500000 1745203269.2220
MEM 14.500000 1745203269.2492
MEM 14.500000 1745203269.2753
MEM 14.500000 1745203269.3027
MEM 14.500000 1745203269.3326
MEM 14.500000 1745203269.3666
MEM 14.500000 1745203269.3958
MEM 14.500000 1745203269.4250
MEM 14.500000 1745203269.4523
MEM 14.500000 1745203269.4811
MEM 14.500000 1745203269.5098
MEM 14.500000 1745203269.5380
MEM 14.500000 1745203269.5661
MEM 14.500000 1745203269.5965
MEM 14.500000 1745203269.6301
MEM 14.500000 1745203269.6603
MEM 14.500000 1745203269.6901
MEM 14.500000 1745203269.7187
MEM 14.500000 1745203269.7457
MEM 14.500000 1745203269.7751
MEM 14.500000 1745203269.8055
MEM 14.500000 1745203269.8342
MEM 14.500000 1745203269.8620
MEM 14.500000 1745203269.8893
MEM 14.500000 1745203269.9170
MEM 14.500000 1745203269.9446
MEM 14.500000 1745203269.9749
MEM 14.500000 1745203270.0019
MEM 14.500000 1745203270.0336
MEM 14.500000 1745203270.0656
MEM 14.500000 1745203270.0942
