CMDLINE python3 python_programs/Gemini/super_washing_machines.py
MEM 0.234375 1745203267.0701
MEM 10.515625 1745203267.1048
MEM 10.515625 1745203267.1599
MEM 10.515625 1745203267.1989
MEM 10.515625 1745203267.2347
MEM 10.515625 1745203267.2735
MEM 10.515625 1745203267.3093
MEM 10.515625 1745203267.3378
MEM 10.515625 1745203267.3831
MEM 10.515625 1745203267.4128
MEM 10.515625 1745203267.4975
MEM 10.515625 1745203267.5481
MEM 10.515625 1745203267.6102
MEM 10.515625 1745203267.6391
MEM 10.515625 1745203267.6655
MEM 10.515625 1745203267.7095
MEM 10.515625 1745203267.7789
MEM 10.515625 1745203267.8081
MEM 10.515625 1745203267.8419
MEM 10.515625 1745203267.8704
MEM 10.515625 1745203267.9087
MEM 10.515625 1745203267.9480
MEM 10.515625 1745203267.9858
MEM 10.515625 1745203268.0199
MEM 10.515625 1745203268.0552
MEM 10.515625 1745203268.0888
MEM 10.515625 1745203268.1214
MEM 10.515625 1745203268.1487
MEM 10.515625 1745203268.1762
MEM 10.515625 1745203268.2123
MEM 10.515625 1745203268.2419
MEM 10.515625 1745203268.2694
MEM 10.515625 1745203268.3040
MEM 10.515625 1745203268.3504
MEM 10.515625 1745203268.3953
MEM 10.515625 1745203268.4299
MEM 10.515625 1745203268.4596
MEM 10.515625 1745203268.4869
MEM 10.515625 1745203268.5174
MEM 10.515625 1745203268.5465
MEM 10.515625 1745203268.5715
MEM 10.515625 1745203268.5983
MEM 10.515625 1745203268.6252
MEM 10.515625 1745203268.6516
MEM 10.515625 1745203268.6851
MEM 10.515625 1745203268.7199
MEM 10.515625 1745203268.7519
MEM 10.515625 1745203268.7861
MEM 10.515625 1745203268.8139
MEM 10.515625 1745203268.8377
MEM 10.515625 1745203268.8764
MEM 10.515625 1745203268.9088
MEM 10.515625 1745203268.9382
MEM 10.515625 1745203268.9651
MEM 10.515625 1745203268.9929
MEM 10.515625 1745203269.0173
MEM 10.515625 1745203269.0404
MEM 10.515625 1745203269.0682
MEM 10.515625 1745203269.0942
MEM 10.515625 1745203269.1350
MEM 10.515625 1745203269.1612
MEM 10.515625 1745203269.1873
MEM 10.515625 1745203269.2139
MEM 10.515625 1745203269.2411
MEM 10.515625 1745203269.2761
MEM 10.515625 1745203269.3052
MEM 10.515625 1745203269.3350
MEM 10.515625 1745203269.3652
MEM 10.515625 1745203269.3923
MEM 10.515625 1745203269.4211
MEM 10.515625 1745203269.4489
MEM 10.515625 1745203269.4768
MEM 10.515625 1745203269.5057
MEM 10.515625 1745203269.5327
MEM 10.515625 1745203269.5613
MEM 10.515625 1745203269.5922
MEM 10.515625 1745203269.6240
MEM 10.515625 1745203269.6526
MEM 10.515625 1745203269.6798
MEM 10.515625 1745203269.7093
MEM 10.515625 1745203269.7383
MEM 10.515625 1745203269.7676
MEM 10.515625 1745203269.7948
MEM 10.515625 1745203269.8219
MEM 10.515625 1745203269.8486
MEM 10.515625 1745203269.8755
MEM 10.515625 1745203269.9037
MEM 10.515625 1745203269.9308
MEM 10.515625 1745203269.9577
MEM 10.515625 1745203269.9856
MEM 10.515625 1745203270.0122
MEM 10.515625 1745203270.0401
MEM 10.515625 1745203270.0695
MEM 10.515625 1745203270.0960
MEM 10.515625 1745203270.1225
MEM 10.515625 1745203270.1456
MEM 10.515625 1745203270.1667
MEM 10.515625 1745203270.1827
MEM 10.515625 1745203270.1987
MEM 10.515625 1745203270.2086
MEM 10.531250 1745203270.2169
