CMDLINE python3 python_programs/Gemini/wiggle_subsequence.py
MEM 0.203125 1745203267.0809
MEM 10.437500 1745203267.1039
MEM 10.437500 1745203267.1279
MEM 10.437500 1745203267.1577
MEM 11.125000 1745203267.1902
MEM 12.718750 1745203267.2232
MEM 12.718750 1745203267.2537
MEM 12.718750 1745203267.2888
MEM 12.718750 1745203267.3219
MEM 12.718750 1745203267.3948
MEM 12.718750 1745203267.4271
MEM 12.718750 1745203267.4569
MEM 12.718750 1745203267.4914
MEM 12.718750 1745203267.5285
MEM 12.718750 1745203267.5591
MEM 12.718750 1745203267.5858
MEM 12.718750 1745203267.6192
MEM 12.718750 1745203267.6510
MEM 12.718750 1745203267.7083
MEM 12.718750 1745203267.7443
MEM 12.718750 1745203267.7741
MEM 12.718750 1745203267.8048
MEM 12.718750 1745203267.8406
MEM 12.718750 1745203267.8712
MEM 12.718750 1745203267.9035
MEM 12.718750 1745203267.9335
MEM 12.718750 1745203267.9667
MEM 12.718750 1745203268.0027
MEM 12.718750 1745203268.0354
MEM 12.718750 1745203268.0701
MEM 12.718750 1745203268.0978
MEM 12.718750 1745203268.1482
MEM 12.718750 1745203268.1895
MEM 12.718750 1745203268.2221
MEM 12.718750 1745203268.2527
MEM 12.718750 1745203268.2922
MEM 12.718750 1745203268.3235
MEM 12.718750 1745203268.3512
MEM 12.718750 1745203268.3779
MEM 12.718750 1745203268.4040
MEM 12.718750 1745203268.4406
MEM 12.718750 1745203268.5433
MEM 12.718750 1745203268.5871
MEM 12.718750 1745203268.6165
MEM 12.718750 1745203268.6452
MEM 12.718750 1745203268.6923
MEM 12.718750 1745203268.7262
MEM 12.718750 1745203268.7545
MEM 12.718750 1745203268.7823
MEM 12.718750 1745203268.8106
MEM 12.718750 1745203268.8347
MEM 12.718750 1745203268.8632
MEM 12.718750 1745203268.8958
MEM 12.718750 1745203268.9333
MEM 12.718750 1745203268.9631
MEM 12.718750 1745203268.9909
MEM 12.718750 1745203269.0159
MEM 12.718750 1745203269.0358
MEM 12.718750 1745203269.0584
MEM 12.718750 1745203269.0832
MEM 12.718750 1745203269.1092
MEM 12.718750 1745203269.1347
MEM 12.718750 1745203269.1610
MEM 12.718750 1745203269.1917
MEM 12.718750 1745203269.2217
MEM 12.718750 1745203269.2543
MEM 12.718750 1745203269.2852
MEM 12.718750 1745203269.3144
MEM 12.718750 1745203269.3423
MEM 12.718750 1745203269.3731
MEM 12.718750 1745203269.4021
MEM 12.718750 1745203269.4324
MEM 12.718750 1745203269.4597
MEM 12.718750 1745203269.4878
MEM 12.718750 1745203269.5154
MEM 12.718750 1745203269.5431
MEM 12.718750 1745203269.5723
MEM 12.718750 1745203269.6017
MEM 12.718750 1745203269.6303
MEM 12.718750 1745203269.6585
MEM 12.718750 1745203269.6911
MEM 12.718750 1745203269.7197
MEM 12.718750 1745203269.7506
MEM 12.718750 1745203269.7785
MEM 12.718750 1745203269.8085
MEM 12.718750 1745203269.8364
MEM 12.718750 1745203269.8637
MEM 12.718750 1745203269.8913
MEM 12.718750 1745203269.9194
MEM 12.718750 1745203269.9469
MEM 12.718750 1745203269.9762
MEM 12.718750 1745203270.0060
MEM 12.718750 1745203270.0351
MEM 12.718750 1745203270.0613
MEM 12.718750 1745203270.0954
MEM 12.718750 1745203270.1191
MEM 12.718750 1745203270.1421
MEM 12.718750 1745203270.1626
MEM 12.718750 1745203270.1779
MEM 12.718750 1745203270.1899
MEM 12.718750 1745203270.2009
