CMDLINE python3 python_programs/Gemini/word_abbreviation.py
MEM 0.250000 1745203271.8537
MEM 6.906250 1745203271.8705
MEM 11.734375 1745203271.8872
MEM 12.406250 1745203271.9080
MEM 12.406250 1745203271.9322
MEM 12.406250 1745203271.9550
MEM 12.406250 1745203271.9768
MEM 12.406250 1745203272.0008
MEM 12.437500 1745203272.0219
MEM 12.437500 1745203272.0438
MEM 12.437500 1745203272.0656
MEM 12.437500 1745203272.0869
MEM 12.437500 1745203272.1085
MEM 12.437500 1745203272.1287
MEM 12.437500 1745203272.1496
MEM 12.437500 1745203272.1708
MEM 12.437500 1745203272.1915
MEM 12.437500 1745203272.2124
MEM 12.437500 1745203272.2329
MEM 12.437500 1745203272.2531
MEM 12.437500 1745203272.2732
MEM 12.437500 1745203272.2940
MEM 12.437500 1745203272.3149
MEM 12.437500 1745203272.3352
MEM 12.437500 1745203272.3556
MEM 12.437500 1745203272.3769
MEM 12.437500 1745203272.3974
MEM 12.437500 1745203272.4177
MEM 12.437500 1745203272.4379
MEM 12.437500 1745203272.4585
MEM 12.437500 1745203272.4790
MEM 12.437500 1745203272.4994
MEM 12.437500 1745203272.5194
MEM 12.437500 1745203272.5398
MEM 12.437500 1745203272.5613
MEM 12.437500 1745203272.5820
MEM 12.437500 1745203272.6017
MEM 12.437500 1745203272.6228
MEM 12.437500 1745203272.6434
MEM 12.437500 1745203272.6657
MEM 12.437500 1745203272.6865
MEM 12.437500 1745203272.7074
MEM 12.437500 1745203272.7287
MEM 12.437500 1745203272.7500
MEM 12.437500 1745203272.7715
MEM 12.437500 1745203272.7928
MEM 12.437500 1745203272.8140
MEM 12.437500 1745203272.8355
MEM 12.437500 1745203272.8567
MEM 12.437500 1745203272.8779
MEM 12.437500 1745203272.8998
MEM 12.437500 1745203272.9214
MEM 12.437500 1745203272.9423
MEM 12.437500 1745203272.9637
MEM 12.437500 1745203272.9850
MEM 12.437500 1745203273.0066
MEM 12.437500 1745203273.0275
MEM 12.437500 1745203273.0476
MEM 12.437500 1745203273.0682
MEM 12.437500 1745203273.0889
MEM 12.437500 1745203273.1094
MEM 12.437500 1745203273.1297
MEM 12.437500 1745203273.1502
MEM 12.437500 1745203273.1706
MEM 12.437500 1745203273.1918
MEM 12.437500 1745203273.2124
MEM 12.437500 1745203273.2338
MEM 12.437500 1745203273.2544
MEM 12.437500 1745203273.2757
MEM 12.437500 1745203273.2980
MEM 12.437500 1745203273.3186
MEM 12.437500 1745203273.3392
MEM 12.437500 1745203273.3599
MEM 12.437500 1745203273.3801
MEM 12.437500 1745203273.4011
MEM 12.437500 1745203273.4217
MEM 12.437500 1745203273.4420
MEM 12.437500 1745203273.4630
MEM 12.437500 1745203273.4845
MEM 12.437500 1745203273.5064
MEM 12.437500 1745203273.5277
MEM 12.437500 1745203273.5490
MEM 12.437500 1745203273.5704
MEM 12.437500 1745203273.5920
MEM 12.437500 1745203273.6134
MEM 12.437500 1745203273.6350
MEM 12.437500 1745203273.6564
MEM 12.437500 1745203273.6779
MEM 12.437500 1745203273.6999
MEM 12.437500 1745203273.7215
MEM 12.437500 1745203273.7430
MEM 12.437500 1745203273.7641
MEM 12.437500 1745203273.7848
MEM 12.437500 1745203273.8062
MEM 12.437500 1745203273.8279
MEM 12.437500 1745203273.8488
MEM 12.437500 1745203273.8708
MEM 12.437500 1745203273.8932
MEM 12.437500 1745203273.9141
MEM 12.437500 1745203273.9351
MEM 12.437500 1745203273.9555
MEM 12.437500 1745203273.9765
MEM 12.437500 1745203273.9980
MEM 12.437500 1745203274.0185
MEM 12.437500 1745203274.0386
MEM 12.437500 1745203274.0597
MEM 12.437500 1745203274.0799
MEM 12.437500 1745203274.1004
MEM 12.437500 1745203274.1208
MEM 12.437500 1745203274.1420
MEM 12.437500 1745203274.1623
MEM 12.437500 1745203274.1825
MEM 12.437500 1745203274.2035
MEM 12.437500 1745203274.2246
MEM 12.437500 1745203274.2456
MEM 12.437500 1745203274.2658
MEM 12.437500 1745203274.2870
MEM 12.437500 1745203274.3081
MEM 12.437500 1745203274.3291
MEM 12.437500 1745203274.3504
MEM 12.437500 1745203274.3712
MEM 12.437500 1745203274.3923
MEM 12.437500 1745203274.4136
MEM 12.437500 1745203274.4350
MEM 12.437500 1745203274.4557
MEM 12.437500 1745203274.4769
MEM 12.437500 1745203274.4986
MEM 12.437500 1745203274.5201
MEM 12.437500 1745203274.5411
MEM 12.437500 1745203274.5618
MEM 12.437500 1745203274.5836
MEM 12.437500 1745203274.6046
MEM 12.437500 1745203274.6259
MEM 12.437500 1745203274.6477
MEM 12.437500 1745203274.6688
MEM 12.437500 1745203274.6898
MEM 12.437500 1745203274.7113
MEM 12.437500 1745203274.7322
MEM 12.437500 1745203274.7539
MEM 12.437500 1745203274.7753
MEM 12.437500 1745203274.7969
MEM 12.437500 1745203274.8189
MEM 12.437500 1745203274.8397
MEM 12.437500 1745203274.8609
MEM 12.437500 1745203274.8810
MEM 12.437500 1745203274.9018
MEM 12.437500 1745203274.9227
MEM 12.437500 1745203274.9418
MEM 12.437500 1745203274.9610
MEM 12.437500 1745203274.9787
MEM 12.437500 1745203274.9967
MEM 12.437500 1745203275.0153
