CMDLINE python3 python_programs/Canonical_solutions/average_height_of_buildings_in_each_segment.py
MEM 0.250000 1745203085.2521
MEM 7.015625 1745203085.2707
MEM 12.375000 1745203085.2995
MEM 12.375000 1745203085.3246
MEM 12.375000 1745203085.3491
MEM 12.375000 1745203085.3736
MEM 12.375000 1745203085.3987
MEM 12.937500 1745203085.4199
MEM 12.937500 1745203085.4421
MEM 12.937500 1745203085.4627
MEM 12.937500 1745203085.4841
MEM 12.937500 1745203085.5049
MEM 12.937500 1745203085.5258
MEM 12.937500 1745203085.5466
MEM 12.937500 1745203085.5660
MEM 12.937500 1745203085.5869
MEM 12.937500 1745203085.6076
MEM 12.937500 1745203085.6285
MEM 12.937500 1745203085.6490
MEM 12.937500 1745203085.6694
MEM 12.937500 1745203085.6903
MEM 12.937500 1745203085.7113
MEM 12.937500 1745203085.7324
MEM 12.937500 1745203085.7533
MEM 12.937500 1745203085.7737
MEM 12.937500 1745203085.7946
MEM 12.937500 1745203085.8148
MEM 12.937500 1745203085.8357
MEM 12.937500 1745203085.8564
MEM 12.937500 1745203085.8775
MEM 12.937500 1745203085.8982
MEM 12.937500 1745203085.9196
MEM 12.937500 1745203085.9400
MEM 12.937500 1745203085.9627
MEM 12.937500 1745203085.9826
MEM 12.937500 1745203086.0032
MEM 12.937500 1745203086.0238
MEM 12.937500 1745203086.0449
MEM 12.937500 1745203086.0661
MEM 12.937500 1745203086.0874
MEM 12.937500 1745203086.1093
MEM 12.937500 1745203086.1307
MEM 12.937500 1745203086.1526
MEM 12.937500 1745203086.1738
MEM 12.937500 1745203086.1950
MEM 12.937500 1745203086.2169
MEM 12.937500 1745203086.2379
MEM 12.937500 1745203086.2602
MEM 12.937500 1745203086.2797
MEM 12.937500 1745203086.3019
MEM 12.937500 1745203086.3239
MEM 12.937500 1745203086.3461
MEM 12.937500 1745203086.3685
MEM 12.937500 1745203086.3910
MEM 12.937500 1745203086.4120
MEM 12.937500 1745203086.4331
MEM 12.937500 1745203086.4536
MEM 12.937500 1745203086.4740
MEM 12.937500 1745203086.4943
MEM 12.937500 1745203086.5150
MEM 12.937500 1745203086.5361
MEM 12.937500 1745203086.5573
MEM 12.937500 1745203086.5784
MEM 12.937500 1745203086.5990
MEM 12.937500 1745203086.6196
MEM 12.937500 1745203086.6400
MEM 12.937500 1745203086.6611
MEM 12.937500 1745203086.6821
MEM 12.937500 1745203086.7037
MEM 12.937500 1745203086.7243
MEM 12.937500 1745203086.7450
