CMDLINE python3 python_programs/Canonical_solutions/lexicographically_smallest_string_after_substring_operation.py
MEM 0.234375 1745203080.4118
MEM 9.546875 1745203080.4342
MEM 9.812500 1745203080.4578
MEM 9.812500 1745203080.4877
MEM 9.812500 1745203080.5229
MEM 10.437500 1745203080.6117
MEM 10.437500 1745203080.6530
MEM 10.437500 1745203080.6799
MEM 10.437500 1745203080.7077
MEM 10.437500 1745203080.7404
MEM 10.437500 1745203080.7774
MEM 10.437500 1745203080.8329
MEM 10.437500 1745203080.8615
MEM 10.437500 1745203080.8992
MEM 10.437500 1745203080.9369
MEM 10.437500 1745203080.9722
MEM 10.437500 1745203081.0030
MEM 10.437500 1745203081.0355
MEM 10.437500 1745203081.0642
MEM 10.437500 1745203081.1411
MEM 10.437500 1745203081.1691
MEM 10.437500 1745203081.2323
MEM 10.437500 1745203081.2686
MEM 10.437500 1745203081.2859
MEM 10.437500 1745203081.3075
MEM 10.437500 1745203081.3263
MEM 10.437500 1745203081.3545
MEM 10.437500 1745203081.4065
MEM 10.437500 1745203081.4655
MEM 10.437500 1745203081.4938
MEM 10.437500 1745203081.5323
MEM 10.437500 1745203081.5739
MEM 10.437500 1745203081.6030
MEM 10.437500 1745203081.6324
MEM 10.437500 1745203081.6607
MEM 10.437500 1745203081.6904
MEM 10.437500 1745203081.7367
MEM 10.437500 1745203081.7957
MEM 10.437500 1745203081.8341
MEM 10.437500 1745203081.8684
MEM 10.437500 1745203081.9155
MEM 10.437500 1745203081.9532
MEM 10.437500 1745203081.9872
MEM 10.437500 1745203082.0147
MEM 10.437500 1745203082.0589
MEM 10.437500 1745203082.0811
MEM 10.437500 1745203082.0984
MEM 10.437500 1745203082.1177
MEM 10.437500 1745203082.1402
MEM 10.437500 1745203082.1602
MEM 10.437500 1745203082.1835
MEM 10.437500 1745203082.2023
MEM 10.437500 1745203082.2216
MEM 10.437500 1745203082.2392
MEM 10.437500 1745203082.2572
MEM 10.437500 1745203082.2749
MEM 10.437500 1745203082.2925
MEM 10.437500 1745203082.3097
MEM 10.437500 1745203082.3269
MEM 10.437500 1745203082.3446
MEM 10.437500 1745203082.3619
MEM 10.437500 1745203082.3794
MEM 10.437500 1745203082.3969
MEM 10.437500 1745203082.4148
MEM 10.437500 1745203082.4326
MEM 10.437500 1745203082.4503
MEM 10.437500 1745203082.4681
MEM 10.437500 1745203082.4860
MEM 10.437500 1745203082.5034
MEM 10.437500 1745203082.5209
MEM 10.437500 1745203082.5383
MEM 10.437500 1745203082.5566
MEM 10.437500 1745203082.5745
MEM 10.437500 1745203082.5923
MEM 10.437500 1745203082.6101
MEM 10.437500 1745203082.6283
MEM 10.437500 1745203082.6458
MEM 10.437500 1745203082.6641
MEM 10.437500 1745203082.6824
MEM 10.437500 1745203082.6998
MEM 10.437500 1745203082.7181
MEM 10.437500 1745203082.7355
MEM 10.437500 1745203082.7533
MEM 10.437500 1745203082.7709
MEM 10.437500 1745203082.7888
MEM 10.437500 1745203082.8064
MEM 10.437500 1745203082.8243
MEM 10.437500 1745203082.8419
MEM 10.437500 1745203082.8595
MEM 10.437500 1745203082.8772
MEM 10.437500 1745203082.8951
MEM 10.437500 1745203082.9127
MEM 10.437500 1745203082.9304
MEM 10.437500 1745203082.9480
MEM 10.437500 1745203082.9651
MEM 10.437500 1745203082.9813
MEM 10.437500 1745203082.9946
MEM 10.437500 1745203083.0044
MEM 10.437500 1745203083.0151
MEM 10.437500 1745203083.0266
MEM 10.437500 1745203083.0361
MEM 10.437500 1745203083.0450
