CMDLINE python3 python_programs/Canonical_solutions/maximum_strength_of_a_group.py
MEM 0.234375 1745203080.3599
MEM 10.156250 1745203080.3831
MEM 10.156250 1745203080.4850
MEM 12.687500 1745203080.5332
MEM 12.687500 1745203080.5567
MEM 12.687500 1745203080.5848
MEM 12.687500 1745203080.6129
MEM 12.687500 1745203080.6572
MEM 12.687500 1745203080.7024
MEM 12.687500 1745203080.7367
MEM 12.687500 1745203080.7813
MEM 12.687500 1745203080.8115
MEM 12.687500 1745203080.8621
MEM 12.687500 1745203080.9157
MEM 12.687500 1745203080.9484
MEM 12.687500 1745203080.9793
MEM 12.687500 1745203081.0157
MEM 12.687500 1745203081.0489
MEM 12.687500 1745203081.0814
MEM 12.687500 1745203081.1104
MEM 12.687500 1745203081.1408
MEM 12.687500 1745203081.1975
MEM 12.687500 1745203081.2247
MEM 12.687500 1745203081.2512
MEM 12.687500 1745203081.3866
MEM 12.687500 1745203081.4157
MEM 12.687500 1745203081.4460
MEM 12.687500 1745203081.4842
MEM 12.687500 1745203081.5153
MEM 12.687500 1745203081.5540
MEM 12.687500 1745203081.5862
MEM 12.687500 1745203081.6130
MEM 12.687500 1745203081.6437
MEM 12.687500 1745203081.6858
MEM 12.687500 1745203081.7208
MEM 12.687500 1745203081.7564
MEM 12.687500 1745203081.7882
MEM 12.687500 1745203081.8322
MEM 12.687500 1745203081.8749
MEM 12.687500 1745203081.9170
MEM 12.687500 1745203081.9543
MEM 12.687500 1745203081.9898
MEM 12.687500 1745203082.0179
MEM 12.687500 1745203082.0799
MEM 12.687500 1745203082.0977
MEM 12.687500 1745203082.1164
MEM 12.687500 1745203082.1357
MEM 12.687500 1745203082.1581
MEM 12.687500 1745203082.1795
MEM 12.687500 1745203082.1987
MEM 12.687500 1745203082.2159
MEM 12.687500 1745203082.2331
MEM 12.687500 1745203082.2511
MEM 12.687500 1745203082.2686
MEM 12.687500 1745203082.2860
MEM 12.687500 1745203082.3047
MEM 12.687500 1745203082.3231
MEM 12.687500 1745203082.3408
MEM 12.687500 1745203082.3586
MEM 12.687500 1745203082.3767
MEM 12.687500 1745203082.3954
MEM 12.687500 1745203082.4131
MEM 12.687500 1745203082.4310
MEM 12.687500 1745203082.4490
MEM 12.687500 1745203082.4662
MEM 12.687500 1745203082.4842
MEM 12.687500 1745203082.5019
MEM 12.687500 1745203082.5197
MEM 12.687500 1745203082.5374
MEM 12.687500 1745203082.5556
MEM 12.687500 1745203082.5726
MEM 12.687500 1745203082.5899
MEM 12.687500 1745203082.6077
MEM 12.687500 1745203082.6256
MEM 12.687500 1745203082.6441
MEM 12.687500 1745203082.6621
MEM 12.687500 1745203082.6800
MEM 12.687500 1745203082.6979
MEM 12.687500 1745203082.7156
MEM 12.687500 1745203082.7337
MEM 12.687500 1745203082.7522
MEM 12.687500 1745203082.7697
MEM 12.687500 1745203082.7878
MEM 12.687500 1745203082.8050
MEM 12.687500 1745203082.8226
MEM 12.687500 1745203082.8405
MEM 12.687500 1745203082.8584
MEM 12.687500 1745203082.8763
MEM 12.687500 1745203082.8942
MEM 12.687500 1745203082.9146
MEM 12.687500 1745203082.9330
MEM 12.687500 1745203082.9504
MEM 12.687500 1745203082.9675
MEM 12.687500 1745203082.9823
MEM 12.687500 1745203082.9956
