CMDLINE python3 python_programs/Canonical_solutions/maximum_total_beauty_of_the_gardens.py
MEM 0.234375 1745203080.4584
MEM 10.468750 1745203080.4863
MEM 10.468750 1745203080.5243
MEM 10.468750 1745203080.5859
MEM 12.656250 1745203080.6145
MEM 12.656250 1745203080.6498
MEM 12.656250 1745203080.6903
MEM 12.656250 1745203080.7184
MEM 12.656250 1745203080.7466
MEM 12.656250 1745203080.8049
MEM 12.656250 1745203080.8449
MEM 12.656250 1745203080.8811
MEM 12.656250 1745203080.9253
MEM 12.656250 1745203080.9579
MEM 12.656250 1745203080.9886
MEM 12.656250 1745203081.0264
MEM 12.656250 1745203081.0557
MEM 12.656250 1745203081.0939
MEM 12.656250 1745203081.1268
MEM 12.656250 1745203081.1751
MEM 12.656250 1745203081.2099
MEM 12.656250 1745203081.2380
MEM 12.656250 1745203081.2809
MEM 12.656250 1745203081.3385
MEM 12.656250 1745203081.3740
MEM 12.656250 1745203081.4136
MEM 12.656250 1745203081.4448
MEM 12.656250 1745203081.4730
MEM 12.656250 1745203081.5028
MEM 12.656250 1745203081.5845
MEM 12.656250 1745203081.6306
MEM 12.656250 1745203081.6753
MEM 12.656250 1745203081.7229
MEM 12.656250 1745203081.7592
MEM 12.656250 1745203081.7935
MEM 12.656250 1745203081.8274
MEM 12.656250 1745203081.8655
MEM 12.656250 1745203081.9034
MEM 12.656250 1745203081.9380
MEM 12.656250 1745203081.9826
MEM 12.656250 1745203082.0105
MEM 12.656250 1745203082.0329
MEM 12.656250 1745203082.0557
MEM 12.656250 1745203082.1087
