CMDLINE python3 python_programs/Canonical_solutions/maximum_xor_product.py
MEM 1.453125 1745203085.2399
MEM 7.453125 1745203085.2507
MEM 10.062500 1745203085.2728
MEM 10.062500 1745203085.2978
MEM 10.062500 1745203085.3222
MEM 10.062500 1745203085.3474
MEM 10.062500 1745203085.3729
MEM 10.468750 1745203085.3966
MEM 10.468750 1745203085.4189
MEM 10.468750 1745203085.4412
MEM 10.468750 1745203085.4621
MEM 10.468750 1745203085.4836
MEM 10.468750 1745203085.5047
MEM 10.468750 1745203085.5256
MEM 10.468750 1745203085.5460
MEM 10.468750 1745203085.5661
MEM 10.468750 1745203085.5871
MEM 10.468750 1745203085.6076
MEM 10.468750 1745203085.6283
MEM 10.468750 1745203085.6494
MEM 10.468750 1745203085.6699
MEM 10.468750 1745203085.6912
MEM 10.468750 1745203085.7118
MEM 10.468750 1745203085.7326
MEM 10.468750 1745203085.7534
MEM 10.468750 1745203085.7741
MEM 10.468750 1745203085.7951
MEM 10.468750 1745203085.8153
MEM 10.468750 1745203085.8363
MEM 10.468750 1745203085.8568
MEM 10.468750 1745203085.8773
MEM 10.468750 1745203085.8990
MEM 10.468750 1745203085.9197
MEM 10.468750 1745203085.9403
MEM 10.468750 1745203085.9605
MEM 10.468750 1745203085.9809
MEM 10.468750 1745203086.0020
MEM 10.468750 1745203086.0226
MEM 10.468750 1745203086.0437
MEM 10.468750 1745203086.0658
MEM 10.468750 1745203086.0872
MEM 10.468750 1745203086.1085
MEM 10.468750 1745203086.1297
MEM 10.468750 1745203086.1506
MEM 10.468750 1745203086.1722
MEM 10.468750 1745203086.1930
MEM 10.468750 1745203086.2136
MEM 10.468750 1745203086.2339
MEM 10.468750 1745203086.2554
MEM 10.468750 1745203086.2748
MEM 10.468750 1745203086.2948
MEM 10.468750 1745203086.3152
MEM 10.468750 1745203086.3363
MEM 10.468750 1745203086.3573
MEM 10.468750 1745203086.3796
MEM 10.468750 1745203086.4005
MEM 10.468750 1745203086.4220
MEM 10.468750 1745203086.4426
MEM 10.468750 1745203086.4633
MEM 10.468750 1745203086.4857
