CMDLINE python3 python_programs/Canonical_solutions/minimum_cost_to_make_array_equal.py
MEM 0.218750 1745203085.2846
MEM 11.000000 1745203085.3109
MEM 11.000000 1745203085.3364
MEM 11.000000 1745203085.3623
MEM 11.000000 1745203085.3828
MEM 11.578125 1745203085.4084
MEM 11.578125 1745203085.4306
MEM 11.578125 1745203085.4511
MEM 11.578125 1745203085.4718
MEM 11.578125 1745203085.4929
MEM 11.578125 1745203085.5130
MEM 11.578125 1745203085.5338
MEM 11.578125 1745203085.5547
MEM 11.578125 1745203085.5747
MEM 11.578125 1745203085.5955
MEM 11.578125 1745203085.6166
MEM 11.578125 1745203085.6381
MEM 11.578125 1745203085.6586
MEM 11.578125 1745203085.6798
MEM 11.578125 1745203085.7011
MEM 11.578125 1745203085.7224
MEM 11.578125 1745203085.7432
MEM 11.578125 1745203085.7645
MEM 11.578125 1745203085.7853
MEM 11.578125 1745203085.8068
MEM 11.578125 1745203085.8283
MEM 11.578125 1745203085.8495
MEM 11.578125 1745203085.8709
MEM 11.578125 1745203085.8933
MEM 11.578125 1745203085.9143
MEM 11.578125 1745203085.9357
MEM 11.578125 1745203085.9562
MEM 11.578125 1745203085.9785
MEM 11.578125 1745203086.0008
MEM 11.578125 1745203086.0224
MEM 11.578125 1745203086.0440
MEM 11.578125 1745203086.0651
MEM 11.578125 1745203086.0859
MEM 11.578125 1745203086.1070
MEM 11.578125 1745203086.1276
MEM 11.578125 1745203086.1489
MEM 11.578125 1745203086.1697
MEM 11.578125 1745203086.1904
MEM 11.578125 1745203086.2109
MEM 11.578125 1745203086.2321
MEM 11.578125 1745203086.2543
MEM 11.578125 1745203086.2743
MEM 11.578125 1745203086.2940
MEM 11.578125 1745203086.3151
MEM 11.578125 1745203086.3359
MEM 11.578125 1745203086.3574
MEM 11.578125 1745203086.3798
MEM 11.578125 1745203086.4013
MEM 11.578125 1745203086.4225
MEM 11.578125 1745203086.4439
MEM 11.578125 1745203086.4640
MEM 11.578125 1745203086.4850
MEM 11.578125 1745203086.5061
MEM 11.578125 1745203086.5273
MEM 11.578125 1745203086.5482
MEM 11.578125 1745203086.5691
MEM 11.578125 1745203086.5894
MEM 11.578125 1745203086.6107
MEM 11.578125 1745203086.6323
MEM 11.578125 1745203086.6532
MEM 11.578125 1745203086.6755
MEM 11.578125 1745203086.6980
MEM 11.578125 1745203086.7216
MEM 11.578125 1745203086.7427
MEM 11.578125 1745203086.7631
MEM 11.578125 1745203086.7847
MEM 11.578125 1745203086.8053
MEM 11.578125 1745203086.8258
MEM 11.578125 1745203086.8463
MEM 11.578125 1745203086.8673
MEM 11.578125 1745203086.8876
MEM 11.578125 1745203086.9089
