CMDLINE python3 python_programs/Canonical_solutions/minimum_number_of_arrows_to_burst_balloons.py
MEM 0.234375 1745203080.4110
MEM 9.609375 1745203080.4319
MEM 27.984375 1745203080.4530
MEM 27.984375 1745203080.5086
MEM 27.984375 1745203080.5479
MEM 29.078125 1745203080.5788
MEM 29.078125 1745203080.6082
MEM 29.078125 1745203080.6419
MEM 29.078125 1745203080.6969
MEM 29.078125 1745203080.7415
MEM 29.078125 1745203080.7911
MEM 29.078125 1745203080.8364
MEM 29.078125 1745203080.8712
MEM 29.078125 1745203080.9051
MEM 29.078125 1745203080.9752
MEM 29.078125 1745203081.0783
MEM 29.078125 1745203081.1078
MEM 29.078125 1745203081.1544
MEM 29.078125 1745203081.1978
MEM 29.078125 1745203081.2279
MEM 29.078125 1745203081.2570
MEM 29.078125 1745203081.3886
MEM 29.078125 1745203081.4161
MEM 29.078125 1745203081.4448
MEM 29.078125 1745203081.4736
MEM 29.078125 1745203081.5031
MEM 29.078125 1745203081.5556
MEM 29.078125 1745203081.6060
MEM 29.078125 1745203081.6534
MEM 29.078125 1745203081.6880
MEM 29.078125 1745203081.7302
MEM 29.078125 1745203081.7939
MEM 29.078125 1745203081.8344
MEM 29.078125 1745203081.8783
MEM 29.078125 1745203081.9238
MEM 29.078125 1745203081.9699
MEM 29.078125 1745203082.0063
MEM 29.078125 1745203082.0274
MEM 29.078125 1745203082.0475
MEM 29.078125 1745203082.0696
MEM 29.078125 1745203082.0852
MEM 29.078125 1745203082.1024
MEM 29.078125 1745203082.1201
MEM 29.078125 1745203082.1394
MEM 29.078125 1745203082.1595
MEM 29.078125 1745203082.1811
MEM 29.078125 1745203082.2003
MEM 29.078125 1745203082.2169
MEM 29.078125 1745203082.2350
MEM 29.078125 1745203082.2525
MEM 29.078125 1745203082.2703
MEM 29.078125 1745203082.2880
MEM 29.078125 1745203082.3058
MEM 29.078125 1745203082.3235
MEM 29.078125 1745203082.3411
MEM 29.078125 1745203082.3590
MEM 29.078125 1745203082.3768
MEM 29.078125 1745203082.3945
MEM 29.078125 1745203082.4119
MEM 29.078125 1745203082.4298
MEM 29.078125 1745203082.4470
MEM 29.078125 1745203082.4650
MEM 29.078125 1745203082.4829
MEM 29.078125 1745203082.5007
MEM 29.078125 1745203082.5185
MEM 29.078125 1745203082.5354
MEM 29.078125 1745203082.5530
MEM 29.078125 1745203082.5703
MEM 29.078125 1745203082.5878
MEM 29.078125 1745203082.6055
MEM 29.078125 1745203082.6231
MEM 29.078125 1745203082.6406
MEM 29.078125 1745203082.6586
MEM 29.078125 1745203082.6765
MEM 29.078125 1745203082.6943
MEM 29.078125 1745203082.7122
MEM 29.078125 1745203082.7300
MEM 29.078125 1745203082.7477
MEM 29.078125 1745203082.7656
MEM 29.078125 1745203082.7837
MEM 29.078125 1745203082.8016
MEM 29.078125 1745203082.8200
MEM 29.078125 1745203082.8377
MEM 29.078125 1745203082.8552
MEM 29.078125 1745203082.8729
MEM 29.078125 1745203082.8908
MEM 29.078125 1745203082.9077
MEM 29.078125 1745203082.9253
MEM 29.078125 1745203082.9433
MEM 29.078125 1745203082.9626
MEM 29.078125 1745203082.9799
MEM 29.078125 1745203082.9927
MEM 29.078125 1745203083.0030
MEM 29.078125 1745203083.0150
MEM 29.078125 1745203083.0250
MEM 29.078125 1745203083.0340
MEM 29.078125 1745203083.0427
MEM 29.078125 1745203083.0489
MEM 29.078125 1745203083.0541
MEM 29.078125 1745203083.0593
MEM 29.078125 1745203083.0646
MEM 29.078125 1745203083.0699
MEM 29.078125 1745203083.0752
MEM 28.109375 1745203083.0806
