CMDLINE python3 python_programs/Canonical_solutions/minimum_operations_to_make_a_subsequence.py
MEM 0.203125 1745203080.3945
MEM 11.140625 1745203080.4297
MEM 11.140625 1745203080.4579
MEM 11.140625 1745203080.5265
MEM 13.406250 1745203080.5522
MEM 13.406250 1745203080.6165
MEM 13.406250 1745203080.6570
MEM 13.406250 1745203080.6839
MEM 13.406250 1745203080.7118
MEM 13.406250 1745203080.7737
MEM 13.406250 1745203080.8241
MEM 13.406250 1745203080.8634
MEM 13.406250 1745203080.8952
MEM 13.406250 1745203080.9470
MEM 13.406250 1745203080.9832
MEM 13.406250 1745203081.0200
MEM 13.406250 1745203081.0572
MEM 13.406250 1745203081.1005
MEM 13.406250 1745203081.1350
MEM 13.406250 1745203081.1663
MEM 13.406250 1745203081.2292
MEM 13.406250 1745203081.2598
MEM 13.406250 1745203081.3334
MEM 13.406250 1745203081.3844
MEM 13.406250 1745203081.4162
MEM 13.406250 1745203081.4865
MEM 13.406250 1745203081.5150
MEM 13.406250 1745203081.5464
MEM 13.406250 1745203081.5758
MEM 13.406250 1745203081.6158
MEM 13.406250 1745203081.6483
MEM 13.406250 1745203081.6820
MEM 13.406250 1745203081.7195
MEM 13.406250 1745203081.7593
MEM 13.406250 1745203081.8019
MEM 13.406250 1745203081.8507
MEM 13.406250 1745203081.8969
MEM 13.406250 1745203081.9278
MEM 13.406250 1745203081.9681
MEM 13.406250 1745203082.0056
MEM 13.406250 1745203082.0535
