CMDLINE python3 python_programs/Canonical_solutions/minimum_replacements_to_sort_the_array.py
MEM 0.203125 1745203080.3809
MEM 10.343750 1745203080.4121
MEM 10.343750 1745203080.4555
MEM 10.343750 1745203080.4832
MEM 11.015625 1745203080.5097
MEM 12.250000 1745203080.5738
MEM 12.250000 1745203080.6034
MEM 12.250000 1745203080.6453
MEM 12.250000 1745203080.7087
MEM 12.250000 1745203080.7483
MEM 12.250000 1745203080.7815
MEM 12.250000 1745203080.8315
MEM 12.250000 1745203080.8616
MEM 12.250000 1745203080.8905
MEM 12.250000 1745203080.9239
MEM 12.250000 1745203080.9730
MEM 12.250000 1745203081.0074
MEM 12.250000 1745203081.0398
MEM 12.250000 1745203081.0868
MEM 12.250000 1745203081.1221
MEM 12.250000 1745203081.1567
MEM 12.250000 1745203081.2260
MEM 12.250000 1745203081.2570
MEM 12.250000 1745203081.2890
MEM 12.250000 1745203081.3488
MEM 12.250000 1745203081.3885
MEM 12.250000 1745203081.4183
MEM 12.250000 1745203081.4871
MEM 12.250000 1745203081.5179
MEM 12.250000 1745203081.5502
MEM 12.250000 1745203081.5770
MEM 12.250000 1745203081.6055
MEM 12.250000 1745203081.6608
MEM 12.250000 1745203081.7050
MEM 12.250000 1745203081.7351
MEM 12.250000 1745203081.7820
MEM 12.250000 1745203081.8223
MEM 12.250000 1745203081.8623
MEM 12.250000 1745203081.9007
MEM 12.250000 1745203081.9425
MEM 12.250000 1745203081.9802
MEM 12.250000 1745203082.0117
