CMDLINE python3 python_programs/Canonical_solutions/most_profit_assigning_work.py
MEM 0.187500 1745203080.4149
MEM 12.140625 1745203080.4338
MEM 12.140625 1745203080.4548
MEM 12.140625 1745203080.4820
MEM 12.140625 1745203080.5068
MEM 12.140625 1745203080.5648
MEM 12.781250 1745203080.6402
MEM 12.781250 1745203080.6705
MEM 12.781250 1745203080.6982
MEM 12.781250 1745203080.7429
MEM 12.781250 1745203080.7939
MEM 12.781250 1745203080.8224
MEM 12.781250 1745203080.8891
MEM 12.781250 1745203080.9224
MEM 12.781250 1745203080.9571
MEM 12.781250 1745203080.9901
MEM 12.781250 1745203081.0188
MEM 12.781250 1745203081.0501
MEM 12.781250 1745203081.0845
MEM 12.781250 1745203081.1150
MEM 12.781250 1745203081.1622
MEM 12.781250 1745203081.2054
MEM 12.781250 1745203081.2641
MEM 12.781250 1745203081.2825
MEM 12.781250 1745203081.3000
MEM 12.781250 1745203081.3171
MEM 12.781250 1745203081.3479
MEM 12.781250 1745203081.3755
MEM 12.781250 1745203081.4251
MEM 12.781250 1745203081.4628
MEM 12.781250 1745203081.5239
MEM 12.781250 1745203081.5595
MEM 12.781250 1745203081.5999
MEM 12.781250 1745203081.6475
MEM 12.781250 1745203081.6860
MEM 12.781250 1745203081.7179
MEM 12.781250 1745203081.7509
MEM 12.781250 1745203081.7921
MEM 12.781250 1745203081.8345
MEM 12.781250 1745203081.8792
MEM 12.781250 1745203081.9105
MEM 12.781250 1745203081.9531
MEM 12.781250 1745203081.9834
MEM 12.781250 1745203082.0183
MEM 12.781250 1745203082.0532
MEM 12.781250 1745203082.1162
MEM 12.781250 1745203082.1431
MEM 12.781250 1745203082.1643
MEM 12.781250 1745203082.1845
MEM 12.781250 1745203082.2029
MEM 12.781250 1745203082.2219
MEM 12.781250 1745203082.2396
MEM 12.781250 1745203082.2581
MEM 12.781250 1745203082.2773
MEM 12.781250 1745203082.2957
MEM 12.781250 1745203082.3138
MEM 12.781250 1745203082.3317
MEM 12.781250 1745203082.3496
MEM 12.781250 1745203082.3674
MEM 12.781250 1745203082.3856
MEM 12.781250 1745203082.4032
MEM 12.781250 1745203082.4215
MEM 12.781250 1745203082.4397
MEM 12.781250 1745203082.4576
MEM 12.781250 1745203082.4759
MEM 12.781250 1745203082.4940
MEM 12.781250 1745203082.5121
MEM 12.781250 1745203082.5302
MEM 12.781250 1745203082.5478
MEM 12.781250 1745203082.5661
MEM 12.781250 1745203082.5836
MEM 12.781250 1745203082.6009
MEM 12.781250 1745203082.6184
MEM 12.781250 1745203082.6363
MEM 12.781250 1745203082.6535
MEM 12.781250 1745203082.6708
MEM 12.781250 1745203082.6888
MEM 12.781250 1745203082.7066
MEM 12.781250 1745203082.7236
MEM 12.781250 1745203082.7416
MEM 12.781250 1745203082.7588
MEM 12.781250 1745203082.7764
MEM 12.781250 1745203082.7941
MEM 12.781250 1745203082.8123
MEM 12.781250 1745203082.8302
MEM 12.781250 1745203082.8479
MEM 12.781250 1745203082.8657
MEM 12.781250 1745203082.8836
MEM 12.781250 1745203082.9009
MEM 12.781250 1745203082.9188
MEM 12.781250 1745203082.9361
MEM 12.781250 1745203082.9537
MEM 12.781250 1745203082.9713
MEM 12.781250 1745203082.9838
MEM 12.781250 1745203082.9968
MEM 12.781250 1745203083.0059
MEM 12.781250 1745203083.0158
MEM 12.781250 1745203083.0265
MEM 12.781250 1745203083.0360
MEM 12.781250 1745203083.0451
