CMDLINE python3 python_programs/Canonical_solutions/smallest_range_covering_elements_from_k_lists.py
MEM 0.234375 1745203080.4043
MEM 11.609375 1745203080.4223
MEM 11.625000 1745203080.4472
MEM 11.625000 1745203080.4685
MEM 11.625000 1745203080.4941
MEM 11.625000 1745203080.5557
MEM 12.171875 1745203080.6197
MEM 12.171875 1745203080.6508
MEM 12.171875 1745203080.7101
MEM 12.171875 1745203080.7440
MEM 12.171875 1745203080.7766
MEM 12.171875 1745203080.8056
MEM 12.171875 1745203080.8452
MEM 12.171875 1745203080.8924
MEM 12.171875 1745203080.9225
MEM 12.171875 1745203080.9511
MEM 12.171875 1745203080.9875
MEM 12.171875 1745203081.0215
MEM 12.171875 1745203081.0552
MEM 12.171875 1745203081.1009
MEM 12.171875 1745203081.1513
MEM 12.171875 1745203081.1807
MEM 12.171875 1745203081.2091
MEM 12.171875 1745203081.2826
MEM 12.171875 1745203081.2968
MEM 12.171875 1745203081.3113
MEM 12.171875 1745203081.3282
MEM 12.171875 1745203081.3564
MEM 12.171875 1745203081.4149
MEM 12.171875 1745203081.4572
MEM 12.171875 1745203081.4860
MEM 12.171875 1745203081.5382
MEM 12.171875 1745203081.5765
MEM 12.171875 1745203081.6397
MEM 12.171875 1745203081.6869
MEM 12.171875 1745203081.7276
MEM 12.171875 1745203081.7691
MEM 12.171875 1745203081.8021
MEM 12.171875 1745203081.8459
MEM 12.171875 1745203081.8791
MEM 12.171875 1745203081.9175
MEM 12.171875 1745203081.9488
MEM 12.171875 1745203081.9888
MEM 12.171875 1745203082.0173
MEM 12.171875 1745203082.0596
