CMDLINE python3 python_programs/Canonical_solutions/smallest_subsequence_of_distinct_characters.py
MEM 0.250000 1745203080.3458
MEM 9.500000 1745203080.3636
MEM 9.500000 1745203080.3851
MEM 9.500000 1745203080.4880
MEM 9.531250 1745203080.5280
MEM 9.531250 1745203080.5523
MEM 9.531250 1745203080.5814
MEM 9.531250 1745203080.6101
MEM 9.531250 1745203080.6462
MEM 9.531250 1745203080.7053
MEM 9.531250 1745203080.7360
MEM 9.531250 1745203080.7651
MEM 9.531250 1745203080.8125
MEM 9.531250 1745203080.8457
MEM 9.531250 1745203080.9111
MEM 9.531250 1745203080.9458
MEM 9.531250 1745203080.9809
MEM 9.531250 1745203081.0130
MEM 9.531250 1745203081.0420
MEM 9.531250 1745203081.0725
MEM 9.531250 1745203081.1221
MEM 9.531250 1745203081.1511
MEM 9.531250 1745203081.1826
MEM 9.531250 1745203081.2115
MEM 9.531250 1745203081.2765
MEM 9.531250 1745203081.3128
MEM 9.531250 1745203081.3594
MEM 9.531250 1745203081.3982
MEM 9.531250 1745203081.4404
MEM 9.531250 1745203081.4693
MEM 9.531250 1745203081.5223
MEM 9.531250 1745203081.5842
MEM 9.531250 1745203081.6140
MEM 9.531250 1745203081.6453
MEM 9.531250 1745203081.6889
MEM 9.531250 1745203081.7655
MEM 9.531250 1745203081.8144
MEM 9.531250 1745203081.8580
MEM 9.531250 1745203081.8993
MEM 9.531250 1745203082.0068
MEM 9.531250 1745203082.0309
MEM 9.531250 1745203082.0529
MEM 9.531250 1745203082.0727
MEM 9.531250 1745203082.0894
MEM 9.531250 1745203082.1078
MEM 9.531250 1745203082.1237
MEM 9.531250 1745203082.1425
MEM 9.531250 1745203082.1685
MEM 9.531250 1745203082.1886
MEM 9.531250 1745203082.2069
MEM 9.531250 1745203082.2250
MEM 9.531250 1745203082.2424
MEM 9.531250 1745203082.2598
MEM 9.531250 1745203082.2779
MEM 9.531250 1745203082.2964
MEM 9.531250 1745203082.3139
MEM 9.531250 1745203082.3317
MEM 9.531250 1745203082.3500
MEM 9.531250 1745203082.3681
MEM 9.531250 1745203082.3862
MEM 9.531250 1745203082.4039
MEM 9.531250 1745203082.4216
MEM 9.531250 1745203082.4399
MEM 9.531250 1745203082.4584
MEM 9.531250 1745203082.4764
MEM 9.531250 1745203082.4941
MEM 9.531250 1745203082.5118
MEM 9.531250 1745203082.5299
MEM 9.531250 1745203082.5481
MEM 9.531250 1745203082.5669
MEM 9.531250 1745203082.5859
MEM 9.531250 1745203082.6037
MEM 9.531250 1745203082.6211
MEM 9.531250 1745203082.6384
MEM 9.531250 1745203082.6557
MEM 9.531250 1745203082.6726
MEM 9.531250 1745203082.6903
MEM 9.531250 1745203082.7079
MEM 9.531250 1745203082.7254
MEM 9.531250 1745203082.7429
MEM 9.531250 1745203082.7602
MEM 9.531250 1745203082.7778
MEM 9.531250 1745203082.7955
MEM 9.531250 1745203082.8136
MEM 9.531250 1745203082.8313
MEM 9.531250 1745203082.8491
MEM 9.531250 1745203082.8667
MEM 9.531250 1745203082.8850
MEM 9.531250 1745203082.9018
MEM 9.531250 1745203082.9201
MEM 9.531250 1745203082.9375
MEM 9.531250 1745203082.9552
MEM 9.531250 1745203082.9726
