CMDLINE python3 python_programs/Canonical_solutions/split_array_largest_sum.py
MEM 0.234375 1745203085.2781
MEM 10.343750 1745203085.3029
MEM 10.343750 1745203085.3278
MEM 10.343750 1745203085.3522
MEM 10.343750 1745203085.3762
MEM 10.343750 1745203085.4031
MEM 11.015625 1745203085.4255
MEM 11.015625 1745203085.4467
MEM 11.015625 1745203085.4683
MEM 11.015625 1745203085.4896
MEM 11.015625 1745203085.5106
MEM 11.015625 1745203085.5318
MEM 11.015625 1745203085.5527
MEM 11.015625 1745203085.5728
MEM 11.015625 1745203085.5944
MEM 11.015625 1745203085.6158
MEM 11.015625 1745203085.6370
MEM 11.015625 1745203085.6582
MEM 11.015625 1745203085.6788
MEM 11.015625 1745203085.6992
MEM 11.015625 1745203085.7192
MEM 11.015625 1745203085.7401
MEM 11.015625 1745203085.7607
MEM 11.015625 1745203085.7806
MEM 11.015625 1745203085.8021
MEM 11.015625 1745203085.8221
MEM 11.015625 1745203085.8423
MEM 11.015625 1745203085.8627
MEM 11.015625 1745203085.8831
MEM 11.015625 1745203085.9045
MEM 11.015625 1745203085.9247
MEM 11.015625 1745203085.9452
MEM 11.015625 1745203085.9652
MEM 11.015625 1745203085.9859
MEM 11.015625 1745203086.0066
MEM 11.015625 1745203086.0267
MEM 11.015625 1745203086.0469
MEM 11.015625 1745203086.0676
MEM 11.015625 1745203086.0884
MEM 11.015625 1745203086.1100
MEM 11.015625 1745203086.1310
MEM 11.015625 1745203086.1525
MEM 11.015625 1745203086.1736
MEM 11.015625 1745203086.1949
MEM 11.015625 1745203086.2161
MEM 11.015625 1745203086.2371
MEM 11.015625 1745203086.2583
MEM 11.015625 1745203086.2813
MEM 11.015625 1745203086.3030
MEM 11.015625 1745203086.3242
MEM 11.015625 1745203086.3456
MEM 11.015625 1745203086.3689
MEM 11.015625 1745203086.3903
MEM 11.015625 1745203086.4133
MEM 11.015625 1745203086.4340
MEM 11.015625 1745203086.4568
MEM 11.015625 1745203086.4771
MEM 11.015625 1745203086.4981
MEM 11.015625 1745203086.5190
MEM 11.015625 1745203086.5394
MEM 11.015625 1745203086.5599
MEM 11.015625 1745203086.5817
MEM 11.015625 1745203086.6033
MEM 11.015625 1745203086.6243
MEM 11.015625 1745203086.6452
MEM 11.015625 1745203086.6657
MEM 11.015625 1745203086.6868
MEM 11.015625 1745203086.7079
MEM 11.015625 1745203086.7280
MEM 11.015625 1745203086.7495
MEM 11.015625 1745203086.7704
MEM 11.015625 1745203086.7912
MEM 11.015625 1745203086.8123
MEM 11.015625 1745203086.8332
MEM 11.015625 1745203086.8541
MEM 11.015625 1745203086.8761
MEM 11.015625 1745203086.8975
MEM 11.062500 1745203086.9179
