CMDLINE python3 python_programs/Canonical_solutions/stamping_the_grid.py
MEM 0.234375 1745203080.3375
MEM 9.281250 1745203080.3524
MEM 13.718750 1745203080.3725
MEM 13.718750 1745203080.4418
MEM 14.953125 1745203080.5061
MEM 15.796875 1745203080.5329
MEM 15.796875 1745203080.5634
MEM 15.796875 1745203080.5931
MEM 15.796875 1745203080.6228
MEM 15.796875 1745203080.6932
MEM 15.796875 1745203080.7380
MEM 15.796875 1745203080.7708
MEM 15.796875 1745203080.8071
MEM 15.796875 1745203080.8495
MEM 15.796875 1745203080.8782
MEM 15.796875 1745203080.9125
MEM 15.796875 1745203080.9416
MEM 15.796875 1745203080.9782
MEM 15.796875 1745203081.0107
MEM 15.796875 1745203081.0569
MEM 15.796875 1745203081.1039
MEM 15.796875 1745203081.1413
MEM 15.796875 1745203081.1784
MEM 15.796875 1745203081.2071
MEM 15.796875 1745203081.2340
MEM 15.796875 1745203081.2645
MEM 15.796875 1745203081.3692
MEM 15.796875 1745203081.4028
MEM 15.796875 1745203081.4307
MEM 15.796875 1745203081.4891
MEM 15.796875 1745203081.5211
MEM 15.796875 1745203081.5556
MEM 15.796875 1745203081.6011
MEM 15.796875 1745203081.6470
MEM 15.796875 1745203081.6866
MEM 15.796875 1745203081.7286
MEM 15.796875 1745203081.7663
MEM 15.796875 1745203081.8012
MEM 15.796875 1745203081.8351
MEM 15.796875 1745203081.8757
MEM 15.796875 1745203081.9092
MEM 15.796875 1745203081.9444
MEM 15.796875 1745203081.9767
