CMDLINE python3 python_programs/Canonical_solutions/super_washing_machines.py
MEM 0.031250 1745203080.3210
MEM 6.250000 1745203080.3337
MEM 8.546875 1745203080.3461
MEM 10.687500 1745203080.3607
MEM 10.687500 1745203080.3819
MEM 10.687500 1745203080.4854
MEM 12.468750 1745203080.5236
MEM 12.468750 1745203080.5575
MEM 12.468750 1745203080.6122
MEM 12.468750 1745203080.6452
MEM 12.468750 1745203080.6760
MEM 12.468750 1745203080.7352
MEM 12.468750 1745203080.7719
MEM 12.468750 1745203080.8192
MEM 12.468750 1745203080.8519
MEM 12.468750 1745203080.8807
MEM 12.468750 1745203081.0202
MEM 12.468750 1745203081.0742
MEM 12.468750 1745203081.1284
MEM 12.468750 1745203081.1610
MEM 12.468750 1745203081.2127
MEM 12.468750 1745203081.2395
MEM 12.468750 1745203081.2688
MEM 12.468750 1745203081.3138
MEM 12.468750 1745203081.3628
MEM 12.468750 1745203081.3933
MEM 12.468750 1745203081.4303
MEM 12.468750 1745203081.4603
MEM 12.468750 1745203081.5221
MEM 12.468750 1745203081.5526
MEM 12.468750 1745203081.6061
MEM 12.468750 1745203081.6533
MEM 12.468750 1745203081.6914
MEM 12.468750 1745203081.7266
MEM 12.468750 1745203081.7611
MEM 12.468750 1745203081.8021
MEM 12.468750 1745203081.8378
MEM 12.468750 1745203081.8818
MEM 12.468750 1745203081.9141
MEM 12.468750 1745203081.9493
MEM 12.468750 1745203081.9903
