CMDLINE python3 python_programs/Canonical_solutions/the_number_of_weak_characters_in_the_game.py
MEM 0.218750 1745203085.2119
MEM 4.890625 1745203085.2199
MEM 6.921875 1745203085.2312
MEM 14.953125 1745203085.2476
MEM 28.828125 1745203085.2660
MEM 28.828125 1745203085.2947
MEM 28.828125 1745203085.3201
MEM 28.828125 1745203085.3451
MEM 28.828125 1745203085.3760
MEM 29.781250 1745203085.4003
MEM 29.781250 1745203085.4234
MEM 29.781250 1745203085.4460
MEM 29.781250 1745203085.4672
MEM 29.781250 1745203085.4882
MEM 29.781250 1745203085.5101
MEM 29.781250 1745203085.5320
MEM 29.781250 1745203085.5531
MEM 29.781250 1745203085.5729
MEM 29.781250 1745203085.5944
MEM 29.781250 1745203085.6159
MEM 29.781250 1745203085.6375
MEM 29.781250 1745203085.6585
MEM 29.781250 1745203085.6794
MEM 29.781250 1745203085.7013
MEM 29.781250 1745203085.7224
MEM 29.781250 1745203085.7430
MEM 29.781250 1745203085.7643
MEM 29.781250 1745203085.7859
MEM 29.781250 1745203085.8071
MEM 29.781250 1745203085.8278
MEM 29.781250 1745203085.8492
MEM 29.781250 1745203085.8693
MEM 29.781250 1745203085.8912
MEM 29.781250 1745203085.9109
MEM 29.781250 1745203085.9310
MEM 29.781250 1745203085.9510
MEM 29.781250 1745203085.9707
MEM 29.781250 1745203085.9910
MEM 29.781250 1745203086.0114
MEM 29.781250 1745203086.0311
MEM 29.781250 1745203086.0517
MEM 29.781250 1745203086.0722
MEM 29.781250 1745203086.0929
MEM 29.781250 1745203086.1132
MEM 29.781250 1745203086.1342
MEM 29.781250 1745203086.1555
MEM 29.781250 1745203086.1758
MEM 29.781250 1745203086.1967
MEM 29.781250 1745203086.2175
MEM 29.781250 1745203086.2383
MEM 29.781250 1745203086.2595
MEM 29.781250 1745203086.2822
MEM 29.781250 1745203086.3035
MEM 29.781250 1745203086.3248
MEM 29.781250 1745203086.3461
MEM 29.781250 1745203086.3672
MEM 29.781250 1745203086.3877
MEM 29.781250 1745203086.4082
MEM 29.781250 1745203086.4296
MEM 29.781250 1745203086.4514
MEM 29.781250 1745203086.4720
MEM 29.781250 1745203086.4923
MEM 29.781250 1745203086.5129
MEM 29.781250 1745203086.5335
MEM 29.781250 1745203086.5541
MEM 29.781250 1745203086.5751
MEM 29.781250 1745203086.5957
MEM 29.781250 1745203086.6168
MEM 29.781250 1745203086.6370
MEM 29.781250 1745203086.6579
MEM 29.781250 1745203086.6797
MEM 29.781250 1745203086.7021
MEM 29.781250 1745203086.7232
MEM 29.781250 1745203086.7444
MEM 29.781250 1745203086.7658
MEM 29.781250 1745203086.7867
MEM 29.781250 1745203086.8078
MEM 29.781250 1745203086.8288
MEM 29.781250 1745203086.8501
MEM 29.781250 1745203086.8708
MEM 29.781250 1745203086.8916
MEM 29.781250 1745203086.9129
MEM 29.781250 1745203086.9278
MEM 29.781250 1745203086.9412
MEM 29.781250 1745203086.9538
MEM 29.781250 1745203086.9672
MEM 29.781250 1745203086.9788
MEM 29.781250 1745203086.9891
MEM 29.781250 1745203086.9991
MEM 29.781250 1745203087.0089
MEM 29.781250 1745203087.0192
MEM 29.781250 1745203087.0292
MEM 29.781250 1745203087.0391
MEM 29.781250 1745203087.0489
MEM 29.781250 1745203087.0589
MEM 29.781250 1745203087.0688
MEM 29.781250 1745203087.0786
MEM 29.781250 1745203087.0885
MEM 29.781250 1745203087.0984
MEM 29.781250 1745203087.1084
MEM 29.781250 1745203087.1185
MEM 29.781250 1745203087.1286
MEM 29.781250 1745203087.1386
MEM 29.781250 1745203087.1486
MEM 29.781250 1745203087.1586
MEM 29.781250 1745203087.1687
MEM 29.781250 1745203087.1787
MEM 29.781250 1745203087.1888
MEM 29.781250 1745203087.1998
MEM 29.781250 1745203087.2099
MEM 29.781250 1745203087.2201
MEM 29.781250 1745203087.2303
MEM 29.781250 1745203087.2404
MEM 29.781250 1745203087.2504
MEM 29.781250 1745203087.2605
MEM 29.781250 1745203087.2706
MEM 29.781250 1745203087.2806
MEM 29.781250 1745203087.2906
MEM 29.781250 1745203087.3007
MEM 29.781250 1745203087.3107
MEM 29.781250 1745203087.3209
MEM 29.781250 1745203087.3310
MEM 29.781250 1745203087.3410
MEM 29.781250 1745203087.3510
MEM 29.781250 1745203087.3611
MEM 29.781250 1745203087.3711
MEM 29.781250 1745203087.3812
MEM 29.781250 1745203087.3912
MEM 29.781250 1745203087.4013
MEM 29.781250 1745203087.4113
MEM 29.781250 1745203087.4217
MEM 29.781250 1745203087.4319
MEM 29.781250 1745203087.4419
