CMDLINE python3 python_programs/Canonical_solutions/wiggle_subsequence.py
MEM 0.203125 1745203080.3398
MEM 10.125000 1745203080.3532
MEM 10.125000 1745203080.3718
MEM 10.125000 1745203080.4276
MEM 10.125000 1745203080.5071
MEM 12.296875 1745203080.5386
MEM 12.296875 1745203080.5664
MEM 12.296875 1745203080.6359
MEM 12.296875 1745203080.6646
MEM 12.296875 1745203080.7033
MEM 12.296875 1745203080.7564
MEM 12.296875 1745203080.7920
MEM 12.296875 1745203080.8372
MEM 12.296875 1745203080.8739
MEM 12.296875 1745203080.9209
MEM 12.296875 1745203080.9661
MEM 12.296875 1745203081.0652
MEM 12.296875 1745203081.1176
MEM 12.296875 1745203081.1608
MEM 12.296875 1745203081.2048
MEM 12.296875 1745203081.2657
MEM 12.296875 1745203081.2844
MEM 12.296875 1745203081.2950
MEM 12.296875 1745203081.3093
MEM 12.296875 1745203081.3277
MEM 12.296875 1745203081.3558
MEM 12.296875 1745203081.3830
MEM 12.296875 1745203081.4676
MEM 12.296875 1745203081.5064
MEM 12.296875 1745203081.5501
MEM 12.296875 1745203081.5783
MEM 12.296875 1745203081.6066
MEM 12.296875 1745203081.6630
MEM 12.296875 1745203081.6996
MEM 12.296875 1745203081.7352
MEM 12.296875 1745203081.7775
MEM 12.296875 1745203081.8107
MEM 12.296875 1745203081.8566
MEM 12.296875 1745203081.8919
MEM 12.296875 1745203081.9490
MEM 12.296875 1745203081.9846
MEM 12.296875 1745203082.0185
MEM 12.296875 1745203082.0423
MEM 12.296875 1745203082.0633
MEM 12.296875 1745203082.0819
MEM 12.296875 1745203082.0991
MEM 12.296875 1745203082.1170
MEM 12.296875 1745203082.1378
MEM 12.296875 1745203082.1559
MEM 12.296875 1745203082.1753
MEM 12.296875 1745203082.1957
MEM 12.296875 1745203082.2151
MEM 12.296875 1745203082.2327
MEM 12.296875 1745203082.2508
MEM 12.296875 1745203082.2685
MEM 12.296875 1745203082.2864
MEM 12.296875 1745203082.3047
MEM 12.296875 1745203082.3219
MEM 12.296875 1745203082.3398
MEM 12.296875 1745203082.3571
MEM 12.296875 1745203082.3747
MEM 12.296875 1745203082.3921
MEM 12.296875 1745203082.4094
MEM 12.296875 1745203082.4268
MEM 12.296875 1745203082.4442
MEM 12.296875 1745203082.4613
MEM 12.296875 1745203082.4789
MEM 12.296875 1745203082.4969
MEM 12.296875 1745203082.5145
MEM 12.296875 1745203082.5326
MEM 12.296875 1745203082.5500
MEM 12.296875 1745203082.5680
MEM 12.296875 1745203082.5869
MEM 12.296875 1745203082.6049
MEM 12.296875 1745203082.6226
MEM 12.296875 1745203082.6401
MEM 12.296875 1745203082.6583
MEM 12.296875 1745203082.6761
MEM 12.296875 1745203082.6939
MEM 12.296875 1745203082.7117
MEM 12.296875 1745203082.7296
MEM 12.296875 1745203082.7474
MEM 12.296875 1745203082.7657
MEM 12.296875 1745203082.7838
MEM 12.296875 1745203082.8016
MEM 12.296875 1745203082.8207
MEM 12.296875 1745203082.8385
MEM 12.296875 1745203082.8560
MEM 12.296875 1745203082.8738
MEM 12.296875 1745203082.8917
MEM 12.296875 1745203082.9084
MEM 12.296875 1745203082.9261
MEM 12.296875 1745203082.9439
MEM 12.296875 1745203082.9620
MEM 12.296875 1745203082.9804
