CMDLINE python3 python_programs/Canonical_solutions/word_abbreviation.py
MEM 0.203125 1745203085.2815
MEM 10.734375 1745203085.3058
MEM 10.734375 1745203085.3303
MEM 10.734375 1745203085.3543
MEM 10.734375 1745203085.3793
MEM 10.734375 1745203085.4033
MEM 13.062500 1745203085.4261
MEM 13.062500 1745203085.4474
MEM 13.062500 1745203085.4684
MEM 13.062500 1745203085.4898
MEM 13.062500 1745203085.5107
MEM 13.062500 1745203085.5316
MEM 13.062500 1745203085.5527
MEM 13.062500 1745203085.5725
MEM 13.062500 1745203085.5941
MEM 13.062500 1745203085.6148
MEM 13.062500 1745203085.6359
MEM 13.062500 1745203085.6588
MEM 13.062500 1745203085.6801
MEM 13.062500 1745203085.7013
MEM 13.062500 1745203085.7227
MEM 13.062500 1745203085.7438
MEM 13.062500 1745203085.7651
MEM 13.062500 1745203085.7868
MEM 13.062500 1745203085.8084
MEM 13.062500 1745203085.8298
MEM 13.062500 1745203085.8504
MEM 13.062500 1745203085.8712
MEM 13.062500 1745203085.8927
MEM 13.062500 1745203085.9142
MEM 13.062500 1745203085.9356
MEM 13.062500 1745203085.9560
MEM 13.062500 1745203085.9779
MEM 13.062500 1745203085.9996
MEM 13.062500 1745203086.0215
MEM 13.062500 1745203086.0425
MEM 13.062500 1745203086.0629
MEM 13.062500 1745203086.0832
MEM 13.062500 1745203086.1040
MEM 13.062500 1745203086.1247
MEM 13.062500 1745203086.1455
MEM 13.062500 1745203086.1663
MEM 13.062500 1745203086.1868
MEM 13.062500 1745203086.2080
MEM 13.062500 1745203086.2288
MEM 13.062500 1745203086.2497
MEM 13.062500 1745203086.2707
MEM 13.062500 1745203086.2918
MEM 13.062500 1745203086.3124
MEM 13.062500 1745203086.3328
MEM 13.062500 1745203086.3537
MEM 13.062500 1745203086.3760
MEM 13.062500 1745203086.3972
MEM 13.062500 1745203086.4190
MEM 13.062500 1745203086.4397
MEM 13.062500 1745203086.4603
MEM 13.062500 1745203086.4810
MEM 13.062500 1745203086.5021
MEM 13.062500 1745203086.5227
MEM 13.062500 1745203086.5439
MEM 13.062500 1745203086.5645
MEM 13.062500 1745203086.5848
MEM 13.062500 1745203086.6057
MEM 13.062500 1745203086.6266
MEM 13.062500 1745203086.6480
MEM 13.062500 1745203086.6688
MEM 13.062500 1745203086.6900
MEM 13.062500 1745203086.7108
MEM 13.062500 1745203086.7312
MEM 13.062500 1745203086.7516
MEM 13.062500 1745203086.7723
MEM 13.062500 1745203086.7930
MEM 13.062500 1745203086.8141
MEM 13.062500 1745203086.8348
MEM 13.062500 1745203086.8554
MEM 13.062500 1745203086.8759
MEM 13.062500 1745203086.8972
MEM 13.062500 1745203086.9182
