CMDLINE python3 python_programs/ChatGPT/average_height_of_buildings_in_each_segment.py
MEM 0.250000 1745203095.3473
MEM 6.578125 1745203095.3623
MEM 10.312500 1745203095.3895
MEM 12.343750 1745203095.4130
MEM 12.343750 1745203095.4352
MEM 12.343750 1745203095.4559
MEM 12.343750 1745203095.4772
MEM 13.546875 1745203095.4999
MEM 14.343750 1745203095.5226
MEM 14.343750 1745203095.5456
MEM 14.343750 1745203095.5663
MEM 14.343750 1745203095.5875
MEM 14.343750 1745203095.6092
MEM 14.343750 1745203095.6304
MEM 14.343750 1745203095.6523
MEM 14.343750 1745203095.6737
MEM 14.343750 1745203095.6958
MEM 14.343750 1745203095.7174
MEM 14.343750 1745203095.7385
MEM 14.343750 1745203095.7594
MEM 14.343750 1745203095.7799
MEM 14.343750 1745203095.8008
MEM 14.343750 1745203095.8221
MEM 14.343750 1745203095.8438
MEM 14.343750 1745203095.8639
MEM 14.343750 1745203095.8846
MEM 14.343750 1745203095.9055
MEM 14.343750 1745203095.9265
MEM 14.343750 1745203095.9471
MEM 14.343750 1745203095.9683
MEM 14.343750 1745203095.9889
MEM 14.343750 1745203096.0102
MEM 14.343750 1745203096.0300
MEM 14.343750 1745203096.0511
MEM 14.343750 1745203096.0728
MEM 14.343750 1745203096.0940
MEM 14.343750 1745203096.1146
MEM 14.343750 1745203096.1361
MEM 14.343750 1745203096.1571
MEM 14.343750 1745203096.1781
MEM 14.343750 1745203096.1991
MEM 14.343750 1745203096.2203
MEM 14.343750 1745203096.2412
MEM 14.343750 1745203096.2623
MEM 14.343750 1745203096.2831
MEM 14.343750 1745203096.3046
MEM 14.343750 1745203096.3252
MEM 14.343750 1745203096.3462
MEM 14.343750 1745203096.3670
MEM 14.343750 1745203096.3883
MEM 14.343750 1745203096.4089
MEM 14.343750 1745203096.4309
MEM 14.343750 1745203096.4529
MEM 14.343750 1745203096.4742
MEM 14.343750 1745203096.4949
MEM 14.343750 1745203096.5162
MEM 14.343750 1745203096.5366
MEM 14.343750 1745203096.5587
MEM 14.343750 1745203096.5802
MEM 14.343750 1745203096.6021
MEM 14.343750 1745203096.6237
MEM 14.343750 1745203096.6454
MEM 14.343750 1745203096.6656
MEM 14.343750 1745203096.6861
MEM 14.343750 1745203096.7070
MEM 14.343750 1745203096.7275
MEM 14.343750 1745203096.7485
MEM 14.343750 1745203096.7699
MEM 14.343750 1745203096.7905
MEM 14.343750 1745203096.8113
MEM 14.343750 1745203096.8318
MEM 14.343750 1745203096.8530
MEM 14.343750 1745203096.8747
MEM 14.343750 1745203096.8972
MEM 14.343750 1745203096.9186
MEM 14.343750 1745203096.9400
MEM 14.343750 1745203096.9612
MEM 14.343750 1745203096.9826
MEM 14.343750 1745203097.0030
MEM 14.343750 1745203097.0240
MEM 14.343750 1745203097.0441
MEM 14.343750 1745203097.0644
MEM 14.343750 1745203097.0851
MEM 14.343750 1745203097.1060
MEM 14.343750 1745203097.1270
MEM 14.343750 1745203097.1473
MEM 14.343750 1745203097.1677
MEM 14.343750 1745203097.1879
MEM 14.343750 1745203097.2079
MEM 14.343750 1745203097.2282
MEM 14.343750 1745203097.2483
MEM 14.343750 1745203097.2683
MEM 14.343750 1745203097.2887
MEM 14.343750 1745203097.3088
MEM 14.343750 1745203097.3291
MEM 14.343750 1745203097.3500
MEM 14.343750 1745203097.3703
MEM 14.343750 1745203097.3914
MEM 14.343750 1745203097.4134
MEM 14.343750 1745203097.4347
MEM 14.343750 1745203097.4562
MEM 14.343750 1745203097.4780
MEM 14.343750 1745203097.4996
MEM 14.343750 1745203097.5206
MEM 14.343750 1745203097.5423
MEM 14.343750 1745203097.5639
MEM 14.343750 1745203097.5860
MEM 14.343750 1745203097.6078
MEM 14.343750 1745203097.6289
MEM 14.343750 1745203097.6497
MEM 14.343750 1745203097.6708
MEM 14.343750 1745203097.6923
MEM 14.343750 1745203097.7129
MEM 14.343750 1745203097.7339
MEM 14.343750 1745203097.7544
MEM 14.343750 1745203097.7749
MEM 14.343750 1745203097.7960
MEM 14.343750 1745203097.8165
MEM 14.343750 1745203097.8374
MEM 14.343750 1745203097.8580
MEM 14.343750 1745203097.8786
MEM 14.343750 1745203097.8995
MEM 14.343750 1745203097.9203
MEM 14.343750 1745203097.9404
MEM 14.343750 1745203097.9612
MEM 14.343750 1745203097.9820
MEM 14.343750 1745203098.0041
MEM 14.343750 1745203098.0213
