CMDLINE python3 python_programs/ChatGPT/lexicographically_smallest_string_after_substring_operation.py
MEM 0.234375 1745203090.5433
MEM 10.046875 1745203090.5622
MEM 10.046875 1745203090.5773
MEM 10.046875 1745203090.5928
MEM 10.046875 1745203090.6101
MEM 10.046875 1745203090.6301
MEM 10.578125 1745203090.6508
MEM 10.578125 1745203090.6806
MEM 10.578125 1745203090.7163
MEM 10.578125 1745203090.7430
MEM 10.578125 1745203090.7670
MEM 10.578125 1745203090.7914
MEM 10.578125 1745203090.8158
MEM 10.578125 1745203090.8428
MEM 10.578125 1745203090.8685
MEM 10.578125 1745203090.8936
MEM 10.578125 1745203090.9189
MEM 10.578125 1745203090.9448
MEM 10.578125 1745203090.9696
MEM 10.578125 1745203090.9951
MEM 10.578125 1745203091.0212
MEM 10.578125 1745203091.0480
MEM 10.578125 1745203091.0741
MEM 10.578125 1745203091.1004
MEM 10.578125 1745203091.1255
MEM 10.578125 1745203091.1510
MEM 10.578125 1745203091.1768
MEM 10.578125 1745203091.2029
MEM 10.578125 1745203091.2285
MEM 10.578125 1745203091.2540
MEM 10.578125 1745203091.2771
MEM 10.578125 1745203091.3005
MEM 10.578125 1745203091.3261
MEM 10.578125 1745203091.3517
MEM 10.578125 1745203091.3763
MEM 10.578125 1745203091.4017
MEM 10.578125 1745203091.4270
MEM 10.578125 1745203091.4528
MEM 10.578125 1745203091.4776
MEM 10.578125 1745203091.5036
MEM 10.578125 1745203091.5294
MEM 10.578125 1745203091.5544
MEM 10.578125 1745203091.5806
MEM 10.578125 1745203091.6059
MEM 10.578125 1745203091.6315
MEM 10.578125 1745203091.6572
MEM 10.578125 1745203091.6826
MEM 10.578125 1745203091.7082
MEM 10.578125 1745203091.7341
MEM 10.578125 1745203091.7596
MEM 10.578125 1745203091.7847
MEM 10.578125 1745203091.8098
MEM 10.578125 1745203091.8348
MEM 10.578125 1745203091.8598
MEM 10.578125 1745203091.8849
MEM 10.578125 1745203091.9100
MEM 10.578125 1745203091.9352
MEM 10.578125 1745203091.9605
MEM 10.578125 1745203091.9862
MEM 10.578125 1745203092.0125
MEM 10.578125 1745203092.0411
MEM 10.578125 1745203092.0656
MEM 10.578125 1745203092.0944
MEM 10.578125 1745203092.1195
MEM 10.578125 1745203092.1448
