CMDLINE python3 python_programs/ChatGPT/maximum_total_beauty_of_the_gardens.py
MEM 0.234375 1745203090.5379
MEM 10.718750 1745203090.5572
MEM 10.718750 1745203090.6371
MEM 10.750000 1745203090.6652
MEM 10.750000 1745203090.6841
MEM 10.750000 1745203090.7057
MEM 10.750000 1745203090.7317
MEM 10.750000 1745203090.7603
MEM 10.750000 1745203090.7938
MEM 10.750000 1745203090.8179
MEM 10.750000 1745203090.8434
MEM 10.750000 1745203090.8690
MEM 10.750000 1745203090.8948
MEM 10.750000 1745203090.9203
MEM 10.750000 1745203090.9461
MEM 10.750000 1745203090.9711
MEM 10.750000 1745203090.9962
MEM 10.750000 1745203091.0217
MEM 10.750000 1745203091.0471
MEM 10.750000 1745203091.0736
MEM 10.750000 1745203091.0994
MEM 10.750000 1745203091.1245
MEM 10.750000 1745203091.1500
MEM 10.750000 1745203091.1760
MEM 10.750000 1745203091.2020
MEM 10.750000 1745203091.2278
MEM 10.750000 1745203091.2540
MEM 10.750000 1745203091.2777
MEM 10.750000 1745203091.3053
MEM 10.750000 1745203091.3305
MEM 10.750000 1745203091.3553
MEM 10.750000 1745203091.3809
MEM 10.750000 1745203091.4073
MEM 10.750000 1745203091.4329
MEM 10.750000 1745203091.4592
MEM 10.750000 1745203091.4852
MEM 10.750000 1745203091.5115
MEM 10.750000 1745203091.5370
MEM 10.750000 1745203091.5624
MEM 10.750000 1745203091.5882
MEM 10.750000 1745203091.6132
MEM 10.750000 1745203091.6382
MEM 10.750000 1745203091.6638
MEM 10.750000 1745203091.6888
MEM 10.750000 1745203091.7154
MEM 10.750000 1745203091.7412
MEM 10.750000 1745203091.7673
MEM 10.750000 1745203091.7929
MEM 10.750000 1745203091.8181
MEM 10.750000 1745203091.8431
MEM 10.750000 1745203091.8677
MEM 10.750000 1745203091.8933
MEM 10.750000 1745203091.9184
MEM 10.750000 1745203091.9430
MEM 10.750000 1745203091.9701
MEM 10.750000 1745203091.9962
MEM 10.750000 1745203092.0210
MEM 10.750000 1745203092.0463
MEM 10.750000 1745203092.0720
MEM 10.750000 1745203092.0973
MEM 10.750000 1745203092.1232
MEM 10.750000 1745203092.1494
MEM 10.750000 1745203092.1723
MEM 10.750000 1745203092.1956
MEM 10.750000 1745203092.2174
MEM 10.750000 1745203092.2394
MEM 10.750000 1745203092.2610
MEM 10.750000 1745203092.2840
MEM 10.750000 1745203092.3055
MEM 10.750000 1745203092.3277
MEM 10.750000 1745203092.3474
MEM 10.750000 1745203092.3677
MEM 10.750000 1745203092.3859
MEM 10.750000 1745203092.4038
MEM 10.750000 1745203092.4217
MEM 10.750000 1745203092.4402
MEM 10.750000 1745203092.4583
MEM 10.750000 1745203092.4761
MEM 10.750000 1745203092.4945
MEM 10.750000 1745203092.5121
MEM 10.750000 1745203092.5301
MEM 10.750000 1745203092.5479
MEM 10.750000 1745203092.5656
MEM 10.750000 1745203092.5836
MEM 10.750000 1745203092.6011
MEM 10.750000 1745203092.6187
MEM 10.750000 1745203092.6358
MEM 10.750000 1745203092.6530
MEM 10.750000 1745203092.6701
MEM 10.750000 1745203092.6877
MEM 10.750000 1745203092.7050
MEM 10.750000 1745203092.7225
MEM 10.750000 1745203092.7400
MEM 10.750000 1745203092.7576
MEM 10.750000 1745203092.7750
MEM 10.750000 1745203092.7928
MEM 10.750000 1745203092.8104
MEM 10.750000 1745203092.8282
MEM 10.750000 1745203092.8459
MEM 10.750000 1745203092.8637
MEM 10.750000 1745203092.8817
MEM 10.750000 1745203092.8997
MEM 10.750000 1745203092.9176
MEM 10.750000 1745203092.9355
MEM 10.750000 1745203092.9539
MEM 10.750000 1745203092.9716
MEM 10.750000 1745203092.9895
MEM 10.750000 1745203093.0069
MEM 10.750000 1745203093.0253
MEM 10.750000 1745203093.0426
MEM 10.750000 1745203093.0600
MEM 10.750000 1745203093.0787
MEM 10.750000 1745203093.0949
MEM 10.750000 1745203093.1104
MEM 10.750000 1745203093.1221
MEM 10.750000 1745203093.1325
MEM 10.750000 1745203093.1408
MEM 10.750000 1745203093.1489
MEM 10.750000 1745203093.1559
