CMDLINE python3 python_programs/ChatGPT/minimum_cost_to_make_array_equal.py
MEM 0.203125 1745203095.3854
MEM 10.593750 1745203095.4095
MEM 10.593750 1745203095.4322
MEM 10.593750 1745203095.4533
MEM 10.593750 1745203095.4744
MEM 10.593750 1745203095.4958
MEM 10.625000 1745203095.5171
MEM 10.625000 1745203095.5381
MEM 10.625000 1745203095.5598
MEM 10.625000 1745203095.5798
MEM 10.625000 1745203095.5995
MEM 10.625000 1745203095.6194
MEM 10.625000 1745203095.6408
MEM 10.625000 1745203095.6611
MEM 10.625000 1745203095.6818
MEM 10.625000 1745203095.7021
MEM 10.625000 1745203095.7231
MEM 10.625000 1745203095.7442
MEM 10.625000 1745203095.7652
MEM 10.625000 1745203095.7854
MEM 10.625000 1745203095.8060
MEM 10.625000 1745203095.8269
MEM 10.625000 1745203095.8481
MEM 10.625000 1745203095.8698
MEM 10.625000 1745203095.8908
MEM 10.625000 1745203095.9118
MEM 10.625000 1745203095.9330
MEM 10.625000 1745203095.9539
MEM 10.625000 1745203095.9745
MEM 10.625000 1745203095.9967
MEM 10.625000 1745203096.0180
MEM 10.625000 1745203096.0423
MEM 10.625000 1745203096.0633
MEM 10.625000 1745203096.0842
MEM 10.625000 1745203096.1051
MEM 10.625000 1745203096.1254
MEM 10.625000 1745203096.1460
MEM 10.625000 1745203096.1671
MEM 10.625000 1745203096.1877
MEM 10.625000 1745203096.2085
MEM 10.625000 1745203096.2294
MEM 10.625000 1745203096.2511
MEM 10.625000 1745203096.2720
MEM 10.625000 1745203096.2921
MEM 10.625000 1745203096.3130
MEM 10.625000 1745203096.3338
MEM 10.625000 1745203096.3556
MEM 10.625000 1745203096.3765
MEM 10.625000 1745203096.3970
MEM 10.625000 1745203096.4173
MEM 10.625000 1745203096.4382
MEM 10.625000 1745203096.4593
MEM 10.625000 1745203096.4800
MEM 10.625000 1745203096.5007
MEM 10.625000 1745203096.5213
MEM 10.625000 1745203096.5420
MEM 10.625000 1745203096.5638
MEM 10.625000 1745203096.5843
MEM 10.625000 1745203096.6049
MEM 10.625000 1745203096.6258
MEM 10.625000 1745203096.6467
MEM 10.625000 1745203096.6725
MEM 10.625000 1745203096.6938
MEM 10.625000 1745203096.7148
MEM 10.625000 1745203096.7357
MEM 10.625000 1745203096.7567
MEM 10.625000 1745203096.7781
MEM 10.625000 1745203096.7998
MEM 10.625000 1745203096.8208
MEM 10.625000 1745203096.8421
MEM 10.625000 1745203096.8640
MEM 10.625000 1745203096.8847
MEM 10.625000 1745203096.9051
MEM 10.625000 1745203096.9257
MEM 10.625000 1745203096.9462
MEM 10.625000 1745203096.9668
MEM 10.625000 1745203096.9868
MEM 10.625000 1745203097.0077
MEM 10.625000 1745203097.0283
MEM 10.625000 1745203097.0496
MEM 10.625000 1745203097.0715
MEM 10.625000 1745203097.0930
MEM 10.625000 1745203097.1141
MEM 10.625000 1745203097.1353
MEM 10.625000 1745203097.1562
MEM 10.625000 1745203097.1775
MEM 10.625000 1745203097.1988
MEM 10.625000 1745203097.2202
MEM 10.625000 1745203097.2415
MEM 10.625000 1745203097.2630
MEM 10.625000 1745203097.2849
MEM 10.625000 1745203097.3059
MEM 10.625000 1745203097.3273
MEM 10.625000 1745203097.3487
MEM 10.625000 1745203097.3695
MEM 10.625000 1745203097.3907
MEM 10.625000 1745203097.4118
MEM 10.625000 1745203097.4337
MEM 10.625000 1745203097.4555
MEM 10.625000 1745203097.4774
MEM 10.625000 1745203097.4991
MEM 10.625000 1745203097.5209
MEM 10.625000 1745203097.5427
MEM 10.625000 1745203097.5643
MEM 10.625000 1745203097.5857
MEM 10.625000 1745203097.6062
MEM 10.625000 1745203097.6270
MEM 10.625000 1745203097.6471
MEM 10.625000 1745203097.6676
MEM 10.625000 1745203097.6881
MEM 10.625000 1745203097.7083
MEM 10.625000 1745203097.7291
MEM 10.625000 1745203097.7496
MEM 10.625000 1745203097.7699
MEM 10.625000 1745203097.7902
MEM 10.625000 1745203097.8104
MEM 10.625000 1745203097.8309
MEM 10.625000 1745203097.8518
MEM 10.625000 1745203097.8718
MEM 10.625000 1745203097.8922
MEM 10.625000 1745203097.9132
MEM 10.625000 1745203097.9342
MEM 10.625000 1745203097.9549
MEM 10.625000 1745203097.9766
MEM 10.625000 1745203097.9975
MEM 10.625000 1745203098.0173
