CMDLINE python3 python_programs/ChatGPT/minimum_number_of_arrows_to_burst_balloons.py
MEM 6.515625 1745203090.4515
MEM 10.890625 1745203090.4617
MEM 24.750000 1745203090.4770
MEM 28.359375 1745203090.4879
MEM 28.359375 1745203090.4979
MEM 28.359375 1745203090.5107
MEM 28.359375 1745203090.5284
MEM 28.359375 1745203090.5798
MEM 29.468750 1745203090.6157
MEM 29.468750 1745203090.6513
MEM 29.468750 1745203090.6833
MEM 29.468750 1745203090.7041
MEM 29.468750 1745203090.7275
MEM 29.468750 1745203090.7600
MEM 29.468750 1745203090.7837
MEM 29.468750 1745203090.8136
MEM 29.468750 1745203090.8397
MEM 29.468750 1745203090.8653
MEM 29.468750 1745203090.8912
MEM 29.468750 1745203090.9168
MEM 29.468750 1745203090.9423
MEM 29.468750 1745203090.9670
MEM 29.468750 1745203090.9940
MEM 29.468750 1745203091.0205
MEM 29.468750 1745203091.0461
MEM 29.468750 1745203091.0728
MEM 29.468750 1745203091.0988
MEM 29.468750 1745203091.1239
MEM 29.468750 1745203091.1496
MEM 29.468750 1745203091.1748
MEM 29.468750 1745203091.2011
MEM 29.468750 1745203091.2275
MEM 29.468750 1745203091.2525
MEM 29.468750 1745203091.2810
MEM 29.468750 1745203091.3080
MEM 29.468750 1745203091.3345
MEM 29.468750 1745203091.3607
MEM 29.468750 1745203091.3873
MEM 29.468750 1745203091.4130
MEM 29.468750 1745203091.4389
MEM 29.468750 1745203091.4647
MEM 29.468750 1745203091.4900
MEM 29.468750 1745203091.5148
MEM 29.468750 1745203091.5404
MEM 29.468750 1745203091.5664
MEM 29.468750 1745203091.5915
MEM 29.468750 1745203091.6171
MEM 29.468750 1745203091.6431
MEM 29.468750 1745203091.6694
MEM 29.468750 1745203091.6948
MEM 29.468750 1745203091.7205
MEM 29.468750 1745203091.7469
MEM 29.468750 1745203091.7729
MEM 29.468750 1745203091.7991
MEM 29.468750 1745203091.8260
MEM 29.468750 1745203091.8519
MEM 29.468750 1745203091.8784
MEM 29.468750 1745203091.9054
MEM 29.468750 1745203091.9320
MEM 29.468750 1745203091.9576
MEM 29.468750 1745203091.9838
MEM 29.468750 1745203092.0089
MEM 29.468750 1745203092.0352
MEM 29.468750 1745203092.0615
MEM 29.468750 1745203092.0872
MEM 29.468750 1745203092.1123
MEM 29.468750 1745203092.1377
MEM 29.468750 1745203092.1617
MEM 29.468750 1745203092.1851
MEM 29.468750 1745203092.2069
MEM 29.468750 1745203092.2281
MEM 29.468750 1745203092.2492
MEM 29.468750 1745203092.2704
MEM 29.468750 1745203092.2925
MEM 29.468750 1745203092.3142
MEM 29.468750 1745203092.3354
MEM 29.468750 1745203092.3541
MEM 29.468750 1745203092.3744
MEM 29.468750 1745203092.3933
MEM 29.468750 1745203092.4110
MEM 29.468750 1745203092.4286
MEM 29.468750 1745203092.4460
MEM 29.468750 1745203092.4635
MEM 29.468750 1745203092.4818
MEM 29.468750 1745203092.4998
MEM 29.468750 1745203092.5186
MEM 29.468750 1745203092.5368
MEM 29.468750 1745203092.5546
MEM 29.468750 1745203092.5723
MEM 29.468750 1745203092.5905
MEM 29.468750 1745203092.6084
MEM 29.468750 1745203092.6263
MEM 29.468750 1745203092.6443
MEM 29.468750 1745203092.6629
MEM 29.468750 1745203092.6808
MEM 29.468750 1745203092.6984
MEM 29.468750 1745203092.7159
MEM 29.468750 1745203092.7333
MEM 29.468750 1745203092.7506
MEM 29.468750 1745203092.7681
MEM 29.468750 1745203092.7857
MEM 29.468750 1745203092.8030
MEM 29.468750 1745203092.8209
MEM 29.468750 1745203092.8383
MEM 29.468750 1745203092.8554
MEM 29.468750 1745203092.8726
MEM 29.468750 1745203092.8908
MEM 29.468750 1745203092.9088
MEM 29.468750 1745203092.9267
MEM 29.468750 1745203092.9443
MEM 29.468750 1745203092.9620
MEM 29.468750 1745203092.9800
MEM 29.468750 1745203092.9977
MEM 29.468750 1745203093.0160
MEM 29.468750 1745203093.0346
MEM 29.468750 1745203093.0522
MEM 29.468750 1745203093.0701
MEM 29.468750 1745203093.0878
MEM 29.468750 1745203093.1028
MEM 29.468750 1745203093.1161
