CMDLINE python3 python_programs/ChatGPT/minimum_operations_to_make_a_subsequence.py
MEM 0.343750 1745203090.5267
MEM 11.609375 1745203090.5497
MEM 11.609375 1745203090.5691
MEM 11.609375 1745203090.5868
MEM 11.609375 1745203090.6039
MEM 11.609375 1745203090.6221
MEM 11.609375 1745203090.6412
MEM 11.609375 1745203090.6620
MEM 11.609375 1745203090.7095
MEM 11.609375 1745203090.7361
MEM 11.609375 1745203090.7616
MEM 11.609375 1745203090.7886
MEM 11.609375 1745203090.8129
MEM 11.609375 1745203090.8382
MEM 11.609375 1745203090.8633
MEM 11.609375 1745203090.8886
MEM 11.609375 1745203090.9135
MEM 11.609375 1745203090.9386
MEM 11.609375 1745203090.9645
MEM 11.609375 1745203090.9911
MEM 11.609375 1745203091.0185
MEM 11.609375 1745203091.0442
MEM 11.609375 1745203091.0688
MEM 11.609375 1745203091.0938
MEM 11.609375 1745203091.1211
MEM 11.609375 1745203091.1464
MEM 11.609375 1745203091.1713
MEM 11.609375 1745203091.1966
MEM 11.609375 1745203091.2225
MEM 11.609375 1745203091.2481
MEM 11.609375 1745203091.2773
MEM 11.609375 1745203091.3021
MEM 11.609375 1745203091.3283
MEM 11.609375 1745203091.3539
MEM 11.609375 1745203091.3808
MEM 11.609375 1745203091.4072
MEM 11.609375 1745203091.4330
MEM 11.609375 1745203091.4589
MEM 11.609375 1745203091.4852
MEM 11.609375 1745203091.5117
MEM 11.609375 1745203091.5377
MEM 11.609375 1745203091.5647
MEM 11.609375 1745203091.5908
MEM 11.609375 1745203091.6168
MEM 11.609375 1745203091.6432
MEM 11.609375 1745203091.6702
MEM 11.609375 1745203091.6959
MEM 11.609375 1745203091.7216
MEM 11.609375 1745203091.7477
MEM 11.609375 1745203091.7734
MEM 11.609375 1745203091.7994
MEM 11.609375 1745203091.8252
MEM 11.609375 1745203091.8517
MEM 11.609375 1745203091.8785
MEM 11.609375 1745203091.9054
MEM 11.609375 1745203091.9326
MEM 11.609375 1745203091.9585
MEM 11.609375 1745203091.9847
MEM 11.609375 1745203092.0104
MEM 11.609375 1745203092.0340
MEM 11.609375 1745203092.0606
MEM 11.609375 1745203092.0873
MEM 11.609375 1745203092.1135
MEM 11.609375 1745203092.1390
MEM 11.609375 1745203092.1638
MEM 11.609375 1745203092.1868
MEM 11.609375 1745203092.2092
MEM 11.609375 1745203092.2306
MEM 11.609375 1745203092.2524
MEM 11.609375 1745203092.2738
MEM 11.609375 1745203092.2953
MEM 11.609375 1745203092.3169
MEM 11.609375 1745203092.3383
MEM 11.609375 1745203092.3559
MEM 11.609375 1745203092.3750
MEM 11.609375 1745203092.3932
MEM 11.609375 1745203092.4115
MEM 11.609375 1745203092.4294
MEM 11.609375 1745203092.4473
MEM 11.609375 1745203092.4654
MEM 11.609375 1745203092.4832
MEM 11.609375 1745203092.5007
MEM 11.609375 1745203092.5189
MEM 11.609375 1745203092.5367
MEM 11.609375 1745203092.5546
MEM 11.609375 1745203092.5725
MEM 11.609375 1745203092.5904
MEM 11.609375 1745203092.6083
MEM 11.609375 1745203092.6264
MEM 11.609375 1745203092.6445
MEM 11.609375 1745203092.6622
MEM 11.609375 1745203092.6817
MEM 11.609375 1745203092.6999
MEM 11.609375 1745203092.7179
MEM 11.609375 1745203092.7357
MEM 11.609375 1745203092.7541
MEM 11.609375 1745203092.7718
MEM 11.609375 1745203092.7901
MEM 11.609375 1745203092.8081
MEM 11.609375 1745203092.8262
MEM 11.609375 1745203092.8445
MEM 11.609375 1745203092.8626
MEM 11.609375 1745203092.8808
MEM 11.609375 1745203092.8983
MEM 11.609375 1745203092.9157
MEM 11.609375 1745203092.9338
MEM 11.609375 1745203092.9517
MEM 11.609375 1745203092.9691
MEM 11.609375 1745203092.9868
MEM 11.609375 1745203093.0046
MEM 11.609375 1745203093.0227
MEM 11.609375 1745203093.0402
MEM 11.609375 1745203093.0578
MEM 11.609375 1745203093.0759
MEM 11.609375 1745203093.0932
MEM 11.609375 1745203093.1089
