CMDLINE python3 python_programs/ChatGPT/most_profit_assigning_work.py
MEM 6.125000 1745203090.5325
MEM 11.890625 1745203090.5569
MEM 11.890625 1745203090.5746
MEM 11.890625 1745203090.5907
MEM 11.890625 1745203090.6100
MEM 13.468750 1745203090.6297
MEM 13.468750 1745203090.6497
MEM 13.468750 1745203090.6751
MEM 13.468750 1745203090.7086
MEM 13.468750 1745203090.7350
MEM 13.468750 1745203090.7598
MEM 13.468750 1745203090.7833
MEM 13.468750 1745203090.8128
MEM 13.468750 1745203090.8396
MEM 13.468750 1745203090.8655
MEM 13.468750 1745203090.8916
MEM 13.468750 1745203090.9200
MEM 13.468750 1745203090.9473
MEM 13.468750 1745203090.9725
MEM 13.468750 1745203090.9973
MEM 13.468750 1745203091.0229
MEM 13.468750 1745203091.0489
MEM 13.468750 1745203091.0753
MEM 13.468750 1745203091.1010
MEM 13.468750 1745203091.1264
MEM 13.468750 1745203091.1527
MEM 13.468750 1745203091.1789
MEM 13.468750 1745203091.2042
MEM 13.468750 1745203091.2297
MEM 13.468750 1745203091.2553
MEM 13.468750 1745203091.2786
MEM 13.468750 1745203091.3072
MEM 13.468750 1745203091.3339
MEM 13.468750 1745203091.3603
MEM 13.468750 1745203091.3856
MEM 13.468750 1745203091.4118
MEM 13.468750 1745203091.4373
MEM 13.468750 1745203091.4617
MEM 13.468750 1745203091.4868
MEM 13.468750 1745203091.5128
MEM 13.468750 1745203091.5384
MEM 13.468750 1745203091.5636
MEM 13.468750 1745203091.5900
MEM 13.468750 1745203091.6158
MEM 13.468750 1745203091.6413
MEM 13.468750 1745203091.6659
MEM 13.468750 1745203091.6912
MEM 13.468750 1745203091.7168
MEM 13.468750 1745203091.7426
MEM 13.468750 1745203091.7680
MEM 13.468750 1745203091.7931
MEM 13.468750 1745203091.8181
MEM 13.468750 1745203091.8432
MEM 13.468750 1745203091.8681
MEM 13.468750 1745203091.8930
MEM 13.468750 1745203091.9183
MEM 13.468750 1745203091.9429
MEM 13.468750 1745203091.9686
MEM 13.468750 1745203091.9944
MEM 13.468750 1745203092.0188
MEM 13.468750 1745203092.0445
MEM 13.468750 1745203092.0707
MEM 13.468750 1745203092.0955
MEM 13.468750 1745203092.1210
MEM 13.468750 1745203092.1482
MEM 13.468750 1745203092.1719
MEM 13.468750 1745203092.1952
MEM 13.468750 1745203092.2172
MEM 13.468750 1745203092.2392
MEM 13.468750 1745203092.2610
MEM 13.468750 1745203092.2829
MEM 13.468750 1745203092.3047
MEM 13.468750 1745203092.3270
MEM 13.468750 1745203092.3474
MEM 13.468750 1745203092.3671
MEM 13.468750 1745203092.3853
MEM 13.468750 1745203092.4029
MEM 13.468750 1745203092.4199
MEM 13.468750 1745203092.4374
MEM 13.468750 1745203092.4553
MEM 13.468750 1745203092.4729
MEM 13.468750 1745203092.4903
MEM 13.468750 1745203092.5073
MEM 13.468750 1745203092.5248
MEM 13.468750 1745203092.5421
MEM 13.468750 1745203092.5596
MEM 13.468750 1745203092.5772
MEM 13.468750 1745203092.5948
MEM 13.468750 1745203092.6124
MEM 13.468750 1745203092.6302
MEM 13.468750 1745203092.6480
MEM 13.468750 1745203092.6653
MEM 13.468750 1745203092.6832
MEM 13.468750 1745203092.7010
MEM 13.468750 1745203092.7187
MEM 13.468750 1745203092.7364
MEM 13.468750 1745203092.7548
MEM 13.468750 1745203092.7724
MEM 13.468750 1745203092.7903
MEM 13.468750 1745203092.8082
MEM 13.468750 1745203092.8258
MEM 13.468750 1745203092.8435
MEM 13.468750 1745203092.8610
MEM 13.468750 1745203092.8784
MEM 13.468750 1745203092.8958
MEM 13.468750 1745203092.9140
MEM 13.468750 1745203092.9316
MEM 13.468750 1745203092.9492
MEM 13.468750 1745203092.9672
MEM 13.468750 1745203092.9856
MEM 13.468750 1745203093.0039
MEM 13.468750 1745203093.0219
MEM 13.468750 1745203093.0396
MEM 13.468750 1745203093.0580
MEM 13.468750 1745203093.0760
MEM 13.468750 1745203093.0936
MEM 13.468750 1745203093.1087
MEM 13.468750 1745203093.1207
MEM 13.468750 1745203093.1301
