CMDLINE python3 python_programs/ChatGPT/smallest_range_covering_elements_from_k_lists.py
MEM 0.218750 1745203090.4295
MEM 5.921875 1745203090.4448
MEM 12.515625 1745203090.4542
MEM 12.515625 1745203090.4639
MEM 12.515625 1745203090.4771
MEM 12.515625 1745203090.4876
MEM 12.515625 1745203090.4991
MEM 12.515625 1745203090.5167
MEM 12.515625 1745203090.5347
MEM 12.515625 1745203090.6503
MEM 12.515625 1745203090.6757
MEM 12.515625 1745203090.6970
MEM 12.515625 1745203090.7212
MEM 12.515625 1745203090.7452
MEM 12.515625 1745203090.7700
MEM 12.515625 1745203090.7944
MEM 12.515625 1745203090.8213
MEM 12.515625 1745203090.8484
MEM 12.515625 1745203090.8747
MEM 12.515625 1745203090.8998
MEM 12.515625 1745203090.9248
MEM 12.515625 1745203090.9503
MEM 12.515625 1745203090.9757
MEM 12.515625 1745203091.0010
MEM 12.515625 1745203091.0267
MEM 12.515625 1745203091.0521
MEM 12.515625 1745203091.0774
MEM 12.515625 1745203091.1036
MEM 12.515625 1745203091.1289
MEM 12.515625 1745203091.1545
MEM 12.515625 1745203091.1798
MEM 12.515625 1745203091.2055
MEM 12.515625 1745203091.2316
MEM 12.515625 1745203091.2592
MEM 12.515625 1745203091.2838
MEM 12.515625 1745203091.3099
MEM 12.515625 1745203091.3349
MEM 12.515625 1745203091.3623
MEM 12.515625 1745203091.3877
MEM 12.515625 1745203091.4134
MEM 12.515625 1745203091.4389
MEM 12.515625 1745203091.4653
MEM 12.515625 1745203091.4908
MEM 12.515625 1745203091.5161
MEM 12.515625 1745203091.5424
MEM 12.515625 1745203091.5681
MEM 12.515625 1745203091.5939
MEM 12.515625 1745203091.6198
MEM 12.515625 1745203091.6450
MEM 12.515625 1745203091.6711
MEM 12.515625 1745203091.6978
MEM 12.515625 1745203091.7230
MEM 12.515625 1745203091.7484
MEM 12.515625 1745203091.7743
MEM 12.515625 1745203091.8001
MEM 12.515625 1745203091.8262
MEM 12.515625 1745203091.8522
MEM 12.515625 1745203091.8785
MEM 12.515625 1745203091.9045
MEM 12.515625 1745203091.9318
MEM 12.515625 1745203091.9591
MEM 12.515625 1745203091.9847
MEM 12.515625 1745203092.0119
MEM 12.515625 1745203092.0373
MEM 12.515625 1745203092.0650
MEM 12.515625 1745203092.0893
MEM 12.515625 1745203092.1159
MEM 12.515625 1745203092.1418
MEM 12.515625 1745203092.1643
MEM 12.515625 1745203092.1869
MEM 12.515625 1745203092.2090
MEM 12.515625 1745203092.2304
MEM 12.515625 1745203092.2518
MEM 12.515625 1745203092.2730
MEM 12.515625 1745203092.2950
MEM 12.515625 1745203092.3168
MEM 12.515625 1745203092.3376
MEM 12.515625 1745203092.3554
MEM 12.515625 1745203092.3741
MEM 12.515625 1745203092.3926
MEM 12.515625 1745203092.4102
MEM 12.515625 1745203092.4282
MEM 12.515625 1745203092.4455
MEM 12.515625 1745203092.4635
MEM 12.515625 1745203092.4813
MEM 12.515625 1745203092.4988
MEM 12.515625 1745203092.5159
MEM 12.515625 1745203092.5332
MEM 12.515625 1745203092.5511
MEM 12.515625 1745203092.5684
MEM 12.515625 1745203092.5861
MEM 12.515625 1745203092.6042
MEM 12.515625 1745203092.6218
MEM 12.515625 1745203092.6395
MEM 12.515625 1745203092.6571
MEM 12.515625 1745203092.6746
MEM 12.515625 1745203092.6925
MEM 12.515625 1745203092.7102
MEM 12.515625 1745203092.7286
MEM 12.515625 1745203092.7462
MEM 12.515625 1745203092.7641
MEM 12.515625 1745203092.7821
MEM 12.515625 1745203092.8000
MEM 12.515625 1745203092.8177
MEM 12.515625 1745203092.8359
MEM 12.515625 1745203092.8538
MEM 12.515625 1745203092.8716
MEM 12.515625 1745203092.8901
MEM 12.515625 1745203092.9080
MEM 12.515625 1745203092.9257
MEM 12.515625 1745203092.9435
MEM 12.515625 1745203092.9610
MEM 12.515625 1745203092.9789
MEM 12.515625 1745203092.9971
MEM 12.515625 1745203093.0152
MEM 12.515625 1745203093.0329
MEM 12.515625 1745203093.0508
MEM 12.515625 1745203093.0684
MEM 12.515625 1745203093.0860
