CMDLINE python3 python_programs/ChatGPT/word_abbreviation.py
MEM 0.203125 1745203095.3895
MEM 11.109375 1745203095.4126
MEM 11.109375 1745203095.4342
MEM 11.109375 1745203095.4556
MEM 11.109375 1745203095.4771
MEM 11.109375 1745203095.4999
MEM 11.109375 1745203095.5220
MEM 11.109375 1745203095.5442
MEM 11.109375 1745203095.5654
MEM 11.109375 1745203095.5874
MEM 11.109375 1745203095.6093
MEM 11.109375 1745203095.6311
MEM 11.109375 1745203095.6528
MEM 11.109375 1745203095.6738
MEM 11.109375 1745203095.6948
MEM 11.109375 1745203095.7153
MEM 11.109375 1745203095.7361
MEM 11.109375 1745203095.7579
MEM 11.109375 1745203095.7793
MEM 11.109375 1745203095.8011
MEM 11.109375 1745203095.8223
MEM 11.109375 1745203095.8428
MEM 11.109375 1745203095.8631
MEM 11.109375 1745203095.8841
MEM 11.109375 1745203095.9051
MEM 11.109375 1745203095.9263
MEM 11.109375 1745203095.9471
MEM 11.109375 1745203095.9687
MEM 11.109375 1745203095.9893
MEM 11.109375 1745203096.0098
MEM 11.109375 1745203096.0298
MEM 11.109375 1745203096.0514
MEM 11.109375 1745203096.0728
MEM 11.109375 1745203096.0943
MEM 11.109375 1745203096.1151
MEM 11.109375 1745203096.1359
MEM 11.109375 1745203096.1573
MEM 11.109375 1745203096.1778
MEM 11.109375 1745203096.1989
MEM 11.109375 1745203096.2198
MEM 11.109375 1745203096.2403
MEM 11.109375 1745203096.2615
MEM 11.109375 1745203096.2818
MEM 11.109375 1745203096.3024
MEM 11.109375 1745203096.3236
MEM 11.109375 1745203096.3448
MEM 11.109375 1745203096.3657
MEM 11.109375 1745203096.3860
MEM 11.109375 1745203096.4071
MEM 11.109375 1745203096.4275
MEM 11.109375 1745203096.4478
MEM 11.109375 1745203096.4690
MEM 11.109375 1745203096.4890
MEM 11.109375 1745203096.5098
MEM 11.109375 1745203096.5305
MEM 11.109375 1745203096.5528
MEM 11.109375 1745203096.5736
MEM 11.109375 1745203096.5945
MEM 11.109375 1745203096.6147
MEM 11.109375 1745203096.6351
MEM 11.109375 1745203096.6539
MEM 11.109375 1745203096.6764
MEM 11.109375 1745203096.6970
MEM 11.109375 1745203096.7181
MEM 11.109375 1745203096.7394
MEM 11.109375 1745203096.7599
MEM 11.109375 1745203096.7805
MEM 11.109375 1745203096.8013
MEM 11.109375 1745203096.8227
MEM 11.109375 1745203096.8437
MEM 11.109375 1745203096.8648
MEM 11.109375 1745203096.8859
MEM 11.109375 1745203096.9066
MEM 11.109375 1745203096.9273
MEM 11.109375 1745203096.9476
MEM 11.109375 1745203096.9688
MEM 11.109375 1745203096.9890
MEM 11.109375 1745203097.0097
MEM 11.109375 1745203097.0298
MEM 11.109375 1745203097.0509
MEM 11.109375 1745203097.0719
MEM 11.109375 1745203097.0932
MEM 11.109375 1745203097.1145
MEM 11.109375 1745203097.1357
MEM 11.109375 1745203097.1567
MEM 11.109375 1745203097.1783
MEM 11.109375 1745203097.1996
MEM 11.109375 1745203097.2208
MEM 11.109375 1745203097.2420
MEM 11.109375 1745203097.2633
MEM 11.109375 1745203097.2848
MEM 11.109375 1745203097.3062
MEM 11.109375 1745203097.3272
MEM 11.109375 1745203097.3492
MEM 11.109375 1745203097.3697
MEM 11.109375 1745203097.3916
MEM 11.109375 1745203097.4129
MEM 11.109375 1745203097.4344
MEM 11.109375 1745203097.4556
MEM 11.109375 1745203097.4775
MEM 11.109375 1745203097.4986
MEM 11.109375 1745203097.5196
MEM 11.109375 1745203097.5400
MEM 11.109375 1745203097.5600
MEM 11.109375 1745203097.5808
MEM 11.109375 1745203097.6007
MEM 11.109375 1745203097.6211
MEM 11.109375 1745203097.6413
MEM 11.109375 1745203097.6623
MEM 11.109375 1745203097.6830
MEM 11.109375 1745203097.7033
MEM 11.109375 1745203097.7242
MEM 11.109375 1745203097.7447
MEM 11.109375 1745203097.7647
MEM 11.109375 1745203097.7850
MEM 11.109375 1745203097.8052
MEM 11.109375 1745203097.8258
MEM 11.109375 1745203097.8464
MEM 11.109375 1745203097.8674
MEM 11.109375 1745203097.8886
MEM 11.109375 1745203097.9097
MEM 11.109375 1745203097.9308
MEM 11.109375 1745203097.9528
MEM 11.109375 1745203097.9739
MEM 11.109375 1745203097.9952
MEM 11.109375 1745203098.0159
MEM 11.109375 1745203098.0277
