CMDLINE python3 python_programs/Claude/average_height_of_buildings_in_each_segment.py
MEM 0.171875 1745203075.1301
MEM 8.765625 1745203075.1451
MEM 12.406250 1745203075.1675
MEM 12.406250 1745203075.1978
MEM 12.406250 1745203075.2227
MEM 12.406250 1745203075.2455
MEM 12.656250 1745203075.2685
MEM 14.359375 1745203075.2925
MEM 14.359375 1745203075.3178
MEM 14.359375 1745203075.3430
MEM 14.359375 1745203075.3699
MEM 14.359375 1745203075.3946
MEM 14.359375 1745203075.4199
MEM 14.359375 1745203075.4451
MEM 14.359375 1745203075.4703
MEM 14.359375 1745203075.4949
MEM 14.359375 1745203075.5198
MEM 14.359375 1745203075.5449
MEM 14.359375 1745203075.5695
MEM 14.359375 1745203075.5950
MEM 14.359375 1745203075.6198
MEM 14.359375 1745203075.6452
MEM 14.359375 1745203075.6699
MEM 14.359375 1745203075.6952
MEM 14.359375 1745203075.7195
MEM 14.359375 1745203075.7440
MEM 14.359375 1745203075.7686
MEM 14.359375 1745203075.7934
MEM 14.359375 1745203075.8184
MEM 14.359375 1745203075.8436
MEM 14.359375 1745203075.8708
MEM 14.359375 1745203075.8963
MEM 14.359375 1745203075.9215
MEM 14.359375 1745203075.9466
MEM 14.359375 1745203075.9717
MEM 14.359375 1745203075.9969
MEM 14.359375 1745203076.0220
MEM 14.359375 1745203076.0452
MEM 14.359375 1745203076.0695
MEM 14.359375 1745203076.0944
MEM 14.359375 1745203076.1198
MEM 14.359375 1745203076.1454
MEM 14.359375 1745203076.1678
MEM 14.359375 1745203076.1924
MEM 14.359375 1745203076.2175
MEM 14.359375 1745203076.2429
MEM 14.359375 1745203076.2686
MEM 14.359375 1745203076.2936
MEM 14.359375 1745203076.3180
MEM 14.359375 1745203076.3429
MEM 14.359375 1745203076.3668
MEM 14.359375 1745203076.3909
MEM 14.359375 1745203076.4156
MEM 14.359375 1745203076.4399
MEM 14.359375 1745203076.4639
MEM 14.359375 1745203076.4890
MEM 14.359375 1745203076.5130
MEM 14.359375 1745203076.5365
MEM 14.359375 1745203076.5614
MEM 14.359375 1745203076.5870
MEM 14.359375 1745203076.6125
MEM 14.359375 1745203076.6374
MEM 14.359375 1745203076.6617
MEM 14.359375 1745203076.6875
MEM 14.359375 1745203076.7119
MEM 14.359375 1745203076.7364
MEM 14.359375 1745203076.7601
MEM 14.359375 1745203076.7837
MEM 14.359375 1745203076.8073
MEM 14.359375 1745203076.8291
MEM 14.359375 1745203076.8512
MEM 14.359375 1745203076.8733
MEM 14.359375 1745203076.8939
MEM 14.359375 1745203076.9150
MEM 14.359375 1745203076.9364
MEM 14.359375 1745203076.9577
MEM 14.359375 1745203076.9789
MEM 14.359375 1745203077.0000
MEM 14.359375 1745203077.0207
MEM 14.359375 1745203077.0421
MEM 14.359375 1745203077.0634
MEM 14.359375 1745203077.0844
MEM 14.359375 1745203077.1060
MEM 14.359375 1745203077.1267
MEM 14.359375 1745203077.1478
MEM 14.359375 1745203077.1690
MEM 14.359375 1745203077.1905
MEM 14.359375 1745203077.2118
MEM 14.359375 1745203077.2328
MEM 14.359375 1745203077.2541
MEM 14.359375 1745203077.2754
MEM 14.359375 1745203077.2956
MEM 14.359375 1745203077.3164
MEM 14.359375 1745203077.3373
MEM 14.359375 1745203077.3585
MEM 14.359375 1745203077.3809
MEM 14.359375 1745203077.4019
MEM 14.359375 1745203077.4229
MEM 14.359375 1745203077.4440
MEM 14.359375 1745203077.4657
MEM 14.359375 1745203077.4869
MEM 14.359375 1745203077.5084
MEM 14.359375 1745203077.5304
MEM 14.359375 1745203077.5521
MEM 14.359375 1745203077.5729
MEM 14.359375 1745203077.5943
MEM 14.359375 1745203077.6149
MEM 14.359375 1745203077.6358
MEM 14.359375 1745203077.6570
MEM 14.359375 1745203077.6785
MEM 14.359375 1745203077.6993
MEM 14.359375 1745203077.7202
MEM 14.359375 1745203077.7414
MEM 14.359375 1745203077.7615
MEM 14.359375 1745203077.7779
MEM 14.390625 1745203077.7919
