CMDLINE python3 python_programs/Claude/lexicographically_smallest_string_after_substring_operation.py
MEM 0.390625 1745203070.1954
MEM 7.671875 1745203070.2071
MEM 9.812500 1745203070.2519
MEM 9.812500 1745203070.2646
MEM 9.812500 1745203070.2851
MEM 9.812500 1745203070.3054
MEM 9.812500 1745203070.3226
MEM 10.546875 1745203070.3895
MEM 10.546875 1745203070.4319
MEM 10.546875 1745203070.4913
MEM 10.546875 1745203070.5267
MEM 10.546875 1745203070.5556
MEM 10.546875 1745203070.6208
MEM 10.546875 1745203070.6608
MEM 10.546875 1745203070.6871
MEM 10.546875 1745203070.7181
MEM 10.546875 1745203070.7467
MEM 10.546875 1745203070.7755
MEM 10.546875 1745203070.8115
MEM 10.546875 1745203070.8417
MEM 10.546875 1745203070.8706
MEM 10.546875 1745203070.9073
MEM 10.546875 1745203070.9444
MEM 10.546875 1745203070.9856
MEM 10.546875 1745203071.0159
MEM 10.546875 1745203071.0443
MEM 10.546875 1745203071.1006
MEM 10.546875 1745203071.1327
MEM 10.546875 1745203071.1736
MEM 10.546875 1745203071.2056
MEM 10.546875 1745203071.2338
MEM 10.546875 1745203071.2657
MEM 10.546875 1745203071.3135
MEM 10.546875 1745203071.3608
MEM 10.546875 1745203071.3927
MEM 10.546875 1745203071.4307
MEM 10.546875 1745203071.4687
MEM 10.546875 1745203071.5056
MEM 10.546875 1745203071.5378
MEM 10.546875 1745203071.5744
MEM 10.546875 1745203071.6128
MEM 10.546875 1745203071.6504
MEM 10.546875 1745203071.6973
MEM 10.546875 1745203071.7274
MEM 10.546875 1745203071.7560
MEM 10.546875 1745203071.7836
MEM 10.546875 1745203071.8129
MEM 10.546875 1745203071.8684
