CMDLINE python3 python_programs/Claude/maximum_strength_of_a_group.py
MEM 10.203125 1745203070.3699
MEM 10.203125 1745203070.3975
MEM 10.203125 1745203070.4295
MEM 10.421875 1745203070.4533
MEM 12.953125 1745203070.4779
MEM 12.953125 1745203070.5154
MEM 12.953125 1745203070.5473
MEM 12.953125 1745203070.5827
MEM 12.953125 1745203070.6158
MEM 12.953125 1745203070.6559
MEM 12.953125 1745203070.6945
MEM 12.953125 1745203070.7197
MEM 12.953125 1745203070.7865
MEM 12.953125 1745203070.8196
MEM 12.953125 1745203070.8662
MEM 12.953125 1745203070.8944
MEM 12.953125 1745203070.9237
MEM 12.953125 1745203070.9529
MEM 12.953125 1745203070.9877
MEM 12.953125 1745203071.0681
MEM 12.953125 1745203071.0957
MEM 12.953125 1745203071.1248
MEM 12.953125 1745203071.1623
MEM 12.953125 1745203071.2018
MEM 12.953125 1745203071.2451
MEM 12.953125 1745203071.2825
MEM 12.953125 1745203071.3299
MEM 12.953125 1745203071.3591
MEM 12.953125 1745203071.3913
MEM 12.953125 1745203071.4307
MEM 12.953125 1745203071.4703
MEM 12.953125 1745203071.5109
MEM 12.953125 1745203071.5440
MEM 12.953125 1745203071.5764
MEM 12.953125 1745203071.6146
MEM 12.953125 1745203071.6474
MEM 12.953125 1745203071.6771
MEM 12.953125 1745203071.7049
MEM 12.953125 1745203071.7343
MEM 12.953125 1745203071.8126
MEM 12.953125 1745203071.8405
MEM 12.953125 1745203071.8799
MEM 12.953125 1745203071.9216
MEM 12.953125 1745203071.9527
MEM 12.953125 1745203071.9904
MEM 12.953125 1745203072.0176
MEM 12.953125 1745203072.0465
MEM 12.953125 1745203072.0768
MEM 12.953125 1745203072.1110
MEM 12.953125 1745203072.1424
MEM 12.953125 1745203072.1724
MEM 12.953125 1745203072.2015
MEM 12.953125 1745203072.2306
MEM 12.953125 1745203072.2613
MEM 12.953125 1745203072.3005
MEM 12.953125 1745203072.3382
MEM 12.953125 1745203072.3705
MEM 12.953125 1745203072.4002
