CMDLINE python3 python_programs/Claude/maximum_total_beauty_of_the_gardens.py
MEM 7.421875 1745203070.3041
MEM 11.046875 1745203070.3472
MEM 11.046875 1745203070.3706
MEM 11.046875 1745203070.3982
MEM 11.046875 1745203070.4555
MEM 11.046875 1745203070.5036
MEM 11.046875 1745203070.5404
MEM 11.046875 1745203070.5791
MEM 11.046875 1745203070.6114
MEM 11.046875 1745203070.6386
MEM 11.046875 1745203070.6657
MEM 11.046875 1745203070.7124
MEM 11.046875 1745203070.7589
MEM 11.046875 1745203070.7991
MEM 11.046875 1745203070.8244
MEM 11.046875 1745203070.8513
MEM 11.046875 1745203070.8895
MEM 11.046875 1745203070.9226
MEM 11.046875 1745203070.9607
MEM 11.046875 1745203070.9963
MEM 11.046875 1745203071.0247
MEM 11.046875 1745203071.0552
MEM 11.046875 1745203071.0826
MEM 11.046875 1745203071.1108
MEM 11.046875 1745203071.1444
MEM 11.046875 1745203071.1799
MEM 11.046875 1745203071.2186
MEM 11.046875 1745203071.2596
MEM 11.046875 1745203071.2907
MEM 11.046875 1745203071.3203
MEM 11.046875 1745203071.3560
MEM 11.046875 1745203071.3903
MEM 11.046875 1745203071.4257
MEM 11.046875 1745203071.4673
MEM 11.046875 1745203071.5022
MEM 11.046875 1745203071.5377
MEM 11.046875 1745203071.5681
MEM 11.046875 1745203071.6002
MEM 11.046875 1745203071.6545
MEM 11.046875 1745203071.6884
MEM 11.046875 1745203071.7164
MEM 11.046875 1745203071.7539
MEM 11.046875 1745203071.8133
MEM 11.046875 1745203071.8501
MEM 11.046875 1745203071.8775
MEM 11.046875 1745203071.9051
MEM 11.046875 1745203071.9309
MEM 11.046875 1745203071.9557
MEM 11.046875 1745203071.9814
MEM 11.046875 1745203072.0199
MEM 11.046875 1745203072.0531
MEM 11.046875 1745203072.0923
MEM 11.046875 1745203072.1378
MEM 11.046875 1745203072.1727
MEM 11.046875 1745203072.2121
MEM 11.046875 1745203072.2594
MEM 11.046875 1745203072.2889
MEM 11.046875 1745203072.3171
MEM 11.046875 1745203072.3479
MEM 11.046875 1745203072.3765
MEM 11.046875 1745203072.4034
MEM 11.046875 1745203072.4276
MEM 11.046875 1745203072.4535
MEM 11.046875 1745203072.4792
MEM 11.046875 1745203072.5035
MEM 11.046875 1745203072.5315
MEM 11.046875 1745203072.5593
MEM 11.046875 1745203072.5868
MEM 11.046875 1745203072.6147
MEM 11.046875 1745203072.6414
MEM 11.046875 1745203072.6689
MEM 11.046875 1745203072.7020
MEM 11.046875 1745203072.7311
MEM 11.046875 1745203072.7590
MEM 11.046875 1745203072.7864
MEM 11.046875 1745203072.8185
MEM 11.046875 1745203072.8463
MEM 11.046875 1745203072.8734
MEM 11.046875 1745203072.8914
