CMDLINE python3 python_programs/Claude/minimum_cost_to_make_array_equal.py
MEM 0.031250 1745203075.1326
MEM 8.375000 1745203075.1548
MEM 10.312500 1745203075.1790
MEM 10.312500 1745203075.2036
MEM 10.312500 1745203075.2298
MEM 10.312500 1745203075.2549
MEM 10.312500 1745203075.2802
MEM 10.312500 1745203075.3052
MEM 10.312500 1745203075.3310
MEM 10.312500 1745203075.3560
MEM 10.312500 1745203075.3825
MEM 10.312500 1745203075.4075
MEM 10.312500 1745203075.4324
MEM 10.312500 1745203075.4571
MEM 10.312500 1745203075.4819
MEM 10.312500 1745203075.5092
MEM 10.312500 1745203075.5344
MEM 10.312500 1745203075.5594
MEM 10.312500 1745203075.5843
MEM 10.312500 1745203075.6092
MEM 10.312500 1745203075.6339
MEM 10.312500 1745203075.6600
MEM 10.312500 1745203075.6849
MEM 10.312500 1745203075.7105
MEM 10.312500 1745203075.7352
MEM 10.312500 1745203075.7621
MEM 10.312500 1745203075.7879
MEM 10.312500 1745203075.8130
MEM 10.312500 1745203075.8377
MEM 10.312500 1745203075.8635
MEM 10.312500 1745203075.8883
MEM 10.312500 1745203075.9134
MEM 10.312500 1745203075.9384
MEM 10.312500 1745203075.9637
MEM 10.312500 1745203075.9883
MEM 10.312500 1745203076.0136
MEM 10.312500 1745203076.0369
MEM 10.312500 1745203076.0619
MEM 10.312500 1745203076.0876
MEM 10.312500 1745203076.1120
MEM 10.312500 1745203076.1368
MEM 10.312500 1745203076.1610
MEM 10.312500 1745203076.1849
MEM 10.312500 1745203076.2095
MEM 10.312500 1745203076.2339
MEM 10.312500 1745203076.2586
MEM 10.312500 1745203076.2785
MEM 10.312500 1745203076.3028
MEM 10.312500 1745203076.3307
MEM 10.312500 1745203076.3552
MEM 10.312500 1745203076.3810
MEM 10.312500 1745203076.4057
MEM 10.312500 1745203076.4303
MEM 10.312500 1745203076.4558
MEM 10.312500 1745203076.4819
MEM 10.312500 1745203076.5064
MEM 10.312500 1745203076.5319
MEM 10.312500 1745203076.5565
MEM 10.312500 1745203076.5816
MEM 10.312500 1745203076.6066
MEM 10.312500 1745203076.6320
MEM 10.312500 1745203076.6579
MEM 10.312500 1745203076.6826
MEM 10.312500 1745203076.7082
MEM 10.312500 1745203076.7337
MEM 10.312500 1745203076.7589
MEM 10.312500 1745203076.7827
MEM 10.312500 1745203076.8053
MEM 10.312500 1745203076.8277
MEM 10.312500 1745203076.8493
MEM 10.312500 1745203076.8717
MEM 10.312500 1745203076.8926
MEM 10.312500 1745203076.9134
MEM 10.312500 1745203076.9348
MEM 10.312500 1745203076.9559
MEM 10.312500 1745203076.9764
MEM 10.312500 1745203076.9979
MEM 10.312500 1745203077.0192
MEM 10.312500 1745203077.0400
MEM 10.312500 1745203077.0615
MEM 10.312500 1745203077.0827
MEM 10.312500 1745203077.1043
MEM 10.312500 1745203077.1256
MEM 10.312500 1745203077.1465
MEM 10.312500 1745203077.1682
MEM 10.312500 1745203077.1888
MEM 10.312500 1745203077.2097
MEM 10.312500 1745203077.2312
MEM 10.312500 1745203077.2523
MEM 10.312500 1745203077.2736
MEM 10.312500 1745203077.2975
MEM 10.312500 1745203077.3182
MEM 10.312500 1745203077.3389
MEM 10.312500 1745203077.3600
MEM 10.312500 1745203077.3816
MEM 10.312500 1745203077.4026
MEM 10.312500 1745203077.4234
MEM 10.312500 1745203077.4445
MEM 10.312500 1745203077.4659
MEM 10.312500 1745203077.4877
MEM 10.312500 1745203077.5089
MEM 10.312500 1745203077.5304
MEM 10.312500 1745203077.5520
MEM 10.312500 1745203077.5731
MEM 10.312500 1745203077.5942
MEM 10.312500 1745203077.6143
MEM 10.312500 1745203077.6355
MEM 10.312500 1745203077.6564
MEM 10.312500 1745203077.6781
MEM 10.312500 1745203077.6990
MEM 10.312500 1745203077.7200
MEM 10.312500 1745203077.7420
MEM 10.312500 1745203077.7624
MEM 10.312500 1745203077.7789
