CMDLINE python3 python_programs/Claude/minimum_number_of_arrows_to_burst_balloons.py
MEM 0.250000 1745203070.2933
MEM 24.453125 1745203070.3166
MEM 27.437500 1745203070.3437
MEM 27.437500 1745203070.4043
MEM 28.781250 1745203070.4600
MEM 28.812500 1745203070.4984
MEM 28.812500 1745203070.5248
MEM 28.812500 1745203070.5703
MEM 28.812500 1745203070.6241
MEM 28.812500 1745203070.6504
MEM 28.812500 1745203070.6910
MEM 28.812500 1745203070.7174
MEM 28.812500 1745203070.7495
MEM 28.812500 1745203070.7818
MEM 28.812500 1745203070.8114
MEM 28.812500 1745203070.8492
MEM 28.812500 1745203070.8898
MEM 28.812500 1745203070.9223
MEM 28.812500 1745203070.9551
MEM 28.812500 1745203070.9974
MEM 28.812500 1745203071.0438
MEM 28.812500 1745203071.0847
MEM 28.812500 1745203071.1138
MEM 28.812500 1745203071.1530
MEM 28.812500 1745203071.1841
MEM 28.812500 1745203071.2204
MEM 28.812500 1745203071.2603
MEM 28.812500 1745203071.3011
MEM 28.812500 1745203071.3357
MEM 28.812500 1745203071.3694
MEM 28.812500 1745203071.4081
MEM 28.812500 1745203071.4450
MEM 28.812500 1745203071.4828
MEM 28.812500 1745203071.5127
MEM 28.812500 1745203071.5508
MEM 28.812500 1745203071.5920
MEM 28.812500 1745203071.6286
MEM 28.812500 1745203071.6787
MEM 28.812500 1745203071.7244
MEM 28.812500 1745203071.7545
MEM 28.812500 1745203071.7845
MEM 28.812500 1745203071.8384
MEM 28.812500 1745203071.8705
MEM 28.812500 1745203071.8983
MEM 28.812500 1745203071.9387
MEM 28.812500 1745203071.9956
MEM 28.812500 1745203072.0219
MEM 28.812500 1745203072.0546
MEM 28.812500 1745203072.0826
MEM 28.812500 1745203072.1116
MEM 28.812500 1745203072.1405
MEM 28.812500 1745203072.1721
MEM 28.812500 1745203072.2058
MEM 28.812500 1745203072.2364
MEM 28.812500 1745203072.2727
MEM 28.812500 1745203072.3073
MEM 28.812500 1745203072.3492
MEM 28.812500 1745203072.3804
MEM 28.812500 1745203072.4164
MEM 28.812500 1745203072.4448
MEM 28.812500 1745203072.4722
MEM 28.812500 1745203072.4999
MEM 28.812500 1745203072.5334
MEM 28.812500 1745203072.5606
MEM 28.812500 1745203072.5905
MEM 28.812500 1745203072.6176
MEM 28.812500 1745203072.6465
MEM 28.812500 1745203072.6764
MEM 28.812500 1745203072.7046
MEM 28.812500 1745203072.7343
MEM 28.812500 1745203072.7629
MEM 28.812500 1745203072.7897
MEM 28.812500 1745203072.8180
MEM 28.812500 1745203072.8466
MEM 28.812500 1745203072.8738
MEM 28.812500 1745203072.8908
MEM 28.812500 1745203072.9046
MEM 28.812500 1745203072.9155
MEM 28.812500 1745203072.9268
MEM 28.812500 1745203072.9366
MEM 27.812500 1745203072.9457
