CMDLINE python3 python_programs/Claude/minimum_operations_to_make_a_subsequence.py
MEM 0.062500 1745203070.1850
MEM 5.734375 1745203070.2015
MEM 11.281250 1745203070.2607
MEM 11.281250 1745203070.3323
MEM 11.281250 1745203070.3600
MEM 11.281250 1745203070.3891
MEM 11.281250 1745203070.4147
MEM 11.281250 1745203070.4432
MEM 11.281250 1745203070.4719
MEM 11.281250 1745203070.5235
MEM 11.281250 1745203070.5586
MEM 11.281250 1745203070.5853
MEM 11.281250 1745203070.6223
MEM 11.281250 1745203070.6636
MEM 11.281250 1745203070.7101
MEM 11.281250 1745203070.7517
MEM 11.281250 1745203070.7786
MEM 11.281250 1745203070.8060
MEM 11.281250 1745203070.8306
MEM 11.281250 1745203070.8585
MEM 11.281250 1745203070.9498
MEM 11.281250 1745203070.9837
MEM 11.281250 1745203071.0117
MEM 11.281250 1745203071.0432
MEM 11.281250 1745203071.0805
MEM 11.281250 1745203071.1134
MEM 11.281250 1745203071.1523
MEM 11.281250 1745203071.1938
MEM 11.281250 1745203071.2339
MEM 11.281250 1745203071.2646
MEM 11.281250 1745203071.3086
MEM 11.281250 1745203071.3412
MEM 11.281250 1745203071.3851
MEM 11.281250 1745203071.4267
MEM 11.281250 1745203071.4668
MEM 11.281250 1745203071.5083
MEM 11.281250 1745203071.5389
MEM 11.281250 1745203071.5809
MEM 11.281250 1745203071.6124
MEM 11.281250 1745203071.6564
MEM 11.281250 1745203071.7081
MEM 11.281250 1745203071.7427
MEM 11.281250 1745203071.7762
MEM 11.281250 1745203071.8117
MEM 11.281250 1745203071.8407
MEM 11.281250 1745203071.8705
MEM 11.281250 1745203071.9116
MEM 11.281250 1745203071.9548
MEM 11.281250 1745203071.9939
MEM 11.281250 1745203072.0362
MEM 11.281250 1745203072.0649
MEM 11.281250 1745203072.0927
MEM 11.281250 1745203072.1258
MEM 11.281250 1745203072.1569
MEM 11.281250 1745203072.1904
MEM 11.281250 1745203072.2226
MEM 11.281250 1745203072.2564
MEM 11.281250 1745203072.2884
MEM 11.281250 1745203072.3182
MEM 11.281250 1745203072.3591
MEM 11.281250 1745203072.3972
MEM 11.281250 1745203072.4240
MEM 11.281250 1745203072.4514
MEM 11.281250 1745203072.4821
MEM 11.281250 1745203072.5207
MEM 11.281250 1745203072.5513
MEM 11.281250 1745203072.5827
MEM 11.281250 1745203072.6120
MEM 11.281250 1745203072.6400
MEM 11.281250 1745203072.6687
MEM 11.281250 1745203072.6952
MEM 11.281250 1745203072.7266
MEM 11.281250 1745203072.7544
MEM 11.281250 1745203072.7825
MEM 11.281250 1745203072.8126
MEM 11.281250 1745203072.8421
