CMDLINE python3 python_programs/Claude/minimum_replacements_to_sort_the_array.py
MEM 0.218750 1745203070.2211
MEM 6.921875 1745203070.2325
MEM 9.234375 1745203070.2931
MEM 10.453125 1745203070.3449
MEM 10.453125 1745203070.3714
MEM 10.453125 1745203070.3984
MEM 10.453125 1745203070.4273
MEM 10.453125 1745203070.4528
MEM 10.453125 1745203070.4782
MEM 10.453125 1745203070.5380
MEM 10.453125 1745203070.5726
MEM 10.453125 1745203070.5976
MEM 10.453125 1745203070.6446
MEM 10.453125 1745203070.6841
MEM 10.453125 1745203070.7161
MEM 10.453125 1745203070.7480
MEM 10.453125 1745203070.7835
MEM 10.453125 1745203070.8830
MEM 10.453125 1745203070.9119
MEM 10.453125 1745203070.9397
MEM 10.453125 1745203070.9763
MEM 10.453125 1745203071.0044
MEM 10.453125 1745203071.0326
MEM 10.453125 1745203071.0624
MEM 10.453125 1745203071.1019
MEM 10.453125 1745203071.1362
MEM 10.453125 1745203071.1704
MEM 10.453125 1745203071.2156
MEM 10.453125 1745203071.2526
MEM 10.453125 1745203071.2870
MEM 10.453125 1745203071.3194
MEM 10.453125 1745203071.3491
MEM 10.453125 1745203071.3863
MEM 10.453125 1745203071.4208
MEM 10.453125 1745203071.4529
MEM 10.453125 1745203071.4882
MEM 10.453125 1745203071.5158
MEM 10.453125 1745203071.5581
MEM 10.453125 1745203071.5932
MEM 10.453125 1745203071.6459
MEM 10.453125 1745203071.6791
MEM 10.453125 1745203071.7073
MEM 10.453125 1745203071.7437
MEM 10.453125 1745203071.7880
MEM 10.453125 1745203071.8157
MEM 10.453125 1745203071.8563
MEM 10.453125 1745203071.8869
MEM 10.453125 1745203071.9135
MEM 10.453125 1745203071.9389
MEM 10.453125 1745203071.9652
MEM 10.453125 1745203071.9962
MEM 10.453125 1745203072.0365
MEM 10.453125 1745203072.0822
MEM 10.453125 1745203072.1140
MEM 10.453125 1745203072.1444
MEM 10.453125 1745203072.1802
MEM 10.453125 1745203072.2215
MEM 10.453125 1745203072.2552
MEM 10.453125 1745203072.2898
MEM 10.453125 1745203072.3203
MEM 10.453125 1745203072.3484
MEM 10.453125 1745203072.3801
MEM 10.453125 1745203072.4231
MEM 10.453125 1745203072.4529
MEM 10.453125 1745203072.4803
MEM 10.453125 1745203072.5106
MEM 10.453125 1745203072.5389
MEM 10.453125 1745203072.5682
MEM 10.453125 1745203072.5956
MEM 10.453125 1745203072.6226
MEM 10.453125 1745203072.6520
MEM 10.453125 1745203072.6806
MEM 10.453125 1745203072.7100
MEM 10.453125 1745203072.7397
MEM 10.453125 1745203072.7689
MEM 10.453125 1745203072.7999
MEM 10.453125 1745203072.8304
MEM 10.453125 1745203072.8577
MEM 10.453125 1745203072.8778
